transect_id,alongshore_m,domain,origin_y,dist_from_groin_m,n_obs,slope_m_yr,intercept,r_squared,se_slope,nourishment_zone
usa_NC_0032_0017,3389.672309503788,1.0,3898605.9819825445,-3389.3315275074856,3,-5.894647531699994,11560.835604990787,0.999984889689268,0.022913837064832146,False
usa_NC_0032_0018,3467.454707425136,1.0,3898673.5521884067,-3311.5491295861375,3,-5.898754941024217,11614.59006097985,0.9999788965940505,0.027098248016100744,False
usa_NC_0032_0019,3522.220034819096,1.0,3898723.1101145972,-3256.7838021921775,3,-5.827863121702237,11463.16975795213,0.9999954944035327,0.012370477613272344,False
usa_NC_0032_0020,3585.169652074139,1.0,3898765.5311681055,-3193.8341849371345,3,-5.837882165232136,11449.10287390459,0.9999827578666002,0.024241225372793457,False
usa_NC_0032_0021,3639.409588617632,1.0,3898818.730754068,-3139.5942483936415,3,-5.992056893120257,11741.522186449574,0.9999910302393953,0.01794602639283561,False
usa_NC_0032_0022,3693.9460442535124,1.0,3898872.5930786044,-3085.057792757761,3,-6.025585828501248,11808.684694083451,0.9999851672881857,0.0232066673634484,False
usa_NC_0032_0023,3749.9113491241887,1.0,3898928.514300234,-3029.0924878870846,3,-6.129224446858684,12024.90893526724,0.9999910811252515,0.018304694892445805,False
usa_NC_0032_0024,3809.091424879552,1.0,3898987.341200617,-2969.9124121317213,2,1.473240616479853,-2747.488639976045,1.0,,False
usa_NC_0032_0025,3864.1807745201995,1.0,3899035.4835002627,-2914.823062491074,2,2.5724591235537857,-4890.585166016685,1.0,,True
usa_NC_0032_0026,3921.1774036871097,1.0,3899092.4795038644,-2857.8264333241636,2,1.6099864561470703,-2996.9863820257033,1.0,,True
usa_NC_0032_0027,3971.1960171115356,1.0,3899140.424974334,-2807.8078198997378,2,1.7717882137768564,-3310.3562281548802,1.0,,True
usa_NC_0032_0028,4020.1650878041946,1.0,3899188.8985462445,-2758.8387492070788,2,4.502452260841563,-8616.691378943566,1.0,,True
usa_NC_0032_0029,4070.1300239924094,1.0,3899238.7890921226,-2708.873813018864,2,-2.373056413093425,4771.257574113656,1.0,,True
usa_NC_0032_0030,4129.6194506907,2.0,3899295.550512989,-2649.384386320573,3,0.9041005045095185,-1573.4832478070443,0.9999101525952993,0.008570161202377243,True
usa_NC_0032_0031,4178.323364344843,2.0,3899343.484027886,-2600.6804726664304,3,-4.000013478436003,7977.776597295475,0.9999806302292713,0.017604670500226596,True
usa_NC_0032_0032,4228.826503844287,2.0,3899393.9774072417,-2550.1773331669865,2,-3.86378786286492,7728.523592401749,1.0,,True
usa_NC_0032_0033,4278.07926866024,2.0,3899436.4830629993,-2500.9245683510335,2,-3.7615948243578017,7519.081235071929,1.0,,True
usa_NC_0032_0034,4332.446353784871,2.0,3899490.17677361,-2446.557483226403,2,2.646571324068099,-4928.190630296734,1.0,,True
usa_NC_0032_0035,4380.944619505182,2.0,3899534.8750282,-2398.059217506091,2,-0.3378406362285061,874.4530112857522,1.0,,True
usa_NC_0032_0036,4431.1305721524795,2.0,3899581.6194631765,-2347.873264858794,3,-4.652498319289241,9267.859560048819,0.9999190493158678,0.041861430545507304,True
usa_NC_0032_0037,4481.448852092058,2.0,3899630.5444334648,-2297.5549849192157,3,-4.57342017210346,9115.319889444492,0.9998956827421398,0.04671343865266706,True
