"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"1996/06/11","00:00","-0.11","-","-0.245"
"1996/06/11","01:00","-0.344","-","-0.452"
"1996/06/11","02:00","-0.518","-","-0.59"
"1996/06/11","03:00","-0.566","-","-0.623"
"1996/06/11","04:00","-0.481","-","-0.56"
"1996/06/11","05:00","-0.298","-","-0.384"
"1996/06/11","06:00","-0.082","-","-0.144"
"1996/06/11","07:00","0.111","-","0.036"
"1996/06/11","08:00","0.244","-","0.153"
"1996/06/11","09:00","0.268","-","0.183"
"1996/06/11","10:00","0.167","-","0.107"
"1996/06/11","11:00","-0.014","-","-0.085"
"1996/06/11","12:00","-0.23","-","-0.301"
"1996/06/11","13:00","-0.456","-","-0.51"
"1996/06/11","14:00","-0.636","-","-0.633"
"1996/06/11","15:00","-0.694","-","-0.841"
"1996/06/11","16:00","-0.608","-","-0.676"
"1996/06/11","17:00","-0.408","-","-0.425"
"1996/06/11","18:00","-0.152","-","-0.222"
"1996/06/11","19:00","0.1","-","0.004"
"1996/06/11","20:00","0.31","-","0.223"
"1996/06/11","21:00","0.434","-","0.335"
"1996/06/11","22:00","0.426","-","0.328"
"1996/06/11","23:00","0.302","-","0.201"
"1996/06/12","00:00","0.113","-","0.009"
"1996/06/12","01:00","-0.121","-","-0.2"
"1996/06/12","02:00","-0.362","-","-0.421"
"1996/06/12","03:00","-0.528","-","-0.583"
"1996/06/12","04:00","-0.564","-","-0.602"
"1996/06/12","05:00","-0.473","-","-0.583"
"1996/06/12","06:00","-0.297","-","-0.386"
"1996/06/12","07:00","-0.091","-","-0.163"
"1996/06/12","08:00","0.099","-","0.026"
"1996/06/12","09:00","0.23","-","0.156"
"1996/06/12","10:00","0.244","-","0.164"
"1996/06/12","11:00","0.13","-","0.076"
"1996/06/12","12:00","-0.058","-","-0.136"
"1996/06/12","13:00","-0.276","-","-0.35"
"1996/06/12","14:00","-0.497","-","-0.557"
"1996/06/12","15:00","-0.653","-","-0.698"
"1996/06/12","16:00","-0.679","-","-0.742"
"1996/06/12","17:00","-0.568","-","-0.665"
"1996/06/12","18:00","-0.358","-","-0.408"
"1996/06/12","19:00","-0.102","-","-0.166"
"1996/06/12","20:00","0.15","-","0.069"
"1996/06/12","21:00","0.359","-","0.246"
"1996/06/12","22:00","0.469","-","0.337"
"1996/06/12","23:00","0.437","-","0.327"
"1996/06/13","00:00","0.293","-","0.138"
"1996/06/13","01:00","0.087","-","-0.062"
"1996/06/13","02:00","-0.159","-","-0.268"
"1996/06/13","03:00","-0.397","-","-0.507"
"1996/06/13","04:00","-0.545","-","-0.658"
"1996/06/13","05:00","-0.564","-","-0.716"
"1996/06/13","06:00","-0.466","-","-0.587"
"1996/06/13","07:00","-0.288","-","-0.365"
"1996/06/13","08:00","-0.08","-","-0.167"
"1996/06/13","09:00","0.111","-","-0.037"
"1996/06/13","10:00","0.232","-","0.088"
"1996/06/13","11:00","0.223","-","0.06"
"1996/06/13","12:00","0.089","-","-0.034"
"1996/06/13","13:00","-0.109","-","-0.195"
"1996/06/13","14:00","-0.329","-","-0.457"
"1996/06/13","15:00","-0.536","-","-0.63"
"1996/06/13","16:00","-0.661","-","-0.825"
"1996/06/13","17:00","-0.654","-","-0.825"
"1996/06/13","18:00","-0.521","-","-0.625"
"1996/06/13","19:00","-0.299","-","-0.352"
"1996/06/13","20:00","-0.037","-","-0.125"
"1996/06/13","21:00","0.215","-","0.07"
"1996/06/13","22:00","0.411","-","0.26"
"1996/06/13","23:00","0.491","-","0.322"
"1996/06/14","00:00","0.426","-","0.299"
"1996/06/14","01:00","0.257","-","0.1"
"1996/06/14","02:00","0.035","-","-0.102"
"1996/06/14","03:00","-0.217","-","-0.341"
"1996/06/14","04:00","-0.44","-","-0.567"
"1996/06/14","05:00","-0.565","-","-0.715"
"1996/06/14","06:00","-0.564","-","-0.732"
"1996/06/14","07:00","-0.45","-","-0.567"
"1996/06/14","08:00","-0.259","-","-0.377"
"1996/06/14","09:00","-0.046","-","-0.166"
"1996/06/14","10:00","0.139","-","0.002"
"1996/06/14","11:00","0.236","-","0.115"
"1996/06/14","12:00","0.197","-","0.083"
"1996/06/14","13:00","0.04","-","-0.094"
"1996/06/14","14:00","-0.167","-","-0.257"
"1996/06/14","15:00","-0.383","-","-0.479"
"1996/06/14","16:00","-0.569","-","-0.679"
"1996/06/14","17:00","-0.66","-","-0.763"
"1996/06/14","18:00","-0.621","-","-0.755"
"1996/06/14","19:00","-0.463","-","-0.505"
"1996/06/14","20:00","-0.224","-","-0.283"
"1996/06/14","21:00","0.044","-","-0.069"
"1996/06/14","22:00","0.285","-","0.181"
"1996/06/14","23:00","0.453","-","0.311"
"1996/06/15","00:00","0.492","-","0.372"
"1996/06/15","01:00","0.389","-","0.309"
"1996/06/15","02:00","0.196","-","0.1"
"1996/06/15","03:00","-0.038","-","-0.108"
"1996/06/15","04:00","-0.284","-","-0.378"
"1996/06/15","05:00","-0.487","-","-0.589"
"1996/06/15","06:00","-0.584","-","-0.666"
"1996/06/15","07:00","-0.554","-","-0.603"
"1996/06/15","08:00","-0.414","-","-0.453"
"1996/06/15","09:00","-0.208","-","-0.29"
"1996/06/15","10:00","0.003","-","-0.098"
"1996/06/15","11:00","0.169","-","0.061"
"1996/06/15","12:00","0.234","-","0.107"
"1996/06/15","13:00","0.16","-","0.121"
"1996/06/15","14:00","-0.017","-","-0.026"
"1996/06/15","15:00","-0.228","-","-0.284"
"1996/06/15","16:00","-0.433","-","-0.524"
"1996/06/15","17:00","-0.594","-","-0.681"
"1996/06/15","18:00","-0.65","-","-0.716"
"1996/06/15","19:00","-0.575","-","-0.643"
"1996/06/15","20:00","-0.387","-","-0.434"
"1996/06/15","21:00","-0.131","-","-0.183"
"1996/06/15","22:00","0.129","-","0.015"
"1996/06/15","23:00","0.345","-","0.212"
"1996/06/16","00:00","0.475","-","0.345"
"1996/06/16","01:00","0.468","-","0.384"
"1996/06/16","02:00","0.328","-","0.237"
"1996/06/16","03:00","0.116","-","-0.005"
"1996/06/16","04:00","-0.12","-","-0.223"
"1996/06/16","05:00","-0.356","-","-0.463"
"1996/06/16","06:00","-0.532","-","-0.631"
"1996/06/16","07:00","-0.591","-","-0.69"
"1996/06/16","08:00","-0.523","-","-0.63"
"1996/06/16","09:00","-0.356","-","-0.445"
"1996/06/16","10:00","-0.144","-","-0.25"
"1996/06/16","11:00","0.053","-","-0.051"
"1996/06/16","12:00","0.192","-","0.083"
"1996/06/16","13:00","0.221","-","0.121"
"1996/06/16","14:00","0.113","-","0.044"
"1996/06/16","15:00","-0.08","-","-0.189"
"1996/06/16","16:00","-0.288","-","-0.385"
"1996/06/16","17:00","-0.478","-","-0.584"
"1996/06/16","18:00","-0.61","-","-0.726"
"1996/06/16","19:00","-0.625","-","-0.729"
"1996/06/16","20:00","-0.509","-","-0.595"
"1996/06/16","21:00","-0.293","-","-0.359"
"1996/06/16","22:00","-0.035","-","-0.157"
"1996/06/16","23:00","0.205","-","0.085"
"1996/06/17","00:00","0.387","-","0.261"
"1996/06/17","01:00","0.473","-","0.353"
"1996/06/17","02:00","0.42","-","0.346"
"1996/06/17","03:00","0.248","-","0.144"
"1996/06/17","04:00","0.026","-","-0.092"
"1996/06/17","05:00","-0.207","-","-0.31"
"1996/06/17","06:00","-0.425","-","-0.544"
"1996/06/17","07:00","-0.564","-","-0.656"
"1996/06/17","08:00","-0.576","-","-0.679"
"1996/06/17","09:00","-0.469","-","-0.559"
"1996/06/17","10:00","-0.284","-","-0.384"
"1996/06/17","11:00","-0.081","-","-0.174"
"1996/06/17","12:00","0.095","-","-0.008"
"1996/06/17","13:00","0.204","-","0.083"
"1996/06/17","14:00","0.195","-","0.105"
"1996/06/17","15:00","0.058","-","-0.051"
"1996/06/17","16:00","-0.142","-","-0.243"
"1996/06/17","17:00","-0.342","-","-0.45"
"1996/06/17","18:00","-0.514","-","-0.612"
"1996/06/17","19:00","-0.61","-","-0.696"
"1996/06/17","20:00","-0.578","-","-0.658"
"1996/06/17","21:00","-0.423","-","-0.485"
"1996/06/17","22:00","-0.194","-","-0.265"
"1996/06/17","23:00","0.051","-","-0.046"
"1996/06/18","00:00","0.262","-","0.146"
"1996/06/18","01:00","0.406","-","0.301"
"1996/06/18","02:00","0.447","-","0.355"
"1996/06/18","03:00","0.352","-","0.293"
