domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,cs_endpoint_raw_m_yr,cs_endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,resid_endpoint_coastsat_vs_cs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_cs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,resid_endpoint_dunemean3_vs_cs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_cs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr,resid_endpoint_duneraw_vs_cs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_cs_endpoint_loess_m_yr
1,-4.162511111111112,4.048,4.048,-2.094,-2.0938666666666665,-5.162927108288659,-4.155745904438994,0.00676520667211733,-9.210927108288658,-9.210927108288658,-3.068927108288659,-3.069060441621992,0.3220001198666068,0.3079276349751062,4.470438746086218,-3.725999880133393,-3.725999880133393,2.416000119866607,2.4158667865332735,4.0474489311674,2.9478272246935915,7.110338335804704,-0.0005510688325998103,-0.0005510688325998103,6.1414489311674,6.141315597834067
2,-4.797818181818182,-1.293,-1.29342,-3.405,-3.4048090909090907,-4.816878680305672,-4.24374163674974,0.5540765450684422,-3.523878680305672,-3.523458680305672,-1.4118786803056724,-1.4120695893965816,-0.1352597056938066,0.0036375650395937,4.801455746857776,1.1577402943061934,1.1581602943061935,3.2697402943061933,3.269549385215284,2.983531539411706,2.486785126539046,7.284603308357228,4.276531539411706,4.276951539411706,6.388531539411706,6.388340630320797
3,-4.76896,-1.787,-1.7869800000000002,-4.508,-4.50777,-4.097338173261596,-4.062563267719232,0.7063967322807683,-2.310338173261596,-2.3103581732615956,0.4106618267384041,0.41043182673840395,-0.1380731344881496,-0.1870184631440113,4.581941536855989,1.6489268655118503,1.6489068655118506,4.36992686551185,4.36969686551185,2.4563015284292304,2.0609902356241045,6.829950235624104,4.24330152842923,4.243281528429231,6.96430152842923,6.96407152842923
4,-3.9797000000000002,-0.98,-0.9802199999999999,-4.413,-4.413138461538462,-3.4693434921867263,-3.78694353109942,0.1927564689005803,-2.4893434921867263,-2.4891234921867262,0.9436565078132739,0.9437949693517353,-0.1325224004624033,-0.346163139430013,3.633536860569987,0.8474775995375967,0.8476975995375966,4.280477599537597,4.280616061076058,2.01179434587084,1.638620549881703,5.6183205498817035,2.99179434587084,2.9920143458708397,6.42479434587084,6.424932807409302
5,-2.3715230769230766,-0.903,-0.90266,-2.876,-2.875969230769231,-3.316637387836818,-3.534621031722997,-1.1630979547999205,-2.413637387836818,-2.413977387836818,-0.44063738783681794,-0.440668157067587,-0.535544429428046,-0.5626452939175166,1.80887778300556,0.367455570571954,0.367115570571954,2.3404555705719536,2.340424801341185,1.2228847043936184,1.161216316912124,3.5327393938352003,2.125884704393618,2.1255447043936186,4.098884704393618,4.0988539351628495
6,-1.3853333333333333,0.825,0.82524,-1.418,-1.4177166666666665,-3.450625982929796,-3.292149168709351,-1.9068158353760178,-4.275625982929796,-4.275865982929796,-2.0326259829297957,-2.0329093162631295,-1.1504907078157884,-0.7861703939638546,0.5991629393694787,-1.9754907078157884,-1.9757307078157884,0.2675092921842115,0.2672259588508781,0.2913879991856447,0.6854067770464793,2.0707401103798126,-0.5336120008143552,-0.5338520008143552,1.7093879991856447,1.7091046658523112
7,-2.188,0.537,0.53668,-2.346,-2.3456,-2.935525002016948,-2.8929571823760214,-0.7049571823760212,-3.472525002016948,-3.472205002016948,-0.589525002016948,-0.589925002016948,-1.0490226994378644,-0.8175018182331942,1.370498181766806,-1.5860226994378643,-1.5857026994378645,1.2969773005621357,1.2965773005621357,0.1229181124621391,0.413705580148748,2.601705580148748,-0.4140818875378609,-0.4137618875378609,2.468918112462139,2.468518112462139
8,-1.7017375000000001,0.662,0.6618,-1.58,-1.5800625,-2.3029925727835687,-2.446539701570279,-0.7448022015702787,-2.9649925727835686,-2.9647925727835687,-0.7229925727835687,-0.7229300727835688,-0.7712403050822104,-0.7553560329861545,0.9463814670138456,-1.4332403050822105,-1.4330403050822105,0.8087596949177897,0.8088221949177895,0.1769937309210036,0.2600408630246106,1.9617783630246106,-0.48500626907899647,-0.4848062690789965,1.7569937309210037,1.7570562309210036
9,-2.134688888888889,0.269,0.26864,-2.28,-2.280111111111111,-1.859299828370058,-2.045068155819213,0.08962073306967566,-2.128299828370058,-2.127939828370058,0.4207001716299419,0.4208112827410533,-0.6243513625716333,-0.6860008326191487,1.4486880562697402,-0.8933513625716333,-0.8929913625716333,1.6556486374283665,1.655759748539478,0.1383133744017868,0.1404942329594967,2.275183121848386,-0.13068662559821323,-0.1303266255982132,2.4183133744017864,2.418424485512898
10,-2.73665,-0.497,-0.49738,-2.984,-2.98354,-1.5476938617897755,-1.6972890520418449,1.0393609479581551,-1.0506938617897754,-1.0503138617897756,1.4363061382102245,1.4358461382102246,-0.5599777485486811,-0.6174430648473633,2.119206935152637,-0.0629777485486811,-0.06259774854868111,2.4240222514513188,2.423562251451319,0.0500534269985109,0.0465352860055683,2.783185286005568,0.5470534269985109,0.5474334269985108,3.034053426998511,3.033593426998511
11,-2.1023573878776496,-2.244,-0.8391303836413178,-3.355,-1.9667322369106977,-1.376555539484798,-1.4103697628351777,0.6919876250424719,0.8674444605152023,-0.5374251558434802,1.978444460515202,0.5901766974258997,-0.592572998891228,-0.5625492192457573,1.5398081686318923,1.6514270011087722,0.2465573847500897,2.762427001108772,1.3741592380194696,-0.106733655437165,-0.0349823813351355,2.0673750065425143,2.137266344562835,0.7323967282041528,3.248266344562835,1.8599985814735327
