domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
1,3.230033333333333,-0.013,-0.013400000000000033,4.244748781231465,3.2310357010396147,0.0010023677062815928,4.257748781231465,4.258148781231465,-2.6077740794550794,-1.8468939545343264,-5.07692728786766,-2.5947740794550795,-2.5943740794550796,-0.0088740534939851,0.3055371951620036,-2.9244961381713295,0.0041259465060149,0.004525946506014934
2,2.787481818181818,-4.757,-4.75692,3.216258107939861,2.7738424826454686,-0.013639335536349328,7.973258107939861,7.9731781079398605,-2.352928792064241,-1.8961778259901907,-4.683659644172009,2.4040712079357585,2.403991207935759,-0.2028352205393925,0.1001277751049837,-2.687354043076834,4.554164779460607,4.554084779460608
3,2.06967,-3.069,-3.06904,2.7458642372377136,2.349907324200136,0.28023732420013614,5.814864237237714,5.814904237237714,-1.7354555673664436,-1.7417885545793228,-3.811458554579323,1.3335444326335564,1.3335844326335566,0.0158840797873511,0.0075949779575914,-2.0620750220424084,3.084884079787351,3.0849240797873514
4,1.8394846153846154,-1.056,-1.056,2.1887364375388643,1.8610382398280525,0.021553624443437114,3.2447364375388643,3.2447364375388643,-1.3772765267941784,-1.6232498162886364,-3.462734431673252,-0.3212765267941784,-0.3212765267941784,0.0223093777713074,-0.1614426951393891,-2.0009273105240046,1.0783093777713075,1.0783093777713075
5,0.09963846153846155,0.417,0.41739999999999994,1.4062998688577864,1.3161053063438364,1.2164668448053748,0.9892998688577863,0.9888998688577864,-1.4065362229230232,-1.640126873069296,-1.7397653346077575,-1.8235362229230232,-1.8239362229230232,-0.2866284789584564,-0.4241992107925673,-0.5238376723310288,-0.7036284789584564,-0.7040284789584563
6,-1.3454833333333334,-0.54,-0.53976,-0.066765544944766,0.5953709820109118,1.9408543153442452,0.47323445505523404,0.472994455055234,-2.295283365978191,-1.851381415333692,-0.5058980820003587,-1.7552833659781908,-1.7555233659781908,-1.401251544790414,-0.8695288332170329,0.47595450011630047,-0.8612515447904139,-0.8614915447904139
7,-2.053675,-2.326,-2.32582,-0.2691588838493511,0.2779051747491525,2.3315801747491527,2.056841116150649,2.056661116150649,-2.0363895060129704,-1.703296214224866,0.35037878577513415,0.28961049398702965,0.2894304939870298,-1.323869060040774,-0.9236075680799304,1.1300674319200699,1.002130939959226,1.0019509399592261
8,-1.0956625,-1.033,-1.03254,-0.0885294894746299,0.1571898513782953,1.2528523513782952,0.94447051052537,0.9440105105253701,-1.4797346063057506,-1.4124206100030658,-0.31675811000306586,-0.4467346063057507,-0.4471946063057506,-0.9226671739554928,-0.8059013726948634,0.2897611273051366,0.11033282604450712,0.10987282604450721
9,-1.2735666666666665,-2.205,-2.2045000000000003,-0.037983397447793,0.0487882104674475,1.322354877134114,2.167016602552207,2.1665166025522073,-1.123652630304345,-1.1694735851615938,0.10409308150507268,1.081347369695655,1.0808473696956553,-0.6943779672462499,-0.7057898629613775,0.567776803705289,1.51062203275375,1.5101220327537503
10,-1.3624399999999999,-2.91,-2.9102,-0.0219879865864121,-0.0061398506844852,1.3563001493155147,2.8880120134135883,2.888212013413588,-0.862893869425274,-0.9356509088283016,0.4267890911716983,2.047106130574726,2.047306130574726,-0.5364406863476948,-0.5869253662278341,0.7755146337721658,2.373559313652305,2.373759313652305
