window,model_ends,model_estimator,target,interval_yr,n_interior,bias_m_yr,rmse_m_yr
1984_2004,coastsat,endpoint,coastsat_loess,19.68,88,0.17533555744098578,1.2158270269566833
1984_2004,coastsat,endpoint,endpoint_raw,19.68,88,-0.08811449278607619,2.2059663284428384
1984_2004,coastsat,endpoint,endpoint_loess,19.68,88,-0.09043490956858262,2.0371919467772175
1984_2004,coastsat,endpoint,cs_endpoint_raw,19.68,88,0.057703689032105654,1.7206415192826392
1984_2004,coastsat,endpoint,cs_endpoint_loess,19.68,88,0.16898185183320102,1.3146950831346613
1984_2004,coastsat,lrr,coastsat_loess,19.68,88,0.16406093958202114,1.2240398110200124
1984_2004,coastsat,lrr,endpoint_raw,19.68,88,-0.09938911064504076,2.2117956198424187
1984_2004,coastsat,lrr,endpoint_loess,19.68,88,-0.10170952742754719,2.032791703171607
1984_2004,coastsat,lrr,cs_endpoint_raw,19.68,88,0.04642907117314105,1.732927634111616
1984_2004,coastsat,lrr,cs_endpoint_loess,19.68,88,0.15770723397423644,1.3182183113688077
1984_2004,dune-mean3,endpoint,coastsat_loess,19.68,88,0.42419273116522566,1.436729200618999
1984_2004,dune-mean3,endpoint,endpoint_raw,19.68,88,0.16074268093816374,2.0234370832193775
1984_2004,dune-mean3,endpoint,endpoint_loess,19.68,88,0.15842226415565736,1.8320802998244563
1984_2004,dune-mean3,endpoint,cs_endpoint_raw,19.68,88,0.3065608627563456,1.850743998303471
1984_2004,dune-mean3,endpoint,cs_endpoint_loess,19.68,88,0.41783902555744096,1.4770714166587977
1984_2004,dune-mean3,lrr,coastsat_loess,19.68,88,0.41984576643264665,1.443595628094989
1984_2004,dune-mean3,lrr,endpoint_raw,19.68,88,0.15639571620558465,2.0263369648727854
1984_2004,dune-mean3,lrr,endpoint_loess,19.68,88,0.15407529942307824,1.8230036519279176
1984_2004,dune-mean3,lrr,cs_endpoint_raw,19.68,88,0.30221389802376647,1.8671773082069107
1984_2004,dune-mean3,lrr,cs_endpoint_loess,19.68,88,0.41349206082486184,1.4859712931996862
1984_2004,dune-raw,endpoint,coastsat_loess,19.68,88,0.6375109815613897,1.8709668481522712
1984_2004,dune-raw,endpoint,endpoint_raw,19.68,88,0.3740609313343279,2.1464264264495787
1984_2004,dune-raw,endpoint,endpoint_loess,19.68,88,0.3717405145518215,1.960144437170984
