gis,kind,historical_year,start_setback_m,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,historical,1999.0,40.0,0.0,2002,0,10.0,3,0.0
12,historical,1999.0,20.0,0.0,2002,0,10.0,3,0.0
13,historical,1999.0,20.0,0.0,2003,0,10.0,2,0.0
84,historical,1989.0,25.0,5.0,2000,0,15.0,5,5.0
14,historical,1999.0,60.0,40.0,2004,4,50.0,1,40.0
16,control,,40.0,40.0,1984,4,50.0,21,40.0
87,historical,1989.0,50.0,50.0,1984,5,60.0,21,50.0
15,control,,60.0,60.0,1984,6,70.0,21,60.0
20,control,,70.0,70.0,1984,7,80.0,21,70.0
49,control,,90.0,80.0,2000,8,90.0,5,80.0
17,control,,90.0,90.0,1984,9,100.0,21,90.0
50,control,,90.0,90.0,1984,9,100.0,21,90.0
18,control,,120.0,120.0,1984,12,130.0,21,120.0
19,control,,130.0,130.0,1984,13,140.0,21,130.0
45,control,,150.0,140.0,2001,14,150.0,4,140.0
47,control,,150.0,140.0,2000,14,150.0,5,140.0
44,control,,160.0,150.0,1993,15,160.0,12,150.0
46,control,,150.0,150.0,1984,15,160.0,21,150.0
48,control,,150.0,150.0,1984,15,160.0,21,150.0
89,control,,160.0,150.0,2004,15,160.0,1,150.0
51,control,,155.0,155.0,1984,16,165.0,21,155.0
43,control,,170.0,160.0,2000,16,170.0,5,160.0
54,control,,160.0,160.0,1984,16,170.0,21,160.0
88,control,,160.0,160.0,1984,16,170.0,21,160.0
90,control,,160.0,160.0,1984,16,170.0,10,160.0
33,control,,180.0,170.0,1995,17,180.0,10,170.0
42,control,,180.0,170.0,1993,17,180.0,12,170.0
52,control,,170.0,170.0,1984,17,180.0,21,170.0
53,control,,170.0,170.0,1984,17,180.0,21,170.0
55,control,,170.0,170.0,1984,17,180.0,21,170.0
35,control,,195.0,175.0,1994,18,185.0,11,175.0
40,control,,210.0,180.0,2003,18,190.0,2,180.0
41,control,,200.0,180.0,1999,18,190.0,6,180.0
56,control,,180.0,180.0,1984,18,190.0,21,180.0
34,control,,210.0,190.0,1995,19,200.0,10,190.0
32,control,,210.0,200.0,1995,20,210.0,10,200.0
39,control,,230.0,200.0,1996,20,210.0,9,200.0
57,control,,210.0,210.0,1984,21,220.0,21,210.0
58,control,,240.0,240.0,1984,24,250.0,21,240.0
38,control,,300.0,270.0,1999,27,280.0,6,270.0
59,control,,270.0,270.0,1984,27,280.0,21,270.0
65,control,,290.0,280.0,2000,28,290.0,5,280.0
66,control,,290.0,280.0,1997,28,290.0,8,280.0
64,control,,300.0,290.0,2003,29,300.0,2,290.0
67,control,,300.0,290.0,1995,29,300.0,10,290.0
37,control,,330.0,300.0,2002,30,310.0,3,300.0
63,control,,300.0,300.0,1984,30,310.0,21,300.0
60,control,,310.0,310.0,1984,31,320.0,21,310.0
36,control,,350.0,320.0,2004,32,330.0,1,320.0
62,control,,320.0,320.0,1984,32,330.0,21,320.0
61,control,,330.0,330.0,1984,33,340.0,21,330.0
