gis,historical_year,modelled_first_year,error_years,n_relocations,managed,outcome,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,1999,,,0,True,never relocated,30.0,1988.0,3.0,40.0,17.0,30.0
10,1999,,,0,True,never relocated,10.0,1987.0,1.0,20.0,18.0,10.0
11,1999,2004.0,5.0,1,True,relocated,,,,,,
12,1999,,,0,True,never relocated,10.0,2002.0,1.0,20.0,3.0,10.0
13,1999,,,0,True,never relocated,10.0,2000.0,1.0,20.0,5.0,10.0
14,1999,,,0,True,never relocated,50.0,1998.0,5.0,60.0,7.0,50.0
84,1989,2000.0,11.0,1,True,relocated,,,,,,
85,1989,1990.0,1.0,1,True,relocated,,,,,,
86,1989,1993.0,4.0,1,True,relocated,,,,,,
87,1989,,,0,True,never relocated,30.0,2000.0,3.0,40.0,5.0,30.0
