arm,gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
free,9,23,False,False,21,managed throughout,4105.946198832456,2,0
free,10,24,False,False,21,managed throughout,8817.170207981788,1,0
free,11,25,False,False,21,managed throughout,3213.7439203493427,0,1
free,12,26,False,False,21,managed throughout,9817.861042096036,1,0
free,13,27,False,False,21,managed throughout,13459.788358886944,1,0
free,14,28,False,False,21,managed throughout,5981.866585242149,2,0
free,15,29,False,False,21,managed throughout,4437.429970797777,1,0
free,16,30,False,False,21,managed throughout,6366.796105905936,1,0
free,17,31,False,False,21,managed throughout,6720.9282241931205,1,0
free,18,32,False,False,21,managed throughout,3084.47672400313,2,0
free,19,33,False,False,21,managed throughout,2286.036667411008,2,0
free,20,34,False,False,21,managed throughout,5461.3790717954,1,0
free,32,46,False,False,21,managed throughout,1046.0442759026214,2,0
free,33,47,False,False,21,managed throughout,1525.3009899725537,2,0
free,34,48,False,False,21,managed throughout,706.2759637832702,0,0
free,35,49,False,False,21,managed throughout,1520.2653753598886,2,0
free,36,50,False,False,21,managed throughout,1681.9798880577143,1,0
free,37,51,False,False,21,managed throughout,1678.2716416119767,2,0
free,38,52,False,False,21,managed throughout,2175.7396353288545,2,0
free,39,53,False,False,21,managed throughout,3346.1212703704896,0,0
free,40,54,False,False,21,managed throughout,3907.3727506691303,1,0
free,41,55,False,False,21,managed throughout,4936.657120237766,1,0
free,42,56,False,False,21,managed throughout,5146.8198066444,2,0
free,43,57,False,False,21,managed throughout,2451.8632095079142,2,0
free,44,58,False,False,21,managed throughout,4574.024325231498,2,0
free,45,59,False,False,21,managed throughout,7399.986947751898,1,0
free,46,60,False,False,21,managed throughout,7789.3047925767,1,0
free,47,61,False,False,21,managed throughout,6573.58884344821,1,0
free,48,62,False,False,21,managed throughout,6675.564154167738,1,0
free,49,63,False,False,21,managed throughout,2671.3329722297553,0,0
free,50,64,False,False,21,managed throughout,8617.940476330123,1,0
free,51,65,False,False,21,managed throughout,7162.594505749917,1,0
free,52,66,False,False,21,managed throughout,5117.116652782764,1,0
free,53,67,False,False,21,managed throughout,8021.133213496552,1,0
free,54,68,False,False,21,managed throughout,6609.531155971129,2,0
free,55,69,False,False,21,managed throughout,6483.602977161296,2,0
free,56,70,False,False,21,managed throughout,6064.844167916145,1,0
free,57,71,False,False,21,managed throughout,6612.488482063139,1,0
free,58,72,False,False,21,managed throughout,5213.291918649536,1,0
free,59,73,False,False,21,managed throughout,5733.8805505223645,2,0
free,60,74,False,False,21,managed throughout,5226.016155254916,2,0
free,61,75,False,False,21,managed throughout,3662.2172305461368,2,0
free,62,76,False,False,21,managed throughout,4465.000771883181,2,0
free,63,77,False,False,21,managed throughout,4683.1373948863875,2,0
free,64,78,False,False,21,managed throughout,3997.269000811194,1,0
free,65,79,False,False,21,managed throughout,1931.6819748066155,2,0
free,66,80,False,False,21,managed throughout,1267.8819846628776,2,0
free,67,81,False,False,21,managed throughout,1774.0000594644018,2,0
free,84,98,False,False,21,managed throughout,13291.59811980551,2,1
free,85,99,False,False,21,managed throughout,20242.141335881184,1,1
free,86,100,False,False,21,managed throughout,15544.14446544647,1,1
free,87,101,False,False,21,managed throughout,9191.718062794751,2,0
free,88,102,False,False,21,managed throughout,3295.1507873403716,2,0
free,89,103,False,False,21,managed throughout,4725.236564454988,1,0
free,90,104,False,False,21,managed throughout,4290.655199475274,2,0
prescribed,9,23,False,False,21,managed throughout,5135.350193908176,2,0
prescribed,10,24,False,False,21,managed throughout,9095.304635666274,1,0
prescribed,11,25,False,False,21,managed throughout,2615.408701978506,0,0
prescribed,12,26,False,False,21,managed throughout,10179.47368894913,1,0
prescribed,13,27,False,False,21,managed throughout,15204.31272063844,1,0
prescribed,14,28,False,False,21,managed throughout,7768.5575890160635,2,0
prescribed,15,29,False,False,21,managed throughout,4437.429970797777,1,0
prescribed,16,30,False,False,21,managed throughout,6366.796105905936,1,0
prescribed,17,31,False,False,21,managed throughout,6720.9282241931205,1,0
prescribed,18,32,False,False,21,managed throughout,3084.47672400313,2,0
prescribed,19,33,False,False,21,managed throughout,2286.036667411008,2,0
prescribed,20,34,False,False,21,managed throughout,5461.3790717954,1,0
prescribed,32,46,False,False,21,managed throughout,1046.0442759026214,2,0
prescribed,33,47,False,False,21,managed throughout,1525.3009899725537,2,0
prescribed,34,48,False,False,21,managed throughout,706.2759637832702,0,0
prescribed,35,49,False,False,21,managed throughout,1520.2653753598886,2,0
prescribed,36,50,False,False,21,managed throughout,1681.9798880577143,1,0
prescribed,37,51,False,False,21,managed throughout,1678.2716416119767,2,0
prescribed,38,52,False,False,21,managed throughout,2175.7396353288545,2,0
prescribed,39,53,False,False,21,managed throughout,3346.1212703704896,0,0
prescribed,40,54,False,False,21,managed throughout,3907.3727506691303,1,0
prescribed,41,55,False,False,21,managed throughout,4936.657120237766,1,0
prescribed,42,56,False,False,21,managed throughout,5146.8198066444,2,0
prescribed,43,57,False,False,21,managed throughout,2451.8632095079142,2,0
prescribed,44,58,False,False,21,managed throughout,4574.024325231498,2,0
prescribed,45,59,False,False,21,managed throughout,7399.986947751898,1,0
prescribed,46,60,False,False,21,managed throughout,7789.3047925767,1,0
prescribed,47,61,False,False,21,managed throughout,6573.58884344821,1,0
prescribed,48,62,False,False,21,managed throughout,6675.564154167738,1,0
prescribed,49,63,False,False,21,managed throughout,2671.3329722297553,0,0
prescribed,50,64,False,False,21,managed throughout,8617.940476330123,1,0
prescribed,51,65,False,False,21,managed throughout,7162.594505749917,1,0
prescribed,52,66,False,False,21,managed throughout,5117.116652782764,1,0
prescribed,53,67,False,False,21,managed throughout,8021.133213496552,1,0
prescribed,54,68,False,False,21,managed throughout,6609.531155971129,2,0
prescribed,55,69,False,False,21,managed throughout,6483.602977161296,2,0
prescribed,56,70,False,False,21,managed throughout,6064.844167916145,1,0
prescribed,57,71,False,False,21,managed throughout,6612.488482063139,1,0
prescribed,58,72,False,False,21,managed throughout,5213.291918649536,1,0
prescribed,59,73,False,False,21,managed throughout,5733.8805505223645,2,0
prescribed,60,74,False,False,21,managed throughout,5226.016155254916,2,0
prescribed,61,75,False,False,21,managed throughout,3662.2172305461368,2,0
prescribed,62,76,False,False,21,managed throughout,4465.000771883181,2,0
prescribed,63,77,False,False,21,managed throughout,4683.1373948863875,2,0
prescribed,64,78,False,False,21,managed throughout,3997.269000811194,1,0
prescribed,65,79,False,False,21,managed throughout,1931.6819748066155,2,0
prescribed,66,80,False,False,21,managed throughout,1267.8819846628776,2,0
prescribed,67,81,False,False,21,managed throughout,1774.0000594644018,2,0
prescribed,84,98,False,False,21,managed throughout,16689.03049244938,2,0
prescribed,85,99,False,False,21,managed throughout,21974.601839697792,1,0
prescribed,86,100,False,False,21,managed throughout,17530.81951084137,1,0
prescribed,87,101,False,False,21,managed throughout,11897.269179985646,1,0
prescribed,88,102,False,False,21,managed throughout,3295.1507873403716,2,0
prescribed,89,103,False,False,21,managed throughout,4725.236564454988,1,0
prescribed,90,104,False,False,21,managed throughout,4290.655199475274,2,0
