gis,kind,historical_year,start_setback_m,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
16,control,,1.4,1.4,1984,0,11.4,21,1.4
13,historical,1999.0,32.3,12.299999999999997,2000,1,22.299999999999997,5,12.299999999999997
12,historical,1999.0,35.0,15.0,1999,2,25.0,6,15.0
87,historical,1989.0,60.0,20.0,2001,2,30.0,4,20.0
15,control,,40.9,30.9,2004,3,40.9,1,30.9
14,historical,1999.0,60.1,40.1,2002,4,50.1,3,40.1
20,control,,51.6,51.6,1984,5,61.6,21,51.6
49,control,,121.6,91.6,2002,9,101.6,3,91.6
17,control,,92.7,92.7,1984,9,102.7,21,92.7
50,control,,128.8,98.80000000000001,2004,10,108.80000000000001,1,98.80000000000001
18,control,,120.9,120.9,1984,12,130.9,21,120.9
19,control,,127.7,127.7,1984,13,137.7,21,127.7
89,control,,152.2,132.2,2004,13,142.2,1,132.2
48,control,,161.2,141.2,2000,14,151.2,5,141.2
47,control,,162.2,142.2,1998,14,152.2,7,142.2
88,control,,166.8,146.8,2000,15,156.8,5,146.8
44,control,,170.4,150.4,2002,15,160.4,3,150.4
46,control,,162.2,152.2,1996,15,162.2,9,152.2
90,control,,154.1,154.1,1984,15,164.1,2,154.1
43,control,,164.4,154.4,1998,15,164.4,7,154.4
53,control,,177.7,157.7,1998,16,167.7,7,157.7
52,control,,187.8,157.8,2002,16,167.8,3,157.8
42,control,,169.6,159.6,1993,16,169.6,12,159.6
45,control,,172.6,162.6,1994,16,172.6,11,162.6
33,control,,163.1,163.1,1984,16,173.1,9,173.1
51,control,,183.1,163.1,1997,16,173.1,8,163.1
56,control,,173.6,163.6,1990,16,173.6,15,163.6
54,control,,189.1,169.1,1995,17,179.1,10,169.1
55,control,,181.6,171.6,1992,17,181.6,13,171.6
41,control,,193.9,173.9,2001,17,183.9,4,173.9
35,control,,182.9,182.9,1984,18,192.9,21,182.9
40,control,,205.1,185.1,1995,19,195.1,10,185.1
39,control,,220.8,190.8,2004,19,200.8,1,190.8
57,control,,203.2,193.2,1989,19,203.2,16,193.2
32,control,,197.5,197.5,1984,20,207.5,6,207.5
34,control,,199.8,199.8,1984,20,209.8,21,199.8
66,control,,238.6,238.6,1984,24,248.6,21,238.6
64,control,,238.8,238.8,1984,24,248.8,21,238.8
58,control,,245.4,245.4,1984,25,255.4,21,245.4
67,control,,248.0,248.0,1984,25,258.0,21,248.0
63,control,,249.1,249.1,1984,25,259.1,21,249.1
65,control,,250.5,250.5,1984,25,260.5,21,250.5
38,control,,272.1,252.10000000000002,1994,25,262.1,11,252.10000000000002
59,control,,254.6,254.6,1984,25,264.6,21,254.6
62,control,,291.6,291.6,1984,29,301.6,21,291.6
37,control,,314.9,304.9,1986,30,314.9,19,304.9
60,control,,311.6,311.6,1984,31,321.6,21,311.6
61,control,,319.2,319.2,1984,32,329.2,21,319.2
36,control,,338.8,328.8,1987,33,338.8,18,328.8
