arm,gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
free,9,23,False,False,21,managed throughout,7624.4720872795515,2,1
free,10,24,False,False,21,managed throughout,9369.0517967958,2,1
free,11,25,False,False,21,managed throughout,2092.5331307461474,1,1
free,12,26,False,False,21,managed throughout,5492.8505269428115,2,0
free,13,27,False,False,21,managed throughout,8021.126193966527,1,0
free,14,28,False,False,21,managed throughout,5974.900249294377,2,0
free,15,29,False,False,21,managed throughout,12052.78495494502,1,0
free,16,30,False,False,21,managed throughout,7728.439451515091,1,0
free,17,31,False,False,21,managed throughout,6720.9282241931205,1,0
free,18,32,False,False,21,managed throughout,3084.47672400313,2,0
free,19,33,False,False,21,managed throughout,2215.71751099156,2,0
free,20,34,False,False,21,managed throughout,8796.583351807356,1,0
free,32,46,False,False,21,managed throughout,1618.7258906922339,2,0
free,33,47,False,False,21,managed throughout,3014.6626079268453,2,0
free,34,48,False,False,21,managed throughout,2498.865100455709,1,0
free,35,49,False,False,21,managed throughout,1545.0316987008375,2,0
free,36,50,False,False,21,managed throughout,1734.6358352661189,1,0
free,37,51,False,False,21,managed throughout,3897.1766204176142,1,0
free,38,52,False,False,21,managed throughout,3869.529480200592,2,0
free,39,53,False,False,21,managed throughout,4049.6145987510745,0,0
free,40,54,False,False,21,managed throughout,6109.6467319056765,1,0
free,41,55,False,False,21,managed throughout,5458.2226381113605,1,0
free,42,56,False,False,21,managed throughout,7688.035679221736,2,0
free,43,57,False,False,21,managed throughout,5333.514180801532,2,0
free,44,58,False,False,21,managed throughout,4378.635140592916,2,0
free,45,59,False,False,21,managed throughout,7537.636930580108,1,0
free,46,60,False,False,21,managed throughout,8398.677477076064,2,0
free,47,61,False,False,21,managed throughout,8353.16773464494,2,0
free,48,62,False,False,21,managed throughout,7677.009434100759,1,0
free,49,63,False,False,21,managed throughout,4930.325607020523,1,0
free,50,64,False,False,21,managed throughout,11228.532861978236,2,0
free,51,65,False,False,21,managed throughout,7605.122351870335,2,0
free,52,66,False,False,21,managed throughout,2723.156607151039,1,0
free,53,67,False,False,21,managed throughout,8114.617815389298,2,0
free,54,68,False,False,21,managed throughout,3630.0422357439234,1,0
free,55,69,False,False,21,managed throughout,5102.822079348186,2,0
free,56,70,False,False,21,managed throughout,8055.32202233698,2,0
free,57,71,False,False,21,managed throughout,7600.346563178496,2,0
free,58,72,False,False,21,managed throughout,5213.291918649536,1,0
free,59,73,False,False,21,managed throughout,6938.780016532786,2,0
free,60,74,False,False,21,managed throughout,5226.016155254916,2,0
free,61,75,False,False,21,managed throughout,4655.849151980857,2,0
free,62,76,False,False,21,managed throughout,5882.9856677118405,2,0
