gis,historical,event_year,free_start_m,free_last_m,free_last_year,prescribed_start_m,prescribed_last_m,prescribed_last_year,compared_through,difference_at_common_m,rmse_m,check_year,free_at_check_m,prescribed_at_check_m,measured_2004_m
9,True,1999.0,40.0,40.0,2010,40.0,60.0,2010,2010,20.0,17.88854381999832,2004,40.0,60.0,50.0
10,True,1999.0,20.0,20.0,2010,20.0,70.0,2010,2010,50.0,44.721359549995796,2004,20.0,70.0,40.0
11,True,1999.0,10.0,0.0,2010,10.0,80.0,2010,2010,80.0,71.55417527999327,2004,0.0,80.0,20.0
12,True,1999.0,20.0,20.0,2010,20.0,90.0,2010,2010,70.0,62.609903369994115,2004,20.0,90.0,30.0
13,True,1999.0,20.0,20.0,2010,20.0,70.0,2010,2010,50.0,44.721359549995796,2004,20.0,70.0,50.0
14,True,1999.0,60.0,60.0,2010,60.0,80.0,2010,2010,20.0,17.88854381999832,2004,60.0,80.0,65.0
15,False,,60.0,60.0,2010,60.0,60.0,2010,2010,0.0,0.0,2004,60.0,60.0,
16,False,,40.0,40.0,2010,40.0,40.0,2010,2010,0.0,0.0,2004,40.0,40.0,
17,False,,90.0,80.0,2010,90.0,80.0,2010,2010,0.0,0.0,2004,80.0,80.0,
18,False,,120.0,120.0,2010,120.0,120.0,2010,2010,0.0,0.0,2004,120.0,120.0,
19,False,,130.0,130.0,2010,130.0,130.0,2010,2010,0.0,0.0,2004,130.0,130.0,
20,False,,70.0,70.0,2010,70.0,70.0,2010,2010,0.0,0.0,2004,70.0,70.0,
32,False,,210.0,210.0,2010,210.0,210.0,2010,2010,0.0,0.0,2004,210.0,210.0,
33,False,,180.0,180.0,2010,180.0,180.0,2010,2010,0.0,0.0,2004,180.0,180.0,
34,False,,210.0,200.0,2010,210.0,200.0,2010,2010,0.0,0.0,2004,200.0,200.0,
35,False,,195.0,165.0,2010,195.0,165.0,2010,2010,0.0,0.0,2004,175.0,175.0,
36,False,,350.0,320.0,2010,350.0,320.0,2010,2010,0.0,0.0,2004,330.0,330.0,
37,False,,330.0,300.0,2010,330.0,300.0,2010,2010,0.0,0.0,2004,310.0,310.0,
38,False,,300.0,280.0,2010,300.0,280.0,2010,2010,0.0,0.0,2004,290.0,290.0,
39,False,,230.0,210.0,2010,230.0,210.0,2010,2010,0.0,0.0,2004,210.0,210.0,
40,False,,210.0,190.0,2010,210.0,190.0,2010,2010,0.0,0.0,2004,200.0,200.0,
41,False,,200.0,190.0,2010,200.0,190.0,2010,2010,0.0,0.0,2004,190.0,190.0,
42,False,,180.0,160.0,2010,180.0,160.0,2010,2010,0.0,0.0,2004,170.0,170.0,
43,False,,170.0,160.0,2010,170.0,160.0,2010,2010,0.0,0.0,2004,160.0,160.0,
44,False,,160.0,150.0,2010,160.0,150.0,2010,2010,0.0,0.0,2004,160.0,160.0,
45,False,,150.0,150.0,2010,150.0,150.0,2010,2010,0.0,0.0,2004,150.0,150.0,
46,False,,150.0,150.0,2010,150.0,150.0,2010,2010,0.0,0.0,2004,150.0,150.0,
47,False,,150.0,150.0,2010,150.0,150.0,2010,2010,0.0,0.0,2004,150.0,150.0,
48,False,,150.0,150.0,2010,150.0,150.0,2010,2010,0.0,0.0,2004,150.0,150.0,
49,False,,90.0,90.0,2010,90.0,90.0,2010,2010,0.0,0.0,2004,90.0,90.0,
50,False,,90.0,90.0,2010,90.0,90.0,2010,2010,0.0,0.0,2004,90.0,90.0,
51,False,,155.0,155.0,2010,155.0,155.0,2010,2010,0.0,0.0,2004,155.0,155.0,
52,False,,170.0,170.0,2010,170.0,170.0,2010,2010,0.0,0.0,2004,170.0,170.0,
53,False,,170.0,170.0,2010,170.0,170.0,2010,2010,0.0,0.0,2004,170.0,170.0,
54,False,,160.0,160.0,2010,160.0,160.0,2010,2010,0.0,0.0,2004,160.0,160.0,
55,False,,170.0,170.0,2010,170.0,170.0,2010,2010,0.0,0.0,2004,170.0,170.0,
56,False,,180.0,180.0,2010,180.0,180.0,2010,2010,0.0,0.0,2004,180.0,180.0,
57,False,,210.0,210.0,2010,210.0,210.0,2010,2010,0.0,0.0,2004,210.0,210.0,
58,False,,240.0,240.0,2010,240.0,240.0,2010,2010,0.0,0.0,2004,240.0,240.0,
59,False,,270.0,270.0,2010,270.0,270.0,2010,2010,0.0,0.0,2004,270.0,270.0,
60,False,,310.0,310.0,2010,310.0,310.0,2010,2010,0.0,0.0,2004,310.0,310.0,
61,False,,330.0,330.0,2010,330.0,330.0,2010,2010,0.0,0.0,2004,330.0,330.0,
62,False,,320.0,310.0,2010,320.0,310.0,2010,2010,0.0,0.0,2004,320.0,320.0,
63,False,,300.0,290.0,2010,300.0,290.0,2010,2010,0.0,0.0,2004,300.0,300.0,
64,False,,300.0,290.0,2010,300.0,290.0,2010,2010,0.0,0.0,2004,290.0,290.0,
65,False,,290.0,290.0,2010,290.0,290.0,2010,2010,0.0,0.0,2004,290.0,290.0,
66,False,,290.0,290.0,2010,290.0,290.0,2010,2010,0.0,0.0,2004,290.0,290.0,
67,False,,300.0,290.0,2010,300.0,290.0,2010,2010,0.0,0.0,2004,290.0,290.0,
84,False,,65.0,45.0,2010,65.0,45.0,2010,2010,0.0,0.0,2004,55.0,55.0,30.0
85,False,,110.0,100.0,2010,110.0,100.0,2010,2010,0.0,0.0,2004,110.0,110.0,70.0
86,False,,90.0,90.0,2010,90.0,90.0,2010,2010,0.0,0.0,2004,90.0,90.0,50.0
87,False,,70.0,70.0,2010,70.0,70.0,2010,2010,0.0,0.0,2004,70.0,70.0,40.0
88,False,,160.0,160.0,2010,160.0,160.0,2010,2010,0.0,0.0,2004,160.0,160.0,
89,False,,160.0,160.0,2010,160.0,160.0,2010,2010,0.0,0.0,2004,160.0,160.0,
90,False,,160.0,160.0,2010,160.0,160.0,2010,2010,0.0,0.0,2004,160.0,160.0,
