gis,hist,closest_v2_m,needed_v2_m,at_year_v2,closest_v3_m,needed_v3_m,at_year_v3,needed_change_m,kind,migration_needed_m_v2,closest_year_v2,migration_needed_m_v3,closest_year_v3
9,1999.0,0.0,10.0,2002,,,,,historical,,,,
12,1999.0,0.0,10.0,1999,15.0,25.0,1999,15.0,historical,,,,
13,1999.0,0.0,10.0,2000,12.299999999999995,22.3,2000,12.3,historical,,,,
14,1999.0,40.0,50.0,2002,40.1,50.1,2002,0.10000000000000142,historical,,,,
87,1989.0,10.0,20.0,2001,20.0,30.0,2001,10.0,historical,,,,
16,,,,,,,,-38.6,control,50.0,1984.0,11.4,1984.0
15,,,,,,,,-19.1,control,60.0,2003.0,40.9,2004.0
20,,,,,,,,-18.4,control,80.0,1984.0,61.6,1984.0
49,,,,,,,,31.599999999999994,control,70.0,2002.0,101.6,2002.0
17,,,,,,,,2.700000000000003,control,100.0,1984.0,102.7,1984.0
50,,,,,,,,38.8,control,70.0,2004.0,108.8,2004.0
18,,,,,,,,0.9000000000000057,control,130.0,1984.0,130.9,1984.0
19,,,,,,,,-2.3000000000000114,control,140.0,1984.0,137.7,1984.0
89,,,,,,,,-7.800000000000011,control,150.0,2004.0,142.2,2004.0
48,,,,,,,,11.199999999999989,control,140.0,2000.0,151.2,2000.0
47,,,,,,,,12.199999999999989,control,140.0,1998.0,152.2,1998.0
88,,,,,,,,16.80000000000001,control,140.0,2004.0,156.8,2000.0
44,,,,,,,,10.400000000000006,control,150.0,2002.0,160.4,2002.0
46,,,,,,,,12.199999999999989,control,150.0,1996.0,162.2,1996.0
90,,,,,,,,-5.900000000000006,control,170.0,1984.0,164.1,1984.0
43,,,,,,,,-5.599999999999994,control,170.0,1998.0,164.4,1998.0
53,,,,,,,,7.699999999999989,control,160.0,1998.0,167.7,1998.0
52,,,,,,,,17.80000000000001,control,150.0,2002.0,167.8,2002.0
42,,,,,,,,-10.400000000000006,control,180.0,1993.0,169.6,1993.0
45,,,,,,,,22.599999999999994,control,150.0,1994.0,172.6,1994.0
51,,,,,,,,28.099999999999994,control,145.0,1997.0,173.1,1997.0
33,,,,,,,,-16.900000000000006,control,190.0,1984.0,173.1,1984.0
56,,,,,,,,-6.400000000000006,control,180.0,1990.0,173.6,1990.0
54,,,,,,,,29.099999999999994,control,150.0,1995.0,179.1,1995.0
55,,,,,,,,11.599999999999994,control,170.0,1992.0,181.6,1992.0
41,,,,,,,,-6.099999999999994,control,190.0,2001.0,183.9,2001.0
35,,,,,,,,-12.099999999999994,control,205.0,1984.0,192.9,1984.0
40,,,,,,,,-4.900000000000006,control,200.0,1995.0,195.1,1995.0
39,,,,,,,,-9.199999999999989,control,210.0,2004.0,200.8,2004.0
57,,,,,,,,-6.800000000000011,control,210.0,1989.0,203.2,1989.0
32,,,,,,,,-12.5,control,220.0,1984.0,207.5,1984.0
34,,,,,,,,-10.199999999999989,control,220.0,1984.0,209.8,1984.0
66,,,,,,,,-51.400000000000006,control,300.0,1984.0,248.6,1984.0
64,,,,,,,,-61.19999999999999,control,310.0,1984.0,248.8,1984.0
58,,,,,,,,5.400000000000006,control,250.0,1984.0,255.4,1984.0
67,,,,,,,,-52.0,control,310.0,1984.0,258.0,1984.0
63,,,,,,,,-50.89999999999998,control,310.0,1984.0,259.1,1984.0
65,,,,,,,,-39.5,control,300.0,1984.0,260.5,1984.0
38,,,,,,,,-27.899999999999977,control,290.0,1994.0,262.1,1994.0
59,,,,,,,,-15.399999999999977,control,280.0,1984.0,264.6,1984.0
62,,,,,,,,-28.399999999999977,control,330.0,1984.0,301.6,1984.0
37,,,,,,,,-15.100000000000023,control,330.0,1986.0,314.9,1986.0
60,,,,,,,,1.6000000000000227,control,320.0,1984.0,321.6,1984.0
61,,,,,,,,-10.800000000000011,control,340.0,1984.0,329.2,1984.0
36,,,,,,,,-11.199999999999989,control,350.0,1987.0,338.8,1987.0
