gis,year,free_v2_m,free_v3_m,free_v3_minus_v2_m,prescribed_v2_m,prescribed_v3_m,prescribed_v3_minus_v2_m
9,1984,40.0,30.3,-9.7,40.0,30.3,-9.7
9,1985,40.0,30.3,-9.7,40.0,30.3,-9.7
9,1986,40.0,30.3,-9.7,40.0,30.3,-9.7
9,1987,40.0,30.3,-9.7,40.0,30.3,-9.7
9,1988,40.0,30.3,-9.7,40.0,30.3,-9.7
9,1989,30.0,20.3,-9.7,30.0,20.3,-9.7
9,1990,30.0,20.3,-9.7,30.0,20.3,-9.7
9,1991,30.0,20.3,-9.7,30.0,20.3,-9.7
9,1992,30.0,20.3,-9.7,30.0,20.3,-9.7
9,1993,30.0,20.3,-9.7,30.0,20.3,-9.7
9,1994,20.0,10.3,-9.7,20.0,10.3,-9.7
9,1995,20.0,10.3,-9.7,20.0,10.3,-9.7
9,1996,20.0,10.3,-9.7,20.0,10.3,-9.7
9,1997,10.0,10.3,0.3000000000000007,10.0,10.3,0.3000000000000007
9,1998,10.0,0.3000000000000007,-9.7,10.0,0.3000000000000007,-9.7
9,1999,10.0,0.3000000000000007,-9.7,30.0,20.3,-9.7
9,2000,10.0,0.3000000000000007,-9.7,30.0,20.3,-9.7
9,2001,10.0,0.3000000000000007,-9.7,30.0,20.3,-9.7
9,2002,0.0,20.0,20.0,20.0,10.3,-9.7
9,2003,0.0,20.0,20.0,20.0,10.3,-9.7
9,2004,0.0,20.0,20.0,20.0,10.3,-9.7
10,1984,20.0,28.5,8.5,20.0,28.5,8.5
10,1985,20.0,28.5,8.5,20.0,28.5,8.5
10,1986,10.0,18.5,8.5,10.0,18.5,8.5
10,1987,10.0,18.5,8.5,10.0,18.5,8.5
10,1988,10.0,18.5,8.5,10.0,18.5,8.5
10,1989,10.0,18.5,8.5,10.0,18.5,8.5
10,1990,10.0,18.5,8.5,10.0,18.5,8.5
10,1991,10.0,18.5,8.5,10.0,18.5,8.5
10,1992,10.0,18.5,8.5,10.0,18.5,8.5
10,1993,0.0,8.5,8.5,0.0,8.5,8.5
10,1994,0.0,8.5,8.5,0.0,8.5,8.5
10,1995,0.0,8.5,8.5,0.0,8.5,8.5
