gis,historical,event_year,measured_2004_m,free_start_v2_m,free_last_v2_m,prescribed_last_v2_m,rmse_v2_m,free_start_v3_m,free_last_v3_m,prescribed_last_v3_m,rmse_v3_m,free_last_change_m,prescribed_last_change_m,free_net_v2_m,free_net_v3_m,free_net_change_m
9,True,1999.0,50.0,40.0,0.0,20.0,10.690449676496977,30.3,20.0,10.3,8.401445453866002,20.0,-9.7,-40.0,-10.3,29.7
10,True,1999.0,40.0,20.0,10.0,60.0,26.72612419124244,28.5,10.0,60.0,26.72612419124244,0.0,0.0,-10.0,-18.5,-8.5
11,True,1999.0,20.0,10.0,0.0,90.0,27.43977362280141,24.5,10.0,100.0,27.43977362280141,10.0,10.0,-10.0,-14.5,-4.5
12,True,1999.0,30.0,20.0,0.0,70.0,37.416573867739416,35.0,15.0,85.0,37.416573867739416,15.0,15.0,-20.0,-20.0,0.0
13,True,1999.0,50.0,20.0,0.0,50.0,26.72612419124244,32.3,12.299999999999995,62.3,26.72612419124244,12.299999999999995,12.299999999999997,-20.0,-20.0,0.0
14,True,1999.0,65.0,60.0,40.0,60.0,10.690449676496977,60.1,40.1,60.1,10.690449676496971,0.10000000000000142,0.10000000000000142,-20.0,-20.0,0.0
15,False,,,60.0,50.0,50.0,0.0,40.9,30.9,30.9,0.0,-19.1,-19.1,-10.0,-10.0,0.0
16,False,,,40.0,40.0,40.0,0.0,1.4,1.4,1.4,0.0,-38.6,-38.6,0.0,0.0,0.0
17,False,,,90.0,90.0,90.0,0.0,92.7,92.7,92.7,0.0,2.700000000000003,2.700000000000003,0.0,0.0,0.0
18,False,,,120.0,120.0,120.0,0.0,120.9,120.9,120.9,0.0,0.9000000000000057,0.9000000000000057,0.0,0.0,0.0
19,False,,,130.0,130.0,130.0,0.0,127.7,127.7,127.7,0.0,-2.299999999999997,-2.299999999999997,0.0,0.0,0.0
20,False,,,70.0,70.0,70.0,0.0,51.6,51.6,51.6,0.0,-18.4,-18.4,0.0,0.0,0.0
32,False,,,210.0,220.0,220.0,0.0,197.5,207.5,207.5,0.0,-12.5,-12.5,10.0,10.0,0.0
33,False,,,180.0,190.0,190.0,0.0,163.1,173.1,173.1,0.0,-16.900000000000006,-16.900000000000006,10.0,10.0,0.0
34,False,,,210.0,210.0,210.0,0.0,199.8,199.8,199.8,0.0,-10.199999999999989,-10.199999999999989,0.0,0.0,0.0
35,False,,,195.0,195.0,195.0,0.0,182.9,182.9,182.9,0.0,-12.099999999999994,-12.099999999999994,0.0,0.0,0.0
