window,model_ends,target,n,bias_m,rmse_m,r
1996_2010,ends_solved_on_coastsat,coastsat,88,-6.255,21.442,0.277
1996_2010,ends_solved_on_coastsat,coastsat_loess,88,-5.888,17.774,0.323
1996_2010,ends_solved_on_coastsat,duneline,88,15.022,34.028,-0.06
1996_2010,ends_solved_on_coastsat,duneline_loess,88,13.663,28.938,-0.172
1996_2010,ends_solved_on_duneline,coastsat,88,-12.898,25.057,0.131
1996_2010,ends_solved_on_duneline,coastsat_loess,88,-12.531,21.953,0.114
1996_2010,ends_solved_on_duneline,duneline,88,8.379,26.178,0.334
1996_2010,ends_solved_on_duneline,duneline_loess,88,7.021,19.924,0.338
2010_2024,ends_solved_on_coastsat,coastsat,88,-8.889,24.863,0.196
2010_2024,ends_solved_on_coastsat,coastsat_loess,88,-8.522,21.272,0.263
2010_2024,ends_solved_on_coastsat,duneline,88,-8.385,26.649,0.088
2010_2024,ends_solved_on_coastsat,duneline_loess,88,-8.432,22.796,0.107
2010_2024,ends_solved_on_duneline,coastsat,88,-11.073,24.884,0.156
2010_2024,ends_solved_on_duneline,coastsat_loess,88,-10.706,21.284,0.207
2010_2024,ends_solved_on_duneline,duneline,88,-10.569,26.075,0.081
2010_2024,ends_solved_on_duneline,duneline_loess,88,-10.617,22.125,0.095
