domain_number,target_coastsat_w00_m,target_duneline_w00_m,target_coastsat_w03_m,target_duneline_w03_m,target_coastsat_w05_m,target_duneline_w05_m,target_coastsat_w10_m,target_duneline_w10_m,model_ends_solved_on_coastsat_w00_m,model_ends_solved_on_coastsat_w03_m,model_ends_solved_on_coastsat_w05_m,model_ends_solved_on_coastsat_w10_m,model_ends_solved_on_duneline_w00_m,model_ends_solved_on_duneline_w03_m,model_ends_solved_on_duneline_w05_m,model_ends_solved_on_duneline_w10_m,model_ends_unsolved_w00_m,model_ends_unsolved_w03_m,model_ends_unsolved_w05_m,model_ends_unsolved_w10_m
1,39.807,-0.188,39.807,-0.188,39.807,-0.188,39.807,-0.188,52.325,52.325,52.325,52.325,-36.509,-36.509,-36.509,-36.509,-0.78,-0.78,-0.78,-0.78
2,35.379,-66.597,35.379,-66.597,35.379,-66.597,35.379,-66.597,39.311,39.311,39.311,39.311,-32.941,-32.941,-32.941,-32.941,-3.382,-3.382,-3.382,-3.382
3,34.492,-42.967,34.492,-42.967,34.492,-42.967,34.492,-42.967,33.873,33.873,33.873,33.873,-24.296,-24.296,-24.296,-24.296,-0.222,-0.222,-0.222,-0.222
4,26.871,-14.784,26.871,-14.784,26.871,-14.784,26.871,-14.784,26.901,26.901,26.901,26.901,-19.282,-19.282,-19.282,-19.282,-0.048,-0.048,-0.048,-0.048
5,11.488,5.844,11.488,5.844,11.488,5.844,11.488,5.844,16.95,16.95,16.95,16.95,-19.692,-19.692,-19.692,-19.692,-4.303,-4.303,-4.303,-4.303
6,-19.434,-7.557,-19.434,-7.557,-19.434,-7.557,-19.434,-7.557,-2.948,-2.948,-2.948,-2.948,-32.134,-32.134,-32.134,-32.134,-19.848,-19.848,-19.848,-19.848
7,-18.394,-32.561,-18.394,-32.561,-18.394,-32.561,-18.394,-32.561,-5.244,-5.244,-5.244,-5.244,-28.509,-28.509,-28.509,-28.509,-18.716,-18.716,-18.716,-18.716
8,-4.53,-14.456,-4.53,-14.456,-4.53,-14.456,-4.53,-14.456,-2.334,-2.334,-2.334,-2.334,-20.716,-20.716,-20.716,-20.716,-13.059,-13.059,-13.059,-13.059
9,1.92,-30.863,1.92,-30.863,1.92,-30.863,1.92,-30.863,-1.364,-1.364,-1.364,-1.364,-15.731,-15.731,-15.731,-15.731,-9.83,-9.83,-9.83,-9.83
10,10.0,-40.743,10.0,-40.743,10.0,-40.743,10.0,-40.743,-0.956,-0.956,-0.956,-0.956,-12.081,-12.081,-12.081,-12.081,-7.593,-7.593,-7.593,-7.593
11,11.081,-67.635,10.608,-64.656,9.451,-63.174,7.931,-44.793,-1.52,-1.52,-1.039,-0.946,-10.03,-10.03,-9.725,-10.365,-6.647,-6.647,-6.264,-6.452
12,8.637,-83.359,8.777,-79.289,9.403,-69.514,10.023,-45.12,-0.444,-0.444,-0.852,-0.533,-6.871,-6.871,-7.437,-7.763,-4.349,-4.349,-4.843,-4.849
13,7.896,-73.179,9.204,-68.102,10.494,-60.728,11.741,-42.858,-0.81,-0.81,-0.347,-0.03,-5.602,-5.602,-5.262,-5.5,-3.742,-3.742,-3.351,-3.347
14,14.797,-37.242,14.079,-39.819,13.329,-41.121,13.143,-38.174,0.395,0.395,0.43,0.425,-3.133,-3.133,-3.181,-3.669,-1.777,-1.777,-1.79,-2.075
15,17.532,-19.796,16.451,-12.402,15.517,-18.834,14.963,-30.83,1.726,1.726,1.467,0.838,-0.835,-0.835,-1.162,-2.184,0.141,0.141,-0.158,-1.017
16,14.467,17.009,15.772,5.054,16.82,-10.73,17.168,-22.742,2.147,2.147,1.706,1.256,0.315,0.315,-0.186,-0.933,1.008,1.008,0.532,-0.094
17,18.306,-14.927,18.395,-7.215,18.974,-7.632,18.025,-16.336,1.063,1.063,1.389,1.617,-0.23,-0.23,0.054,0.061,0.256,0.256,0.558,0.655
18,23.489,-10.042,22.968,-11.188,22.006,-10.175,16.166,-11.727,1.146,1.146,1.611,1.656,0.246,0.246,0.676,0.572,0.583,0.583,1.026,0.989
19,25.668,-7.358,23.717,-8.067,20.541,-8.796,12.302,-10.13,2.848,2.848,2.31,1.205,2.23,2.23,1.663,0.466,2.46,2.46,1.906,0.76
20,16.761,-8.037,15.13,-7.534,13.011,-7.542,6.842,-11.496,2.709,2.709,2.287,0.42,2.289,2.289,1.851,-0.099,2.445,2.445,2.012,0.109
21,-0.603,-6.779,0.333,-6.843,0.932,-9.794,-0.978,-14.376,1.062,1.062,0.544,-0.638,0.781,0.781,0.25,-1.019,0.885,0.885,0.36,-0.875
22,-11.798,-13.148,-12.434,-15.05,-12.363,-15.925,-10.598,-18.088,-2.345,-2.345,-2.01,-1.883,-2.531,-2.531,-2.206,-2.18,-2.463,-2.463,-2.133,-2.081
23,-26.084,-25.222,-24.252,-26.0,-23.031,-25.149,-15.047,-21.57,-4.574,-4.574,-4.631,-2.973,-4.696,-4.696,-4.76,-3.277,-4.651,-4.651,-4.714,-3.199
24,-31.818,-40.923,-31.242,-33.046,-29.51,-30.941,-13.597,-23.221,-7.06,-7.06,-5.847,-3.721,-7.138,-7.138,-5.957,-4.025,-7.109,-7.109,-5.938,-3.962
25,-34.677,-29.005,-29.033,-33.381,-25.53,-31.728,-11.049,-22.543,-6.318,-6.318,-6.049,-4.095,-6.368,-6.368,-6.094,-4.345,-6.35,-6.35,-6.071,-4.3
26,-21.655,-33.704,-19.09,-27.398,-15.358,-24.548,-6.269,-19.044,-4.403,-4.403,-4.447,-4.143,-4.434,-4.434,-4.481,-4.294,-4.423,-4.423,-4.468,-4.268
27,0.095,-9.545,1.279,-12.901,1.406,-14.492,2.127,-12.11,-2.648,-2.648,-3.145,-3.787,-2.668,-2.668,-3.165,-3.878,-2.661,-2.661,-3.156,-3.862
