domain_number,model_years,dune_interval_yr,coastsat_lrr_m_yr,coastsat_target_m,coastsat_target_loess_m,dune_rate_m_yr,dune_measured_change_m,dune_target_m,dune_target_loess_m,target_difference_m,model_ends_solved_on_coastsat_m,model_ends_solved_on_duneline_m,model_ends_unsolved_m
1,14,14.086,6.896,96.544,96.545,1.042,14.678,14.588,14.588,81.956,123.757,18.519,-22.535
2,14,14.086,4.05,56.7,56.694,1.311,18.467,18.354,18.352,38.346,101.746,14.525,-19.354
3,14,14.086,3.441,48.174,48.173,1.6,22.538,22.4,22.403,25.774,82.452,10.823,-16.838
4,14,14.086,3.311,46.354,46.35,1.378,19.411,19.292,19.295,27.062,64.56,6.355,-16.059
5,14,14.086,2.411,33.754,33.75,0.373,5.254,5.222,5.223,28.532,48.961,2.271,-15.794
6,14,14.086,-1.13,-15.82,-15.825,-2.154,-30.342,-30.156,-30.15,14.336,21.266,-15.758,-30.044
7,14,14.086,-0.168,-2.352,-2.351,-2.756,-38.822,-38.584,-38.586,36.232,21.007,-8.1,-19.287
8,14,14.086,1.573,22.022,22.024,-2.822,-39.751,-39.508,-39.505,61.53,19.437,-3.159,-11.857
9,14,14.086,2.643,37.002,36.998,-0.836,-11.776,-11.704,-11.709,48.706,19.029,1.677,-5.027
10,14,14.086,3.724,52.136,52.137,-0.474,-6.677,-6.636,-6.635,58.772,17.943,4.768,-0.346
11,14,14.086,4.048,56.672,45.316,0.92,12.959,12.88,4.979,43.792,17.758,7.869,4.012
12,14,14.086,3.531,49.434,47.167,1.612,22.707,22.568,10.885,26.866,18.096,10.768,7.894
13,14,14.086,2.828,39.592,47.496,1.36,19.157,19.04,14.379,20.552,14.723,9.361,7.246
14,14,14.086,3.603,50.442,46.117,1.299,18.298,18.186,16.206,32.256,10.24,6.361,4.825
15,14,14.086,3.585,50.19,44.966,1.39,19.58,19.46,17.189,30.73,4.34,1.565,0.466
16,14,14.086,2.756,38.584,44.81,-0.069,-0.972,-0.966,18.26,39.55,3.082,1.132,0.355
17,14,14.086,2.981,41.734,44.395,1.57,22.115,21.98,19.391,19.754,-0.738,-2.084,-2.641
18,14,14.086,3.371,47.194,41.946,1.513,21.312,21.182,18.693,26.012,-3.05,-3.983,-4.331
19,14,14.086,3.307,46.298,37.179,2.341,32.976,32.774,15.17,13.524,-1.431,-2.068,-2.327
20,14,14.086,3.223,45.122,30.59,2.055,28.947,28.77,8.631,16.352,1.771,1.341,1.173
21,14,14.086,1.667,23.338,23.737,0.516,7.268,7.224,-0.94,16.114,-3.331,-3.619,-3.728
