gis_domain,change_rate_m_yr
1,-2.5661102942365686
2,-2.624583987189271
3,-2.2756891414688654
4,-1.9608278815177982
5,-2.096363495885362
6,-2.475830084748213
7,-2.1717382818188526
8,-1.7167983448779522
9,-1.3904339867351154
10,-1.1834057311875767
11,-1.0945780507503513
12,-0.8752262685997266
13,-0.7219053491368868
14,-0.5361144943471118
15,-0.28440170486892385
16,-0.1142476127174632
17,-0.30035972893801954
18,-0.3032958468133984
19,-0.1665304304835445
20,-0.12290313330604477
21,-0.21907196851116167
22,-0.3358243199685603
23,-0.4471253789519324
24,-0.589875183629647
25,-0.5794408088740056
26,-0.53745376456327
27,-0.41977842980568314
28,-0.43848850969316117
29,-0.43912279265859977
30,-0.4019550658873413
31,-0.4661222750601155
32,-0.5678517891986303
33,-0.7714522575528463
34,-1.04107486998264
35,-1.1831396101535574
36,-1.3835848393473498
37,-1.545996133505105
38,-1.5158099937207226
39,-1.4217918918944634
40,-1.2417195688483844
41,-1.0205289231747883
42,-0.8164266350854632
43,-0.6435882424027113
44,-0.5789198656782901
45,-0.44096494594996327
46,-0.32732107981782976
47,-0.254477961892735
48,-0.155577826640274
49,-0.06660112125782688
50,-0.017864800138886493
51,0.06483417078407001
52,0.15758908778816477
53,0.256902320611789
54,0.2235103466901819
55,0.2994700128248041
56,0.3838319753399446
57,0.29668612898049107
58,0.2077476521063545
59,0.20707319344655845
60,0.04828997547592735
61,-0.013106156535195623
62,-0.159297822467488
63,-0.21345579559974795
64,-0.22018417295066683
65,-0.31837193392602786
66,-0.41222527025538513
67,-0.6664347793097477
68,-1.0259512233647001
69,-1.3498205462017723
70,-1.5380048728183282
71,-1.772295984299035
72,-2.0131436392435718
73,-2.190049184608051
74,-2.24740949997431
75,-2.2994577398945695
76,-2.4268721047380497
77,-2.5761519034173035
78,-2.8052114545213955
79,-2.7671537797404198
80,-2.5815816156368783
81,-2.299097320833698
82,-2.0394639747442853
83,-1.7005088755298856
84,-1.504492597782064
85,-1.3002396210568805
86,-1.0073609883957033
87,-0.7636371001485713
88,-0.6804329703375516
89,-0.5727578475733026
90,-0.5523832257716095
