gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.752686467308649,-4.77467055660412,0.8694173667234435
2,-5.476357465692035,-4.8797687382242545,0.8988417963501791
3,-4.831442562622215,-4.6822970397780015,0.9283102094570029
4,-4.271189451628834,-4.33366674906917,0.9440737744539386
5,-4.187441062756534,-3.928973066273447,0.9423165084345116
6,-3.503002018425195,-3.770855604580752,0.9941623505297869
7,-3.0349581310796565,-3.25952803305714,0.9971394291839275
8,-2.473825978713376,-2.782646684549949,0.987859478555022
9,-2.137027641978693,-2.4136720542264163,0.9777152642583572
10,-1.9602132000944947,-2.13731703403148,0.9725141363524517
11,-1.8719115922189302,-1.9162373675204307,0.9694733584799922
12,-1.5825417415890115,-1.6211283480238579,0.9613098127518077
13,-1.3517182313190461,-1.366255115123394,0.9484401314965714
14,-1.0820027390239375,-1.142467128662834,0.9222060298479943
15,-0.7652256896944891,-0.9548635508380523,0.8693282619169364
16,-0.5273178533062491,-0.8113176777055341,0.8124963288099654
17,-0.6298420116748276,-0.7423041549768368,0.8672907644839211
18,-0.5377852770643585,-0.6395228599603182,0.8538960803794576
19,-0.2879953518486218,-0.4960430700898751,0.767645898996648
20,-0.1297146095787866,-0.36906083135782375,0.6305757046310101
21,-0.06801925893096268,-0.2333515451236414,0.5196703408291568
22,-0.04914748143801262,-0.12376908189844318,0.3302735294011018
23,-0.03362913255314197,-0.0253137640757939,0.027448677954541867
24,-0.048411521972593616,0.06715119745383938,0.13690672913666802
25,0.10139215607950973,0.1999518426333223,0.5424735348502638
26,0.30048458854917043,0.3446366045950858,0.6958433730885536
27,0.6014713133477926,0.5006021851797364,0.700078113866345
28,0.7414887930925034,0.6030943864151285,0.6927663717603602
29,0.8503417500666728,0.657407969208416,0.6613168386859263
30,0.9312729689302615,0.6603652553749966,0.6159486140773841
31,0.8391764650344158,0.5667960553978969,0.5601170509672628
32,0.6414908160054438,0.39613607553267766,0.4592578447660536
33,0.3007729372905487,0.15684538047017163,0.23191430563269
34,-0.12932170660005796,-0.11967267146500775,0.5080451639504686
35,-0.44117228987724955,-0.37722826585155633,0.9575959794862594
36,-0.7908232408613912,-0.6306309592378306,0.9102650138486785
37,-1.0814102926491613,-0.837412844918204,0.8872327210426693
38,-1.1677543614836394,-0.9590726816993588,0.9119639092665867
39,-1.1806789770729664,-1.017901301803666,0.9404832667499078
40,-1.1005813775473143,-1.0176138564785189,0.9720763065058451
41,-0.9790614341586661,-0.9841482638193597,0.992841013719553
42,-0.8755423021721981,-0.9442397424579461,0.9963102999272065
43,-0.7944246790995748,-0.9068211816349038,0.9890878288393311
44,-0.8250241406886744,-0.900057909668664,0.9906573749160282
45,-0.8078337446776459,-0.899602139170309,0.9873047983307961
46,-0.8177341781439281,-0.9048835532017567,0.9878789471769451
47,-0.8699655905656073,-0.9186217306254645,0.9946535637233278
48,-0.9183445923958061,-0.9412499781027001,0.9974841807279866
49,-0.973225860311959,-0.9629282800050346,0.9975077761457228
50,-1.047063537414033,-0.9812509791583481,0.99359933389835
51,-1.0230358583322414,-0.9501484114405271,0.9925408214085194
52,-0.9476849765956104,-0.8971751502060947,0.9947757050397141
53,-0.8324097754462855,-0.826717141638309,0.9950193480702494
54,-0.8153107908230595,-0.7655217994373428,0.9911052810718451
55,-0.6531444202592865,-0.6657749486463078,0.9826611323560525
56,-0.4526656750746952,-0.5476875401589316,0.9335113851804773
57,-0.39023971140404684,-0.45257780601253994,0.9043453571680968
58,-0.3383233834369094,-0.37558171337266194,0.8598263449672716
59,-0.20635575027463346,-0.29480701704993556,0.7290854872770314
60,-0.24565784924889159,-0.25869797690176793,0.7340833975084913
61,-0.1908947050279494,-0.2167522374795994,0.6497676759823069
62,-0.2300471697062676,-0.20322520163989222,0.6310833737414097
63,-0.19326108580225992,-0.18660561671705211,0.5369486190539429
64,-0.11173398795244793,-0.17626773841696172,0.40364727054127536
65,-0.11897617252725468,-0.20277151440237975,0.4163889144753494
66,-0.11700541906920989,-0.2591549405142171,0.4770401417914135
67,-0.26776362882146715,-0.37628087672012955,0.7016228641685469
68,-0.5125892826927156,-0.5408451244080474,0.881420496061895
69,-0.7356775709956309,-0.7266053939093807,0.9461954978775852
70,-0.8518558111863967,-0.9114346691224826,0.9671433380120755
71,-1.0631515750885228,-1.136756945871072,0.982667721544161
72,-1.3316829453160608,-1.386562221579031,0.9928538782690771
73,-1.591285088528639,-1.6459612939863109,0.997178847099966
74,-1.7985813530436645,-1.9102962708291629,0.9976335941649991
75,-2.035371065188792,-2.180483809077583,0.9973823619541474
76,-2.381367415856039,-2.4863910993759823,0.9962223466516489
77,-2.78949522729863,-2.7935184823774573,0.9911489942889987
78,-3.3257365573712376,-3.097236762661426,0.978644027011566
79,-3.5771976771661684,-3.289357349126994,0.972165221311554
80,-3.650435022268266,-3.3699448676770314,0.9702333573734616
81,-3.585211809804787,-3.350766673611009,0.973268337168223
82,-3.4613427488659,-3.248370268072411,0.9769371972168068
83,-3.1804495441920153,-3.0522348003756536,0.9835120988815854
84,-2.9832703143403707,-2.826524936542569,0.9868116405263039
85,-2.613156637334032,-2.480418119104794,0.9906734383343239
86,-1.9721018806001667,-1.986018129791274,0.9822874605437567
87,-1.261524849590296,-1.486748741120741,0.8805805894743955
88,-0.64266695940305,-1.0587346077859003,0.5993983280053987
89,0.08428970065124304,-0.7008752260185066,0.2474278687426037
90,0.7751562743592331,-0.506677097391657,0.09419432170785969
