gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.192860816535813,-4.188848348529185,0.8674007274227494
2,-4.854750212197087,-4.2799764094596116,0.9129841301595182
3,-4.149496059339799,-4.108081916647046,0.9554148024355165
4,-3.5377109681112415,-3.849395615894647,0.9747179734103529
5,-3.424643611454576,-3.640783138857717,0.9861570657539779
6,-3.604800620434253,-3.4585024990504216,0.9881130261912289
7,-3.151175768289795,-3.1402855630883826,0.997067502195787
8,-2.59789727322368,-2.7991913521718335,0.997200552634759
9,-2.354574754422265,-2.5445810892153116,0.9938314658202966
10,-2.206910275168866,-2.323376124606031,0.9926085070740107
11,-2.1051362527916355,-2.119445566985707,0.9896672234736857
12,-1.7885803887446854,-1.8192019804024815,0.9862284725796865
13,-1.5351021401716936,-1.5528070225297899,0.9766058774502792
14,-1.2421698584036676,-1.309501395298721,0.9553317661967271
15,-0.9089809331765537,-1.0989497798968957,0.9086461037427107
16,-0.648377943401465,-0.9305708786474555,0.8548430643901748
17,-0.7278506392824966,-0.8348687481878784,0.8932559326647603
18,-0.6082373042143445,-0.7001697593464605,0.8774155094913838
19,-0.32573694964630706,-0.5257243930755806,0.7940067034098771
20,-0.1406430688411092,-0.37041423058851575,0.6410995508612434
21,-0.0517377642120664,-0.2068425034971405,0.4745632616832838
22,-0.005511944488534937,-0.0691743777993041,0.14281530799322284
23,0.037611096178261506,0.05839122098120871,0.13375910103594812
24,0.051916293009071524,0.1819107851803457,0.519329371360336
25,0.23317672276471058,0.3481506298990903,0.7580591905572373
26,0.46708033799113763,0.5286451184439876,0.817641535632315
27,0.8070794695080622,0.7215473846583612,0.7993342038829431
28,0.9911472746287473,0.8604467089577159,0.7795867577585185
29,1.1623032365027939,0.9490199303648033,0.7430331330978457
30,1.2996861643169724,0.975248560795504,0.6979267097906952
31,1.2334410980529356,0.884291738907223,0.6539555737345213
32,1.008802926053977,0.6886997402504264,0.5906522886927226
33,0.6229082903878407,0.4324598359968675,0.5281863677873844
34,0.14747868404201653,0.13771167836444292,0.2960207558794472
35,-0.21507655272089324,-0.1479624897480031,0.6882721227889723
36,-0.6069539538532809,-0.43239541386683494,0.8534279516013032
37,-0.9356778982801188,-0.6730531044454382,0.8458875795548063
38,-1.0565510563474163,-0.8291065720778888,0.8892081630425704
39,-1.1016583182788053,-0.9228235092040457,0.929385037070804
40,-1.0519393316611059,-0.9571007394048912,0.9688193567543354
41,-0.9598805776628069,-0.9577853321848623,0.9927905798123242
42,-0.8860771793842105,-0.9522657309761173,0.9964530972563926
43,-0.8354549701632095,-0.9500226890463132,0.9893658518603546
44,-0.898698572741614,-0.9796533892296238,0.991119437656522
45,-0.916135061897512,-1.0177273084967347,0.988971189478515
46,-0.967206468238146,-1.0649056048787666,0.9907623160794682
47,-1.0669858814857434,-1.12564428720069,0.9967484216425472
48,-1.1675575318357914,-1.1975169641045722,0.9988641585016929
49,-1.2882763874861667,-1.2755954345322322,0.997697911041498
50,-1.4208570900090307,-1.3399962594890804,0.9926560056672715
51,-1.4631984027518228,-1.3696250912209327,0.9897629498826581
52,-1.4269955971180934,-1.3507414568368958,0.9901093327371889
53,-1.2828326903792913,-1.2558546072228522,0.9933049851552507
54,-1.2245043477340913,-1.1485569065600403,0.9923973029372218
55,-0.9763041386278928,-0.9720231032696239,0.9961122975076808
56,-0.703336348215089,-0.7915314509953736,0.9780489815450956
57,-0.5780895515053089,-0.6401473669634198,0.9630378221842095
58,-0.46716120032479014,-0.5076346120873347,0.9347694064264396
59,-0.2805148162793557,-0.3717163337727401,0.8335717918322253
60,-0.2675168827984635,-0.28016926259919034,0.7984457216774667
61,-0.16089466490684573,-0.1814969597251585,0.6119039641332293
62,-0.14697437476843334,-0.1088081339825551,0.3657964842436464
63,-0.05429563861389397,-0.029489270284446135,0.031186636093233355
64,0.0874945792010294,0.0479264953828409,0.049649535709133885
65,0.14643597875738124,0.09336813346652027,0.1252800074200362
66,0.2217928021113039,0.11338888238189027,0.12865069087439307
67,0.15237345108926093,0.07541323603941698,0.058870464861647265
68,0.0016120863951982756,-0.009447783999255636,0.000984447858474513
69,-0.11300563485756357,-0.11785701040601045,0.1172247445568183
70,-0.13824000944787257,-0.24694028747901828,0.300682916096253
71,-0.2753851806694911,-0.4414366658475912,0.5322107029336354
72,-0.5181958579455568,-0.703544571813273,0.7376622409710382
73,-0.8209339447211278,-1.0263136340008445,0.8703405829196282
74,-1.1595859278389071,-1.4124482451684746,0.9390223312445541
75,-1.6050203687277644,-1.8540524690534832,0.9797416190608599
76,-2.1992316709044646,-2.3680548022895818,0.9970955299609608
77,-2.8535032879927713,-2.904675895692517,0.996061348172097
78,-3.6412435444428413,-3.448574018376059,0.9836908004555123
79,-4.147629653681179,-3.887707250019017,0.974985366434266
80,-4.484691762515103,-4.21554381807955,0.9706350850763109
81,-4.64177109182774,-4.421680737429836,0.9699686241161329
82,-4.717910350546026,-4.508540228472269,0.9691936890271746
83,-4.594772314694547,-4.463970162370448,0.970530533662041
84,-4.505493246879451,-4.334778807766867,0.9684168634083986
85,-4.167468599193853,-4.02646675127932,0.9739920333514549
86,-3.5380038589921243,-3.5240298947901634,0.9881542023126813
87,-2.7444242416802807,-2.9157882652292426,0.9874296176704491
88,-1.961113518921411,-2.311462702004186,0.9212565921086437
89,-1.0432059714201387,-1.770701379665325,0.724140579112265
90,-0.14679948895281997,-1.4063798678657284,0.4667118272692993
