gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.737361402130864,-4.7447113935460425,0.8654010498032246
2,-5.462894092199986,-4.858582627356567,0.8972634847982341
3,-4.8157060865592936,-4.669294390122628,0.9287676978389104
4,-4.259172459422553,-4.332057257892499,0.946358727225624
5,-4.168824508587932,-3.927183463114629,0.9473226186477712
6,-3.4823947990579653,-3.778224491333767,0.9951635096815983
7,-3.0080068705769007,-3.282361178903273,0.9948010339624304
8,-2.43393350373226,-2.8282590075390197,0.9797526908446199
9,-2.2169953753029406,-2.512460323238073,0.9742609049151539
10,-2.1556047319420033,-2.2967253611570464,0.9754432784305307
11,-2.087025227597951,-2.0928407569021465,0.9748403662149973
12,-1.7800253256064025,-1.789374385416004,0.971436775650999
13,-1.535370729024362,-1.5282193224493263,0.9618696258491904
14,-1.2469454281297658,-1.290701760661906,0.9406805348807963
15,-0.9231262154205979,-1.0912631017895709,0.8961756126224026
16,-0.6753367265273482,-0.9375674038586775,0.8485650521632877
17,-0.7782248650139081,-0.8665768356606374,0.8928578519620787
18,-0.6874490551419512,-0.7618435857608931,0.8872700969951259
19,-0.4401719746188064,-0.6206550673263582,0.8305270832832958
20,-0.28273789957311235,-0.5119688706838117,0.7357306358049711
21,-0.2455086814855349,-0.41838079423847563,0.6878131163327511
22,-0.23769606130426837,-0.3361183840110718,0.6349024502428757
23,-0.22050967160612345,-0.2539021332964426,0.5159094902745843
24,-0.22466412552030307,-0.17405615878904207,0.32139374476477167
25,-0.07460307723067672,-0.0704266369361169,0.06217151147525868
26,0.1360264210441528,0.05182320151470413,0.024086367243530193
27,0.4722019107804044,0.2085294301883848,0.1800694973188205
28,0.6615968156895178,0.3336707618855757,0.2745484318637972
29,0.8579463235108961,0.4284641413935425,0.296926142712861
30,1.020158677262134,0.4713883464828453,0.2755869029541227
31,0.9835615961275834,0.40883493549899796,0.2020056079143312
32,0.7894930967281653,0.270485636203016,0.11163111300860429
33,0.40033830203437903,0.05484772687336291,0.008165625540859756
34,-0.06084301400296681,-0.16863284414959262,0.15912674897147183
35,-0.3872845150669491,-0.3774174905892097,0.7458491420885804
36,-0.7533068418021684,-0.6033312041489254,0.9291152708065165
37,-1.0582082830160289,-0.8007434835859273,0.9153200667362007
38,-1.1602220119348203,-0.9279190031126227,0.9320341846638387
39,-1.1925328633189565,-1.004277773165766,0.9543136798480086
40,-1.1354667677309407,-1.030504740743228,0.9806438580418042
41,-1.0417505142932897,-1.0302956254706497,0.9963280158593383
42,-0.9708285758833881,-1.0295541795800367,0.9969727867133995
43,-0.933620798435004,-1.0378676013763115,0.9910757941672688
44,-1.0072664470229937,-1.070758819348268,0.9938068529514711
45,-1.028617281058723,-1.1113183176464072,0.9929918016067464
46,-1.08498956981648,-1.1669934761862413,0.994800772305518
47,-1.2022117194494968,-1.2451614355374596,0.998429158026439
48,-1.3221045235551174,-1.3318806520924824,0.9985900893461639
49,-1.441952289279925,-1.4123040716539033,0.995628024117078
50,-1.5373351917410218,-1.4471602602146092,0.9918470684404993
51,-1.5494622679786516,-1.4495095615194822,0.9899765629535318
52,-1.4923701512062508,-1.4117212981753324,0.9910383737269429
53,-1.3260164531165173,-1.2987758486453476,0.9945106413000548
54,-1.2521975968263177,-1.179680067814982,0.9937285010683461
55,-0.9888103310873703,-0.9937592716675092,0.9959968720738382
56,-0.718830294439158,-0.8113396232849407,0.975096419386145
57,-0.5965383037754691,-0.6602921616850986,0.9585440948472236
58,-0.4933265408365514,-0.5323201340706567,0.9294063035335585
59,-0.31641031381541324,-0.40359129572701374,0.8351830526679493
60,-0.31543722405413066,-0.3220620511607848,0.8054998164746416
61,-0.2242828869603727,-0.2366217907562449,0.6675671195811943
62,-0.22329903822073902,-0.17477875417838076,0.5131865084943338
63,-0.13454937383121432,-0.10691909105342978,0.22655223344851771
64,0.006935914338555449,-0.038731571806891685,0.02320602711806974
65,0.06377080029615172,0.0025353223271600655,7.16409660923567e-05
66,0.14573896517767934,0.028536286414677745,0.006393686749343375
67,0.0902249029545601,0.00575572288066017,0.000232957131601097
68,-0.05049206442463401,-0.06853746866626216,0.029431405828530433
69,-0.1593187323634993,-0.17531251395403744,0.14234133743501054
70,-0.17502648197978488,-0.30857996290755435,0.2752285786927159
71,-0.3071114437773758,-0.5160666304962369,0.4625442235993693
72,-0.5561919850719278,-0.7979439690857748,0.6633560568769543
73,-0.8808442762758204,-1.144401531197693,0.8119880037970503
74,-1.2513791286939522,-1.5625626789674951,0.9041140910398788
75,-1.7605993194430085,-2.074683354472073,0.9633606158769797
76,-2.416597463612834,-2.6792352774380954,0.9916113692776503
77,-3.154752559170993,-3.3341179796962903,0.9952993512675934
78,-3.9790372837277572,-3.940781379390448,0.9858108063152728
79,-4.512385283813273,-4.426201850979759,0.9760471206492194
80,-4.863246099381013,-4.772528268286199,0.9668758326466617
81,-5.0091439734083,-4.96554326146211,0.9620155728319703
82,-5.074974467581706,-5.030979596742711,0.9581651755949558
83,-4.947023967833502,-4.959279648919473,0.9571546309625164
84,-4.81033702763325,-4.7400006013881635,0.9565673869475826
85,-4.447720457284322,-4.368151045840651,0.9645478565157678
86,-3.789799966020837,-3.826913390854195,0.9817287092365623
87,-2.9802688281550216,-3.208070838898389,0.9895955705470099
88,-2.1569490613675044,-2.5660887708541518,0.9387704628412972
89,-1.2107207957509671,-1.9963080664908532,0.7690380158250183
90,-0.2858960911113172,-1.604680528718421,0.5273183862938
