gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.16645785580049,-4.159389256829477,0.8655152254794969
2,-4.823707686724629,-4.2452128223930075,0.9117642201877169
3,-4.1125103276839585,-4.067408178784731,0.9550535504723433
4,-3.493304605297271,-3.802497685499752,0.9749328423760412
5,-3.371162098297282,-3.5877919013244575,0.986717054411399
6,-3.54013016812205,-3.3991449259837205,0.9888645542295831
7,-3.0709545004274332,-3.074204046402967,0.9975991424325601
8,-2.4836448637485775,-2.716313854548853,0.9958666965661048
9,-2.2089832558249327,-2.4347829451151073,0.9918555391294747
10,-2.0698309150170644,-2.2134896607336767,0.9903660837260359
11,-1.9872140441670125,-2.0174507127692842,0.9871834817223368
12,-1.6879767961606376,-1.7296848867997148,0.9828162559940593
13,-1.4543961896702058,-1.4780205609947248,0.9716116165025481
14,-1.1827634900658268,-1.2507454165352712,0.9474504066863382
15,-0.8684301000187589,-1.0565751120326823,0.8970059386357639
16,-0.6262567239545206,-0.9047726656863692,0.8421805982461414
17,-0.724429454640358,-0.8268419052653807,0.8856334714047198
18,-0.6254525643151283,-0.7119538807786852,0.8750301909672212
19,-0.3668505491883479,-0.5604859102234792,0.803827550606992
20,-0.2036762604378964,-0.431894723398279,0.6837468128060616
21,-0.1536957630406505,-0.31300347051944233,0.5965973484652523
22,-0.14332181302979735,-0.22189552409652114,0.477546473488607
23,-0.13474382619206154,-0.13904623903111113,0.27963867364528705
24,-0.1485369138165879,-0.057719431727516625,0.056048001418205984
25,-0.00964017192409301,0.04870361528080698,0.03331104412519603
26,0.19249329040430893,0.17413256393450796,0.23444799452108867
27,0.5056739742231912,0.3118610273886607,0.35882501717115745
28,0.6861592923175521,0.418071098460713,0.4011561178555617
29,0.8688775928523682,0.5081654767643614,0.41821723467097216
30,1.0243054642485732,0.5532695794153072,0.394613051413955
31,0.9934022584345257,0.5029838013461634,0.3247424883907485
32,0.8218535552950016,0.39055048735955583,0.2560372538728176
33,0.4788025088718314,0.20433709779180634,0.1401194613659167
34,0.03654573713265563,-0.03057264322646785,0.010101338554175165
35,-0.30504851054147364,-0.27046015697758263,0.7541260872096774
36,-0.6807817487413559,-0.5205595793453566,0.9171923934013089
37,-0.9914222480152602,-0.7331448762356654,0.8901364674074932
38,-1.097895490195151,-0.8687480131902549,0.913812776050853
39,-1.1313731589854796,-0.9480165556501158,0.9426065020069179
40,-1.0726385429496985,-0.9726048201464546,0.9750438322154504
41,-0.9735741407414935,-0.9669380838901004,0.9950018474891327
42,-0.8958529413559517,-0.9577151707316758,0.9966860534424803
43,-0.8409517970110756,-0.9525924155451724,0.9890815236672436
44,-0.9023265421231372,-0.9806454595953285,0.9908587793487443
45,-0.9185587226641474,-1.0179265589534268,0.9888430654772215
46,-0.9689986557984411,-1.0648794331536244,0.9907193881402071
47,-1.0685559273431864,-1.1258003609408915,0.9967338615331159
48,-1.1692084639894347,-1.1981587169541819,0.9988707220606378
49,-1.2902637938311272,-1.2769633327268008,0.9977328172505529
50,-1.4234190189299625,-1.3422971148850977,0.9927389941299589
51,-1.4665638327182022,-1.373051823639253,0.9898923009330761
52,-1.4314016189584435,-1.355491284393673,0.9902582270321584
53,-1.2885223409159152,-1.2621358336370123,0.9934400513046456
54,-1.231742974446479,-1.1565888323247169,0.9925862692117471
55,-0.9853938725885201,-0.9820321277972918,0.996261767043027
56,-0.7146326514683097,-0.803736822658623,0.978832430159931
57,-0.5920166608119871,-0.6547359802478308,0.9653323995731231
58,-0.4842383095391597,-0.5247323539254708,0.9409118478442552
59,-0.3013835686349012,-0.39134731944355117,0.8531876683606809
60,-0.2929736821752158,-0.30220040869667625,0.8330201609059557
61,-0.19192857511097827,-0.205570313633984,0.6881560793151634
62,-0.1847968458786454,-0.13424631168659057,0.4804273941198238
63,-0.08745438013083913,-0.0534166754739663,0.09661029890916839
64,0.05735581270464536,0.025540990274829627,0.01415119733233794
65,0.11737187677317706,0.07150472094514067,0.07187915386858246
66,0.19156616014342945,0.08995839869279339,0.07626715017755481
67,0.11914672710063315,0.04725168754825883,0.02007357821904543
68,-0.03641697580815162,-0.047296449985129885,0.018649651058042505
69,-0.15946506479285744,-0.16767905307789138,0.16511995934805734
70,-0.18617499863948977,-0.30696438173957097,0.32471805295568845
71,-0.3321392969120097,-0.5175636146858779,0.5223528056568187
72,-0.582051732434411,-0.8062196152101588,0.7148715691126215
73,-0.912478262564764,-1.1668579854280559,0.8443903331920165
74,-1.2871057052335346,-1.595194124980948,0.9210077125750159
75,-1.801525469831813,-2.117027327820538,0.9698366631167291
76,-2.4644629492779133,-2.7271231708077304,0.9931384225711741
77,-3.2099304475369537,-3.384051547887572,0.9952340320387355
78,-4.042538803428306,-3.996326272833308,0.9849159440247627
79,-4.5893997418843355,-4.489334335880453,0.9759288436115062
80,-4.959061271942938,-4.8441102341459645,0.9688924810679221
81,-5.1136299247998975,-5.0321362750786465,0.9654593970405448
82,-5.17399809064018,-5.091103620705884,0.9638166184877368
83,-5.023465574218153,-5.011860121140351,0.9654532195748796
84,-4.863181653038555,-4.7944497714577485,0.9670980980963284
85,-4.46917653771734,-4.411243559568153,0.9746877033122029
86,-3.768084681077562,-3.8288464821999124,0.9875885600492339
87,-2.9061835564036302,-3.144724617046981,0.9845457047074195
88,-2.071517028327162,-2.4780145187800886,0.9171802197801613
89,-1.1127936601422335,-1.8867886152250426,0.7251559640297496
90,-0.19999181883058553,-1.4867612918464084,0.4766044818612868
