gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-8.54838073330211,-7.460162123797197,0.9200418673268292
2,-7.638763992016448,-7.25551757452878,0.9435833627015927
3,-6.512583057908159,-6.636885327858696,0.9611410614093121
4,-5.568663069920331,-5.822453911406589,0.9653392111942914
5,-5.160710492222734,-4.900921359040274,0.9471781314790629
6,-3.567245882446059,-4.246928864062206,0.984181796531988
7,-2.8281240329905812,-3.2787502525241927,0.9737259634083282
8,-2.058151904600254,-2.492482641917627,0.9440922825820135
9,-1.7162875712811911,-1.9636773512040786,0.9403647540591791
10,-1.5690217812615628,-1.615801237805953,0.960511977717958
11,-1.4642731982500663,-1.3565334534239366,0.976185516823795
12,-1.2085717266430946,-1.1065776669004717,0.9800906218947991
13,-0.9794974306758377,-0.8816603848950753,0.9801338674768655
14,-0.7010601709086586,-0.6586873921948485,0.9737045965352088
15,-0.3772136948743537,-0.4449149505343847,0.8993851074451156
16,-0.1446209051581718,-0.28190339679507986,0.6917829617630982
17,-0.26955899264576144,-0.21902856813213423,0.8272930649916967
18,-0.20768432526483593,-0.13910306340963957,0.7067848520549096
19,0.0027229746964621882,-0.033222674375580366,0.11803627075946055
20,0.13319159791781204,0.04970952699730828,0.16426006936273652
21,0.1501961031034625,0.09544651521025568,0.6069697057526464
22,0.14982336922885225,0.13570271732100508,0.9489317000544274
23,0.15536116999164734,0.1914434008203684,0.9504287435127332
24,0.15774423687271338,0.28187061789028517,0.8744945961809758
25,0.3479210165904988,0.4552421569067231,0.9604878456646542
26,0.626101124777233,0.6920902473207536,0.9732070150516666
27,1.0442720211154666,0.9778050319678698,0.9406804111298545
28,1.320694145258949,1.2246132367928795,0.9169279775044131
29,1.5982861330333435,1.4269231270247902,0.8913580313869104
30,1.8218046594996848,1.5487483257138275,0.8672755945712468
31,1.8161579563855412,1.5272989251163054,0.8581789063289333
32,1.616146254925934,1.3628634490354907,0.8606770965407056
33,1.181937856544937,1.0516330664776452,0.8861539692836767
34,0.635734427751413,0.6555393095409611,0.9297357114405284
35,0.1968876759806335,0.2580585845535688,0.9258077021846695
36,-0.2511351936470419,-0.11809502063106005,0.3197427020505962
37,-0.6218840054146313,-0.4233295941008428,0.7074619237781563
38,-0.7704743119202249,-0.6190251005491286,0.841394518979069
39,-0.8340410183277527,-0.7235068294097065,0.9133043787540838
40,-0.7968042338947271,-0.7500626985393812,0.965863633628091
41,-0.7131738897504875,-0.7326494656615473,0.9944307635076514
42,-0.6433475713254666,-0.7103896713345702,0.9941657112666691
43,-0.607883738185319,-0.7072439320052695,0.9801211502603406
44,-0.6897004539132467,-0.7468385719045307,0.984055065629528
45,-0.7330462356778298,-0.800737855417373,0.9837333479319985
46,-0.8222810034770192,-0.8939912085625965,0.9906888693064849
47,-0.9795606050622154,-1.020420172921515,0.9986376189562034
48,-1.1449557885969626,-1.159753203706617,0.9983076132613726
49,-1.3350176380607082,-1.3059026665272744,0.9907362471948924
50,-1.539633316050822,-1.4323670618123785,0.9780349311341523
51,-1.626565487224616,-1.494141008982818,0.9713280446621194
52,-1.6011588942048547,-1.489058519318972,0.972225337070316
53,-1.4775992539934122,-1.410302070175929,0.9781093989316562
54,-1.405027998893638,-1.3038794330086705,0.9796764117586381
55,-1.1510900088725975,-1.1194409155036478,0.9922658823467086
56,-0.8467899539280552,-0.9095619145091081,0.9966720674574935
57,-0.6855303437628208,-0.7315718539011941,0.995256655241562
58,-0.5364458142773401,-0.5684501885191485,0.9878452656806318
59,-0.3239833056063617,-0.4098334193740617,0.943690954417781
60,-0.2847717476262005,-0.29851397851292716,0.9588564565004938
61,-0.15549161771705258,-0.17903148350193773,0.9024638729794056
62,-0.10985416375315253,-0.07551346775367092,0.6968319263512175
63,0.016121346773252297,0.04944480039284413,0.4231820594371003
64,0.20655814279280094,0.19223238935125134,0.8251887969321987
65,0.331430951130551,0.32079254748998615,0.8778845798574443
66,0.49504695055529735,0.44574835171606514,0.8719980273628674
67,0.539662168693394,0.526948483332699,0.8779925728533557
68,0.5269528687795173,0.5638963339150684,0.8656679724715024
69,0.5688543300645506,0.592561523046107,0.8131186914311525
70,0.6955676684792707,0.603204519610673,0.7032639478993834
71,0.6887679890895925,0.5250404376786273,0.5387321365347495
72,0.5301747442986198,0.33311651494229516,0.2752759535750382
73,0.25152840410355565,0.029674711091157345,0.002917453109152701
74,-0.12791730512708455,-0.3917321124670343,0.3642614740898329
75,-0.6815872012939508,-0.9290823487722562,0.83999507265207
76,-1.4122220277368798,-1.5811053266669546,0.9818074504492863
77,-2.212934869930541,-2.2866557862706642,0.9987360160719359
78,-3.160415933835793,-3.018723355734426,0.9863236908179999
79,-3.8196976836510657,-3.621135889943835,0.9758714983032234
80,-4.297463286326729,-4.077967062207167,0.9689203867794677
81,-4.549038750192449,-4.3576493626594734,0.966020670332056
82,-4.679310656324833,-4.450578551586733,0.9623168134949498
83,-4.549557635839937,-4.329532603666521,0.9613346297411203
84,-4.3726232015538695,-4.0293072477905785,0.957771898599335
85,-3.89805482438087,-3.495206664942076,0.9581085996906636
86,-3.0601507412023237,-2.7439073697199534,0.9725638918467784
87,-2.0012124410865,-1.8600424785784615,0.9943756184228266
88,-0.8692652102623469,-0.9380490803285041,0.8115939071403049
89,0.47360009379917756,-0.06975238089493935,0.004819637256648468
90,1.8901123249926968,0.5627646317424261,0.10975661370718204
