gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.1440707671297785,-4.145174900639698,0.863182730635317
2,-4.790325196633603,-4.222447331597838,0.9087115633324054
3,-4.0639394033687495,-4.031792576839697,0.9513993724891722
4,-3.425353521528996,-3.7490190082402193,0.9708591061567146
5,-3.2795645857092497,-3.508935617047352,0.9821880507268754
6,-3.415219276859625,-3.2838043206254612,0.9834146206015659
7,-2.904868378127958,-2.909678743875721,0.9934834640059703
8,-2.2785156129105415,-2.497936144524232,0.9954347945278154
9,-1.9619112617425345,-2.1587396129154097,0.9954486648930629
10,-1.7795625822612238,-1.8722025748654252,0.997813208657472
11,-1.653272656228546,-1.6190272895826439,0.9977598152702972
12,-1.3650853758944321,-1.344798552636868,0.9963061905322496
13,-1.1164296263737015,-1.0864979445849428,0.9919377398042888
14,-0.8213821050592742,-0.830619809691292,0.9772602793490857
15,-0.4682904026946744,-0.5826820193966957,0.9025720586575242
16,-0.20145205829257976,-0.3787274432031639,0.7138186125186201
17,-0.29115645383371885,-0.26512010054933954,0.75643344995261
18,-0.1955618302475159,-0.14105632908917132,0.5165935217358066
19,0.044534032903175105,-0.0028541940756030824,0.0003939683675086014
20,0.19778535871237182,0.1072095603656923,0.3155278572162272
21,0.2293902428500587,0.17960718598905356,0.6907379241755143
22,0.2318711010246261,0.23884663056274036,0.8929727189742714
23,0.23595235265402154,0.30107284907502985,0.9329643103982441
24,0.21641052487166235,0.37252314102933154,0.891132495877936
25,0.3705063246322425,0.5000443637869546,0.9318912557180256
26,0.5843398166828593,0.655337072389555,0.9332829481376882
27,0.9115566035255143,0.8366097633108298,0.8934786170711961
28,1.1081087836444568,0.9803625847168153,0.8600623881246813
29,1.299430092574403,1.0858267059575988,0.8217249470493593
30,1.4635509089918741,1.1393471633753436,0.7842539594371152
31,1.4290971350946164,1.084573924491546,0.7624774296340531
32,1.2372350381727302,0.9316096687228846,0.7532310127566652
33,0.856617710818955,0.6781702850885997,0.7684655821429286
34,0.36310772969864047,0.35901288145743643,0.8017327592850344
35,-0.02932996425934107,0.03838336773217351,0.19419312828038438
36,-0.4484748727792066,-0.2734252078386711,0.6649124585853834
37,-0.8026219623463475,-0.5359881134941584,0.7465340468814163
38,-0.9423170652400585,-0.7110124143605432,0.8281660294270219
39,-0.9998784828114367,-0.8168809106539662,0.888346962056919
40,-0.9568942583089666,-0.8574384819204546,0.9424048084254463
41,-0.8655312801879518,-0.8568109089035066,0.9792022513161389
42,-0.7844161360410908,-0.8442745572146825,0.9923958243154648
43,-0.7322223708983984,-0.8374004329351388,0.9908726482574342
44,-0.7902349050472367,-0.8562886234107574,0.9950584729093809
45,-0.7942878682266382,-0.8735905211288015,0.9940783294797411
46,-0.8322178829127551,-0.9088028543488822,0.9956501083485086
47,-0.9251982254025279,-0.9631788662223758,0.9987181276793773
48,-1.009895349413182,-1.0186166684575575,0.9965668223130961
49,-1.108499688165375,-1.0746316754360734,0.9889852022994137
50,-1.2243402851352585,-1.1178349471687017,0.9753642216274779
51,-1.2466285655653337,-1.119744418993456,0.9674195577363328
52,-1.1870659977013929,-1.0788885455507446,0.9682772014149823
53,-1.0569950317896655,-0.9941072889165278,0.9747298777812912
54,-1.0034492195110034,-0.9023737331025927,0.975449499261093
55,-0.7918277603473143,-0.7624348920255916,0.9925938130360845
56,-0.5418021741861594,-0.6094418936235537,0.9895665044112134
57,-0.4439868835061134,-0.48933979369653563,0.9890713770748469
58,-0.3536449600628657,-0.3813268234548201,0.973098944286953
59,-0.18940586102089582,-0.2708779257497049,0.866904877833766
60,-0.19388459185156534,-0.19859710088807264,0.8608238567231995
61,-0.10748672754225481,-0.11808862614878846,0.6316708271234948
62,-0.10811615014681593,-0.055557869419791454,0.23726335665307918
63,-0.014961358881282649,0.021195455307264976,0.02858736910600823
64,0.13116033750766293,0.1009985525633035,0.25383652037252413
65,0.1954272010263594,0.15184670762244795,0.32758411228925055
66,0.27839139092438925,0.181334721275517,0.3048190267285411
67,0.21831591155969363,0.15316353635743757,0.21687255405226125
68,0.07308466790973397,0.06999647297377411,0.053689819093778235
69,-0.03154352172659856,-0.033544375347882134,0.010874714672531316
70,-0.043155177576500135,-0.15529639209013915,0.14460828173102636
71,-0.16272904589795872,-0.3406846350852184,0.3956313873525952
72,-0.38557859976754116,-0.594431257892194,0.6524469045701402
73,-0.6761403484275433,-0.9109038448877131,0.8300504458113367
74,-1.0136900166290617,-1.2936898884825436,0.9240255340773326
75,-1.4655920285819775,-1.7327415848772545,0.9766977499308485
76,-2.063409602889533,-2.2400445829496007,0.9964428712113065
77,-2.7184243725898343,-2.765523781422544,0.9929503534778041
78,-3.4923347974327044,-3.286778597306694,0.9762737990671075
79,-3.986456569328948,-3.692079451085441,0.9642419188210919
80,-4.302005585711322,-3.9711707535060996,0.9572523166800734
81,-4.425436045095012,-4.109634951993513,0.9552893323421566
82,-4.439476013616423,-4.106505479762206,0.9547586997931028
83,-4.253881933263711,-3.953773192327045,0.9578979390624761
84,-4.08492769951954,-3.704886751221684,0.9614361891897323
85,-3.682866886176271,-3.303040466579621,0.9695265872395759
86,-3.0096435458850466,-2.78140560267714,0.9899895215005474
87,-2.209909615905599,-2.2092120539608917,0.9922196938376793
88,-1.4428731264233647,-1.6647970990382794,0.894524562030404
89,-0.5536668632452347,-1.189845926865067,0.581446376251509
90,0.29583195617769886,-0.8903958822137598,0.2763522163063815
