gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-4.8470341860656845,-3.8486834076132714,0.8519712026736774
2,-4.480870431250969,-3.9153015223567618,0.9043702172017656
3,-3.7328841066863787,-3.7067281491664916,0.9524569581940217
4,-3.0701950213836424,-3.414498147085985,0.9734120051981076
5,-2.8911361019841935,-3.179337047583604,0.9852760225091436
6,-3.046898113964835,-2.9882881288121745,0.9885522309418296
7,-2.6320933771339696,-2.676501654752299,0.9954186750729608
8,-2.1343671138644824,-2.34231648896568,0.9956589927885675
9,-1.8965549791186276,-2.0733229308755363,0.9960297830870347
10,-1.788597212370496,-1.8482500336270977,0.9992211702638001
11,-1.714301248706306,-1.637864131023193,0.9974849223166649
12,-1.4582427573271162,-1.396855941150989,0.9976737293640817
13,-1.212433214614066,-1.1530925254686624,0.9962681483069736
14,-0.9038765775380853,-0.9002636422110639,0.9907494140635882
15,-0.5381322356779492,-0.649303649241583,0.9398668221496623
16,-0.2594673551931919,-0.4396959703141783,0.7931469439265942
17,-0.338432511596875,-0.31878062560618775,0.8437543933942137
18,-0.23299656052131468,-0.18649544952384658,0.6786912506491328
19,0.016149442722507956,-0.03815966629606776,0.06606170407457268
20,0.17649267438846436,0.08111722393662346,0.19987936816395224
21,0.22102599830222971,0.1673647509144542,0.6349395339372121
22,0.2307846295996569,0.23644299314784648,0.8702865680646892
23,0.24846014700160596,0.3128510132914667,0.9258634115312767
24,0.24168387946301664,0.3971756826805704,0.8959366631650245
25,0.4092774807717433,0.5364176999680139,0.9322981464998359
26,0.6373505900911368,0.7026050186731325,0.9300992937808951
27,0.9799400162584788,0.8919693761691228,0.8901304800413574
28,1.175157561825563,1.0382439654017637,0.8596192906898441
29,1.3663823228550427,1.1431199220877852,0.8235030574013649
30,1.5316428956682102,1.1930705091368583,0.7871747775058241
31,1.48194299822253,1.1291101439755615,0.7679078307493175
32,1.271722207213952,0.9642949987194959,0.7615977083096426
33,0.8646634877149154,0.6971596203678597,0.7832618097830568
34,0.35800776097548803,0.3679083527683116,0.8218440879216448
35,-0.03471688063045804,0.041502946699919406,0.2005726825266585
36,-0.45386692651718474,-0.2740446194711199,0.6461049042365227
37,-0.8077641717646656,-0.5388281923075164,0.740364387758772
38,-0.9469970466138875,-0.7149590840469153,0.8250856707105952
39,-1.0039251553333997,-0.8211270462951126,0.8866167503022351
40,-0.9601395598198905,-0.8613957193891729,0.9412692103131771
41,-0.8677324570754535,-0.8600277091508968,0.9784410094680308
42,-0.7856685131462655,-0.8463489790811468,0.9919640405328175
43,-0.7322655184118048,-0.8377089537011101,0.9907786135453955
44,-0.7889161313615659,-0.8548327304688421,0.995092628865732
45,-0.7914355592721222,-0.8700586338447281,0.994233485987886
46,-0.827564113619428,-0.9028518309027211,0.9958107001763438
47,-0.9186694499966507,-0.9544580151306622,0.99875621653144
48,-1.0008161746683073,-1.0069083554486262,0.9963340370872216
49,-1.0967017909995775,-1.059514376725523,0.9884070663888144
50,-1.2091647723562347,-1.100062060165614,0.9743664900634145
51,-1.227785619579936,-1.0989932504130537,0.9663662165076693
52,-1.1648944429119183,-1.0552251645830986,0.9677200312279165
53,-1.029636606097938,-0.9675833177149252,0.9749914342527648
54,-0.9708836973554753,-0.8735250953550623,0.9765331910899298
55,-0.7534481951523049,-0.7322411017318029,0.9942673049262165
56,-0.509654405895344,-0.5822493221475197,0.9873026662385851
57,-0.41682612497861554,-0.4640986607392232,0.9850998781191025
58,-0.3307689482776368,-0.3586368783138468,0.9651383380339527
59,-0.17014410188248802,-0.25094127909185193,0.841350628248508
60,-0.17764705115914695,-0.18145864984269905,0.8260090715105597
61,-0.09376094707495213,-0.10378365433683674,0.5528489069989568
62,-0.09637243768620465,-0.04384579470711565,0.1545400720913368
63,-0.004767220780922799,0.030253957474534795,0.054406157252363085
64,0.1403144203454758,0.10743276830712964,0.27210817365189977
65,0.20394313291371874,0.15509108138154296,0.33162973192947276
66,0.28665967823108074,0.18516643201479577,0.3113791758323945
67,0.22716522991313468,0.15754744875039803,0.22862908585647745
68,0.08362102748069447,0.07475584905382948,0.06306807366807443
69,-0.024347293326081855,-0.029346901692906952,0.008959093140483598
70,-0.041099073197801775,-0.15063003698293867,0.1493625325191521
71,-0.16782086538223667,-0.3340013088783702,0.4172179152605583
72,-0.3902262259481176,-0.5774348681279589,0.6793909674701533
73,-0.6735138514635765,-0.8766092516459414,0.8485684901649403
74,-0.9783525877144712,-1.2284849604051442,0.9319945763452508
75,-1.388051771899427,-1.629044102377395,0.9791656060765311
76,-1.9408433392265578,-2.092445909200476,0.9970330144204886
77,-2.5465738805529328,-2.5685355738656117,0.9928798913303898
78,-3.2749479188749318,-3.0473279241827216,0.9758026016055081
79,-3.7132114052228644,-3.40742835931802,0.964770577935635
80,-3.98199702924594,-3.647690162103894,0.9592021340069696
81,-4.058618892345294,-3.751746785727148,0.9585483362722746
82,-4.068440138389451,-3.7441326772714696,0.9592981253234285
83,-3.868123344537435,-3.5935426896708744,0.9638611895039381
84,-3.7075433398032147,-3.3681739295399007,0.9684917630934502
85,-3.355597967189533,-3.022392098062898,0.9779854331714927
86,-2.766812919748645,-2.583026055630568,0.9945286457798709
87,-2.0968921664349183,-2.1145044320136703,0.9901440822639008
88,-1.4901770462964123,-1.6874562360070808,0.9094388058283045
89,-0.7873713378909087,-1.3304748291145156,0.6886354878162895
90,-0.12715842545494524,-1.132088507311161,0.45215074804906263
