gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-7.784050665837503,-6.750356408728604,0.9231483823793715
2,-6.912457139957337,-6.502511951041757,0.9466460192206378
3,-5.821887854106239,-5.868711338712917,0.9641285553152907
4,-4.929372141399881,-5.0929441637911905,0.9664230871313166
5,-4.591148571450435,-4.253299298321147,0.9384459455009144
6,-3.0849639243450837,-3.684340698802924,0.9821437704515898
7,-2.4092681141377397,-2.797086567370789,0.9754892395165113
8,-1.7182235763929157,-2.0931885662484397,0.9467027938054532
9,-1.434151304939337,-1.6372118637939004,0.9475682452736678
10,-1.3411387335016343,-1.3566075926412504,0.9698237380375305
11,-1.2882227002587796,-1.164026317101366,0.9797180528725744
12,-1.077557767010512,-0.9784916886759902,0.985052824803434
13,-0.8885216070426623,-0.7964753645282029,0.9858065309635855
14,-0.6449849479457498,-0.6103286708277058,0.9887024492094897
15,-0.35008135060684253,-0.4255407822020006,0.9362096209490116
16,-0.14272870328957196,-0.2871451683865371,0.7632237236755876
17,-0.29034064722541186,-0.2473201287449896,0.9163910101728782
18,-0.24889752134581614,-0.1887176709213375,0.8724076530435887
19,-0.05804912596631766,-0.10298949803366801,0.6643731141914817
20,0.05228820136835566,-0.04121056166091034,0.13894212327447775
21,0.04897070212082326,-0.02035459068324085,0.07061847390099585
22,0.02745963383531489,-0.007225008399839772,0.044812093251499596
23,0.011542899005326035,0.02003338400954216,0.3445379328893503
24,-0.007789279806775085,0.0827394700874548,0.48119250858423235
25,0.160392077458755,0.22990371586802394,0.9258646874864932
26,0.4176093136466534,0.44456954698107454,0.966092314320132
27,0.8162713541750236,0.7138350933117978,0.9204881438170971
28,1.0774118176008414,0.9492905846276588,0.9021387215615733
29,1.344366457103888,1.1465752381017689,0.8785837225836233
30,1.5669132211851775,1.2731059282406936,0.8544542377911749
31,1.568385753062057,1.2619648217729955,0.8453187665616284
32,1.387211573006607,1.1165098276253589,0.8454672396940555
33,0.9815973712838968,0.8344513479005461,0.8715795043228503
34,0.4666842560809982,0.46866163088287455,0.9132030611079964
35,0.06175999948845856,0.10233373213263312,0.7361387821570233
36,-0.3527837633206218,-0.24045662290047087,0.7073035217329514
37,-0.6918895073165459,-0.5166931162468043,0.8208350034637815
38,-0.8130116530930536,-0.6779829262589003,0.8922921135976118
39,-0.8528232669359113,-0.7520331310883036,0.9349341268782569
40,-0.7956985248183628,-0.7521896693461336,0.9720383069208088
41,-0.6939479301272968,-0.7141442956381039,0.9945937259014616
42,-0.608750739346533,-0.6706593665424818,0.9945447954288394
43,-0.5583811106081612,-0.6466271196648361,0.983517529387434
44,-0.6266766541613379,-0.670332639771024,0.9896024254690104
45,-0.6582802883826389,-0.7095976330184826,0.9884922550785563
46,-0.7319912348513753,-0.7855748960294922,0.9935683443963857
47,-0.8752393359598954,-0.9003611905329504,0.9990286476370431
48,-1.0271464004612425,-1.0320345294184974,0.996905435532882
49,-1.2046367215988085,-1.1685105386120629,0.988507256022455
50,-1.3992811867110504,-1.288084223468663,0.97521172339072
51,-1.480806388605015,-1.3463949658429484,0.9687997151405037
52,-1.454735037219507,-1.3314969869609736,0.9695905416591099
53,-1.3327250587033632,-1.2578259886905767,0.9747663248128882
54,-1.2693019382646071,-1.1445055256506456,0.973424158412582
55,-1.0297079311060315,-0.9752582385482563,0.9877552438380153
56,-0.7437059273877822,-0.7818466124954446,0.9953876964586793
57,-0.6051153306260858,-0.6271099749323892,0.9982996840899466
58,-0.48129112451920264,-0.49605873618805585,0.9968600773270222
59,-0.2932037406591007,-0.3693743574976411,0.9622445269920638
60,-0.27881679815363897,-0.29043646575950044,0.9877594560064689
61,-0.1742774342341818,-0.20305698058862617,0.9696380175384529
62,-0.15291446001629083,-0.13084201208217677,0.9467828825245295
63,-0.049834412903237535,-0.034270094883913256,0.5299165499353437
64,0.12001857924942669,0.08467411316942036,0.6530222095146286
65,0.2268089254663664,0.19241449191248694,0.828641819261744
66,0.37533394498864253,0.3012311798078189,0.8322686373083157
67,0.4079049814460177,0.36868908579180876,0.8578771838922435
68,0.3866558209377217,0.39408488480241094,0.8599127360116562
69,0.4264122542511359,0.42276241239958107,0.8043350592241924
70,0.5596427557329662,0.44573580694783155,0.6765749505550289
71,0.5698655430717281,0.3915358425292006,0.49740468313772146
72,0.4399016023207423,0.2357827719007959,0.2198376735613542
73,0.202324120394087,-0.018929094778085718,0.0017251378243297033
74,-0.1250326706790929,-0.3795773059441018,0.4280025564906895
75,-0.6158719580587786,-0.8476871422433523,0.8554320641232017
76,-1.2813555764127613,-1.4299942882435162,0.9830602932258518
77,-2.016436140271162,-2.063588115360437,0.9991539783292777
78,-2.9053331616335982,-2.734042128281467,0.987688643923207
79,-3.5102336020805525,-3.277315587265544,0.9792473733058501
80,-3.950887517244928,-3.6997707099719785,0.9740951799643773
81,-4.175683232477832,-3.9533577424511495,0.9722831001483129
82,-4.29698544042044,-4.044237172476639,0.968584517978672
83,-4.164962750057384,-3.9273314620558066,0.9671128110467797
84,-4.001574996774616,-3.645022399765516,0.9614966184412366
85,-3.5503583515080663,-3.139267802974556,0.9591076672528066
86,-2.748945248563223,-2.4249998581844596,0.9702437326165538
87,-1.7340960175592044,-1.5846293365725936,0.99201600670996
88,-0.6498540757287629,-0.7017767944907564,0.7729461226804664
89,0.6422499031988991,0.13291870277538725,0.02212661098372326
90,1.992713869707768,0.7362741272771552,0.20004905986043064
