gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.170977923725149,-4.168514178071657,0.8640429268023655
2,-4.824096568287405,-4.248909852121316,0.9090704998418705
3,-4.108323369548725,-4.062240923127555,0.9514805937812815
4,-3.4828117825662956,-3.783969829182951,0.9712741752791355
5,-3.353384673292749,-3.549600469331433,0.9832118540573788
6,-3.5129430961501384,-3.3339667478945216,0.9846640133475831
7,-3.0310474194064225,-2.971280226155734,0.9952374037041974
8,-2.4411460132755565,-2.573985663245998,0.9986589265732196
9,-2.047793380556777,-2.2370867817892344,0.9918638433775736
10,-1.7913612250474216,-1.9598709656345306,0.9810703014696202
11,-1.6708391864332044,-1.7374568948844646,0.9712162016303939
12,-1.3736029245352257,-1.4603971122815924,0.9555712567016055
13,-1.1718018623731041,-1.2317230792638456,0.9343868314981911
14,-0.952583655278886,-1.0429689502707002,0.8985270879631421
15,-0.6881156189218018,-0.8940881040110452,0.8356289946135194
16,-0.4968156372202429,-0.7848481871289061,0.7838912789314796
17,-0.6498316570981842,-0.7545315602366582,0.856469162588777
18,-0.6175077134091225,-0.6967561023122326,0.8630191463507796
19,-0.4215018412253812,-0.6032504250005972,0.8231269898952343
20,-0.3215574214194021,-0.5415471479977394,0.7767523129816555
21,-0.331362885557337,-0.49250251728209815,0.8143203430946281
22,-0.3953750239496003,-0.4786765590722998,0.8784187368533068
23,-0.4649497697114384,-0.4826685072017313,0.9299689664650749
24,-0.5815659080336445,-0.501052660927186,0.9426818693330073
25,-0.5521550102073889,-0.4865146325287176,0.9478198937301725
26,-0.4943186581639566,-0.46476183663027354,0.9363089107529878
27,-0.3574558400777278,-0.4308852304976887,0.8661632386929057
28,-0.36649209774386693,-0.43367963485314664,0.8464765465174127
29,-0.36787804708883415,-0.45511019718672585,0.8266414399981291
30,-0.337907512385118,-0.4877040287424038,0.809297496009863
31,-0.4223304366605589,-0.5734617277404516,0.8719188472155536
32,-0.5508520735682396,-0.6920464478262549,0.9391052539818072
33,-0.7693635539918432,-0.845613567535611,0.9906354774360374
34,-1.0516462745245008,-1.013702002558264,0.9961935684897546
35,-1.1980577637186798,-1.1479430974621243,0.9863258657180823
36,-1.4018863126106225,-1.2733218570107694,0.9694289661501844
37,-1.566889107584211,-1.3594241971155359,0.9535336958870848
38,-1.5408787663764998,-1.366720987421908,0.9577152036960889
39,-1.4541795548053416,-1.3185681829592215,0.9679520752009064
40,-1.2841495909556215,-1.2193870815192875,0.9838404992055833
41,-1.079356307283615,-1.0925593003303398,0.9958736778251308
42,-0.8985571382531816,-0.9639091684184277,0.9969797774841452
43,-0.7403527322436275,-0.8389903525510587,0.9879542389214278
44,-0.6955008721213745,-0.7456745599303309,0.9848182605062598
45,-0.5872222506257458,-0.6562481398917022,0.9649365874822543
46,-0.4992307965158943,-0.5700047428202798,0.9352345910499511
47,-0.44849732099282846,-0.49465355113102455,0.899971002489214
48,-0.3701067853417953,-0.4223043622697017,0.8369388742788086
49,-0.3088536023417873,-0.36719441766531097,0.7609122187152416
50,-0.2913878920369825,-0.3283091286756936,0.678822736364654
51,-0.20984186773921465,-0.25306595296743883,0.5213007919575927
52,-0.10977039836479889,-0.16843419275871208,0.2959891000988244
53,0.002654656012146006,-0.08659696502495731,0.08571624574729453
54,-0.022911088166620176,-0.04727164989708123,0.028586927045393784
55,0.07296027404609048,0.002407018593383058,7.111646344815092e-05
56,0.1796503790396855,0.04762004121959425,0.02394504809031439
57,0.12037052454797958,0.05036566795662469,0.03492478766170759
58,0.05675228880236318,0.03199380801757438,0.019098823294593337
59,0.08208310840664126,0.013576829627048112,0.0037515155584609827
60,-0.05590068430328756,-0.049770763859223036,0.07314227778352611
61,-0.09410257886520412,-0.10552439900363376,0.3027031139906091
62,-0.22253391877493414,-0.18675739825164592,0.6361600928902325
63,-0.260349379199215,-0.25930913117724663,0.7656892567382542
64,-0.25388298124426,-0.3348629612896809,0.7892798187063033
65,-0.3392964250280784,-0.4450782043198521,0.8543399938591953
66,-0.41972970701999657,-0.5821065473683867,0.8968429336126142
67,-0.6586911863581918,-0.7737473873387456,0.970498341087235
68,-0.9936262744599844,-1.0008292771521172,0.9990762445991042
69,-1.292284430510699,-1.2262454723846976,0.9958425297479687
70,-1.4500114718240185,-1.4179287075337388,0.9948369449866495
71,-1.6479474991773713,-1.6014337466949675,0.991464081826023
72,-1.8411267571788812,-1.760804093493045,0.9885603976093531
73,-1.9629703130062808,-1.8811039750427314,0.9883874331050323
74,-1.9535297547734445,-1.9492675092623968,0.9915983949199045
75,-1.9382630945476194,-1.9970570672285097,0.9928498665992138
76,-1.9801877081706152,-2.038436992648375,0.9923792228126916
77,-2.080769545880776,-2.076679543408538,0.9903006404778837
78,-2.296183324596041,-2.119216281068112,0.9816736743485414
79,-2.2442265572788527,-2.066592259661313,0.981929918949209
80,-2.086873802500304,-1.965386963866874,0.9875990961581288
81,-1.8414612856802706,-1.8114599800703546,0.9951041344916067
82,-1.6425601969241144,-1.653145350294667,0.9979917185965635
83,-1.3769254429784268,-1.4751006870500525,0.9927777908905475
84,-1.2919291285815233,-1.3419850007470608,0.9813398436107741
85,-1.1410216604548622,-1.1733539072960613,0.9563603840377145
86,-0.8934707162381528,-0.9946255174162251,0.8831295088534364
87,-0.6460241442937331,-0.8479698050434168,0.7168186735573925
88,-0.5430502727074782,-0.7737128582982641,0.5637038941537289
89,-0.3937891486186345,-0.7675934837648467,0.46188794676423384
90,-0.3165024530416304,-0.8827486909383252,0.4661462453158759
