gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.1750048511398745,-4.170747212443297,0.8644598370669097
2,-4.829899768649648,-4.252669264706568,0.9096440010687017
3,-4.116432067891674,-4.068273763755888,0.9521912359216652
4,-3.493846070827476,-3.7932626472941586,0.9720957744310889
5,-3.3679960402236246,-3.5633860476212584,0.9841274225648213
6,-3.531500702561061,-3.3537152292120185,0.9857240695966292
7,-3.0565193091787477,-2.999101075551829,0.9959804722488721
8,-2.4654148055427867,-2.601703033861543,0.9985220718553764
9,-2.064352472806695,-2.253808474303482,0.9910794722054515
10,-1.8045916284741907,-1.9711812446845822,0.9799280512163255
11,-1.6809666014260984,-1.7448727096983179,0.9700583340837259
12,-1.3813842884709628,-1.4652122712869358,0.9543270434456558
13,-1.178070746681169,-1.2349996148799884,0.933141442947358
14,-0.9580703473761787,-1.045588575461452,0.8973842603774193
15,-0.6932763668039115,-0.8967947958237691,0.8348776924488025
16,-0.5032274896371746,-0.7884945665471427,0.7837439861655562
17,-0.6579605506934968,-0.7599152077383402,0.8565692875264332
18,-0.6280958357458075,-0.7048584169875491,0.864135358077082
19,-0.43520554611313855,-0.6152461303820972,0.8261600613516599
20,-0.33761812912998723,-0.5586535092784681,0.7819011332188097
21,-0.35114637744873106,-0.5181762446911524,0.8150625055601706
22,-0.42059616095166347,-0.5133623555904024,0.8704785781810882
23,-0.48970670439903186,-0.5196943807502628,0.9137699509935132
24,-0.6068292347259557,-0.5333746788327682,0.9295673110977016
25,-0.5850744672379733,-0.52352861785598,0.9315422218222646
26,-0.5322541675929642,-0.5080147821312504,0.9178668144084343
27,-0.4057252890310338,-0.4893103242372125,0.8580775348420169
28,-0.4266638021531435,-0.5072601802275643,0.8421216926109366
29,-0.42403612816306124,-0.5295722928516942,0.8289088796638451
30,-0.39723051523033065,-0.5660656055852576,0.8211198009310474
31,-0.4652175315949535,-0.6278658565595113,0.8719281777942292
32,-0.5855595363601424,-0.7311067774223723,0.9358731464529566
33,-0.7977447983029379,-0.8745914823646108,0.988877529895177
34,-1.0735181899028248,-1.0347171914107693,0.9970933734670201
35,-1.2146333883712033,-1.1629167157398608,0.9879824841311862
36,-1.414151658724495,-1.2837875723823966,0.9711743888079934
37,-1.5759115559455494,-1.3666548841667654,0.9549906872537148
38,-1.5473549728011675,-1.371635954162065,0.958700043572607
39,-1.4587322026030052,-1.3218603374372202,0.9685635318931137
40,-1.2872938015443651,-1.2215629233324254,0.9841605766644684
41,-1.0814946799803693,-1.0939801317779756,0.9959979066268743
42,-0.8999914972054285,-0.9648272286179842,0.9969931426951996
43,-0.7413036589464355,-0.8395791413936182,0.987926535560871
44,-0.6961258748567161,-0.7460515815518104,0.9847795568726505
45,-0.5876320776713329,-0.6564919474827505,0.9649036450856653
46,-0.4995014977363098,-0.5701674160941309,0.9352037949323676
47,-0.44868036480720547,-0.49476941441632244,0.8999431882358568
48,-0.37023614083209394,-0.4223960721001951,0.8369266019997361
49,-0.30895072684224945,-0.36727687397301334,0.7609255114913906
50,-0.2914650371130847,-0.32839198963589683,0.6788713834802946
51,-0.20990404765343557,-0.2531549668967584,0.5214237935014165
52,-0.1098160715288941,-0.16853131705745605,0.2962092973275997
53,0.002633627092200186,-0.08669977520149383,0.0859080540661783
54,-0.02289189058374177,-0.04737175664040506,0.028714964975801283
55,0.07304421987373644,0.0023264427382099617,6.648611388926362e-05
56,0.17983456183474117,0.04758794133641104,0.02394355218608535
57,0.12070384998778536,0.05042799817087108,0.03510021066259661
58,0.05729975646527237,0.032219781634148674,0.019462571880785706
59,0.08292852536796999,0.014066729915986613,0.0040575646985223646
60,-0.05465312435026135,-0.04887637924676029,0.07171505495327923
61,-0.09232850699354458,-0.1040341041280889,0.30151485859471105
62,-0.22009372325128423,-0.18441825030700154,0.6382210420651258
63,-0.25710247631432137,-0.2557986709695441,0.7685438726382331
64,-0.24971989303685405,-0.3297865889894807,0.7911459063555217
65,-0.3342084688410978,-0.4379751979125219,0.8560738696439164
66,-0.41393384132607025,-0.5724876523386369,0.8980858722745078
67,-0.6526261114104273,-0.7611482170781914,0.9718941843102665
68,-0.9883798494373878,-0.9855470603281701,0.9993842810074305
69,-1.2897422720727263,-1.2094499109304642,0.9953170221904748
70,-1.4526217001272925,-1.4028631652324706,0.9948056674342584
71,-1.6585392845114257,-1.5922096459435835,0.9926492852705953
72,-1.8689488134589738,-1.7690399236738639,0.9909462676213898
73,-2.0133330328750163,-1.9154105643608044,0.9919143540506737
74,-2.036267122118079,-2.018108572492124,0.9956413830638033
75,-2.05361815624683,-2.111499558882332,0.9967076332286547
76,-2.13922815606511,-2.215745109647564,0.996388783469444
77,-2.2930351860555676,-2.3282881712892354,0.9948486314331209
78,-2.54077456347286,-2.42522233564717,0.986913644216783
79,-2.5147511666397806,-2.418282392425893,0.9858017936204603
80,-2.359605764978369,-2.329180479913227,0.9858870563877298
81,-2.1091918489137242,-2.1755374147473736,0.9905041011121937
82,-1.899722881967591,-2.0007220395378784,0.9907502483401555
83,-1.6109946281611882,-1.785177546754575,0.9846954090281634
84,-1.4797558612236572,-1.5809989815670493,0.977295251607671
85,-1.2951119068157824,-1.35782608508194,0.9541508859048169
86,-1.0172056527302629,-1.137985715319037,0.8895327527686201
87,-0.7417871394304711,-0.9584361584025074,0.7392750584857581
88,-0.6138392693419519,-0.8567634872769444,0.5925546569208386
89,-0.45074713100957525,-0.8301456880947178,0.486904535319413
90,-0.36302782967413805,-0.9286709807512121,0.4823252131059389
