gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-7.370728268417588,-6.361459403634431,0.9012067154195442
2,-6.7482253987494,-6.284991496632907,0.9276136485240866
3,-5.811665884736885,-5.8280298014202545,0.9490523095056139
4,-5.020875432822413,-5.1962225798642265,0.9575078572782451
5,-4.734626311859938,-4.470804392823664,0.9455910696858323
6,-3.5114387225879,-3.998678977362607,0.9909906061752398
7,-2.826523134602212,-3.1593820849137333,0.9884297247335344
8,-2.0874034378241957,-2.4194553766984686,0.9675766204444292
9,-1.582687087078466,-1.8373193565428607,0.9434442871507658
10,-1.2457686347373056,-1.3968187866000625,0.9252849498570394
11,-1.0740950666806384,-1.0777983525696597,0.9231803576639472
12,-0.8046297233127916,-0.8002706640602625,0.9013280326876782
13,-0.6241879831576626,-0.5851521342549956,0.8722431440139031
14,-0.42637370800921415,-0.40056587825913514,0.7897221089628409
15,-0.17184098193320096,-0.23900358100545266,0.5310825227094862
16,-0.002259928961393598,-0.13258310123584904,0.23169953732564763
17,-0.1879146291554207,-0.12660474205496905,0.40592731197377496
18,-0.18794978871674176,-0.11057713827865101,0.4077627232776575
19,-0.04463101540140997,-0.0790059869084316,0.25161442811445
20,0.00901740754770799,-0.08005480318691605,0.21212296506615969
21,-0.06495049113582355,-0.1285745532617545,0.5340168969566583
22,-0.17601837771253487,-0.19862228019878098,0.8827786035697482
23,-0.2846783754417629,-0.2710224688474933,0.981159003074471
24,-0.43151114035781574,-0.3413134621412356,0.9573340501687282
25,-0.426907012450647,-0.36103775728880916,0.9753425652268418
26,-0.3849516526935986,-0.3559608391076584,0.9795168610459751
27,-0.2566766698263564,-0.3249766730213711,0.8932751747524523
28,-0.2679952335955932,-0.32296717103318917,0.8505289937106854
29,-0.263444402105506,-0.3317581959306341,0.7977183224382025
30,-0.22322601960313476,-0.3473197586516192,0.7445707018470684
31,-0.289048641968202,-0.4118180950727698,0.8162134982591727
32,-0.3936766779611389,-0.5093923937068405,0.9084346565311178
33,-0.5943168528827301,-0.6543448989091363,0.985096060292618
34,-0.860619861890973,-0.8284239385934454,0.9969049653458123
35,-0.9987871729321341,-0.9708056113896074,0.9878898019081818
36,-1.1962624840404714,-1.1020628974432838,0.9704728994975801
37,-1.3588830400260121,-1.1898256772674496,0.9529631807964289
38,-1.333097600264955,-1.1974222097796232,0.9570086095912462
39,-1.2475972430300317,-1.144225924641146,0.9668355868020839
40,-1.07957345521545,-1.0340343919428785,0.9820179698656215
41,-0.8767786733241337,-0.8937697402335495,0.994395235412544
42,-0.6929415300920482,-0.751518915042202,0.9962405952326526
43,-0.5421043906429077,-0.622931269244422,0.9877779853833956
44,-0.5010442075032188,-0.5232156412043384,0.9903244393083597
45,-0.3866223123891359,-0.41703002926301613,0.9733531305069535
46,-0.29528638059236983,-0.32561016965407136,0.948203504264184
47,-0.24407095414453578,-0.2493890752758305,0.9258597238421991
48,-0.16606023837211978,-0.17353458131727995,0.8500543288854157
49,-0.09691202075873662,-0.10525485538607847,0.6658364132368744
50,-0.06554912418760069,-0.044724047069456915,0.2711817570135119
51,0.0017865398278445355,0.022011028719247223,0.06597746042583819
52,0.08166405380752621,0.08811540808100637,0.4483741902237024
53,0.17110423610211,0.14550189596065147,0.5896783535042536
54,0.1312866574329746,0.16709760176931096,0.687021411825385
55,0.20421220917796745,0.1950666810628208,0.7155673577976491
56,0.289062071148237,0.21194371525900932,0.6546465985242638
57,0.2063270108703364,0.17967055625207173,0.6764586682485934
58,0.125618068676431,0.13014453247489827,0.6199861045458084
59,0.13702564503428222,0.08701560302958855,0.3940900953148677
60,-0.005944304802778788,0.00950025242217165,0.016163151136699416
61,-0.04774550047295634,-0.052572546022218745,0.3548371504060577
62,-0.1702974164585612,-0.12771147313626602,0.7769010976596746
63,-0.19696355069108903,-0.1832639959065331,0.8469899057901265
64,-0.1724377625588204,-0.23360834641781192,0.7895292129586899
65,-0.23509624546768465,-0.3154453879100527,0.8256781973638054
66,-0.28928888227792415,-0.42221601973630124,0.8589445471992779
67,-0.49973441028269006,-0.5893300826507417,0.9579545406160409
68,-0.8113820945429324,-0.8069215414141511,0.9982369928021602
69,-1.0858247146486975,-1.0216259654135982,0.9961399491394018
70,-1.221461287013335,-1.2005081811848048,0.9968191384945913
71,-1.3998914022461577,-1.3730471508421602,0.9948486306232083
72,-1.5778785944285119,-1.524461148176367,0.9931336983845166
73,-1.6807447217421214,-1.6316672747791796,0.9934216134807361
74,-1.6601674850162453,-1.6868701606390852,0.9962413538484716
75,-1.6184032401908552,-1.708373682016076,0.9962856325305606
76,-1.6421277326104247,-1.7352837989326875,0.9953039375229789
77,-1.7165063984141853,-1.751766610597405,0.9931472631394499
78,-1.9046844215746206,-1.7707947541017188,0.9817142054537844
79,-1.8263816978915202,-1.686104870185705,0.9781684764653451
80,-1.6410776402361988,-1.5415685307212925,0.9813326202970413
81,-1.3600514362285139,-1.332309161224904,0.9892146199586298
82,-1.1215347363418005,-1.1054869565567667,0.9950611591988501
83,-0.8044082748841902,-0.840876628229697,0.9942739879598383
84,-0.645563773185495,-0.6028725453665622,0.97346231889782
85,-0.4434851924398572,-0.3615620206945609,0.8068982103382542
86,-0.13424402350538003,-0.11337094939017095,0.13806354958570188
87,0.1507495091016608,0.09705641779083013,0.05086863160837729
88,0.3029868010990867,0.22084678994162013,0.1392955162852415
89,0.5102033711296826,0.26481671825584824,0.12216814964813716
90,0.6644684460957251,0.16956336342953507,0.03650765325059291
