model_year,groin_active,trapping_rate_applied_m_yr,applied_dx_updrift_m,applied_dx_downdrift_m,cumulative_updrift_m,cumulative_downdrift_m
1984,True,60.0,-60.0,60.0,-60.0,60.0
1985,True,60.0,-60.0,60.0,-120.0,120.0
1986,True,60.0,-60.0,60.0,-180.0,180.0
1987,True,60.0,-60.0,60.0,-240.0,240.0
1988,True,60.0,-60.0,60.0,-300.0,300.0
1989,True,60.0,-60.0,60.0,-360.0,360.0
1990,True,60.0,-60.0,60.0,-420.0,420.0
1991,True,60.0,-60.0,60.0,-480.0,480.0
1992,True,60.0,-60.0,60.0,-540.0,540.0
1993,True,60.0,-60.0,60.0,-600.0,600.0
1994,True,60.0,-60.0,60.0,-660.0,660.0
1995,True,60.0,-60.0,60.0,-720.0,720.0
1996,True,60.0,-60.0,60.0,-780.0,780.0
1997,True,56.57142857142857,-56.57142857142857,56.57142857142857,-836.5714285714286,836.5714285714286
1998,True,53.142857142857146,-53.142857142857146,53.142857142857146,-889.7142857142857,889.7142857142857
1999,True,49.714285714285715,-49.714285714285715,49.714285714285715,-939.4285714285713,939.4285714285713
2000,True,46.285714285714285,-46.285714285714285,46.285714285714285,-985.7142857142857,985.7142857142857
2001,True,42.85714285714286,-42.85714285714286,42.85714285714286,-1028.5714285714284,1028.5714285714284
2002,True,39.42857142857143,-39.42857142857143,39.42857142857143,-1067.9999999999998,1067.9999999999998
2003,True,36.0,-36.0,36.0,-1103.9999999999998,1103.9999999999998
