gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.702290930447634,-4.7229099026134,0.8649920848632179
2,-5.414153532371984,-4.8110546128263065,0.8940781618787806
3,-4.745782424668323,-4.591008826419183,0.9231735163201436
4,-4.157170979099282,-4.214451977013965,0.9383070534070777
5,-4.0320406751832705,-3.7730361925907903,0.9342338723394814
6,-3.3084872548681235,-3.5649373613439086,0.9926660193048135
7,-2.778003203944718,-2.98816101091494,0.9970939282184076
8,-2.1411857145358226,-2.425848871108548,0.9882581409758194
9,-1.688888275897534,-1.944982768921219,0.975103151873214
10,-1.3814855556485781,-1.5567641466489097,0.9639995772046961
11,-1.2188723120775649,-1.2530326363332818,0.9599094253557199
12,-0.9445215795313743,-0.9716300888360238,0.9390486614466604
13,-0.7501197990231049,-0.7400583621388891,0.9083167036324222
14,-0.5331696372070838,-0.5349867391175133,0.8339126225119253
15,-0.2576120242707475,-0.3522085755062985,0.6297124329578414
16,-0.0678744329951769,-0.22255862356637368,0.36404392545963926
17,-0.23659735991295747,-0.19066035245500096,0.45767924646757985
18,-0.2235736467593597,-0.1553563094173386,0.4079993302586683
19,-0.07164687873755611,-0.11384689841633293,0.2573366386513485
20,-0.013418053543591667,-0.10988605665753497,0.22157966059906653
21,-0.08990372454518365,-0.15718032606868912,0.4558070367173863
22,-0.20535793123444818,-0.22566410568997872,0.7561341152376136
23,-0.31646371303759224,-0.29308535214386744,0.902231812979003
24,-0.4598777730700931,-0.35476987125726006,0.921001971330331
25,-0.46228721605075407,-0.383762209440996,0.9434522050853416
26,-0.42974018457198326,-0.39817636150521146,0.9409120819428044
27,-0.31907501702953595,-0.4012053082107394,0.8693129422750254
28,-0.35138150636257703,-0.43350586423882115,0.8487631380715217
29,-0.35574903095666743,-0.4635381823984859,0.8291825900516578
30,-0.3319956530550371,-0.5017916939236828,0.8145120247846316
31,-0.39996194185541756,-0.560015804653547,0.8691115144959307
32,-0.5154432450454806,-0.6546201419241257,0.9371273301806428
33,-0.7283930382076506,-0.7946170319457476,0.9917673236755595
34,-1.0058619721856303,-0.9603468086408924,0.9953780950017339
35,-1.154192232256173,-1.096570035585591,0.9824141051139363
36,-1.359218295991741,-1.2227189605967927,0.961812617015084
37,-1.5238343367940614,-1.3067121225420366,0.9426179966073481
38,-1.4955286484997488,-1.3119513122332358,0.9456674536503162
39,-1.403553481963081,-1.2591130317047952,0.9555150175780972
40,-1.225208315114105,-1.1508129893523684,0.9722463045500702
41,-1.0064998113461114,-1.0086155677982709,0.9876733781586065
42,-0.8045862912636949,-0.85950723895258,0.9944133168176545
43,-0.6335078803015677,-0.7177898343444092,0.9918141666422532
44,-0.5705424067388776,-0.5999276738759275,0.9952232632124127
45,-0.43423342454270825,-0.4741797784834355,0.9825682507046847
46,-0.3213438920432054,-0.3607532020099782,0.9551331703106095
47,-0.2492799603533058,-0.2615862806549845,0.91558029435505
48,-0.1514096016477197,-0.1640132234031056,0.772471823487714
49,-0.06351517835664708,-0.07528176840403322,0.37480639972500585
50,-0.014881334212441288,0.0034750908652112903,0.0012054584309801886
51,0.06782418425163997,0.0841324586703302,0.3559511718620195
52,0.16055102150958192,0.16002138659785295,0.5961940002455726
53,0.25983704506170396,0.2243670378194084,0.6680954071427346
54,0.2265685671422034,0.2515675292054342,0.7395667845526135
55,0.3025996306521847,0.28104411409392793,0.746460193096032
56,0.38697625578124645,0.2959593786825724,0.696843027321542
57,0.2998889392310957,0.26145470558530026,0.7139559062720897
58,0.21112591231612896,0.20744347391820078,0.6782455259007701
59,0.21104734788723362,0.15516670267840568,0.5285616707919887
60,0.05323421108278126,0.06605846294219661,0.25960697178845726
61,-0.006446479805890704,-0.013268130891477365,0.015727020524581414
62,-0.1497014934053368,-0.11000769116695483,0.5630610396083319
63,-0.1994719938842536,-0.1933583616963553,0.7781407902026805
64,-0.20016353464097847,-0.2755333004465008,0.7960688910926932
65,-0.29031463380688366,-0.3887755258034642,0.8613953035649146
66,-0.37333328351314776,-0.5246051439868634,0.8997547868949817
67,-0.6139908181057763,-0.714506835024277,0.9743057109094158
68,-0.9563933244138753,-0.9482497318779788,0.9996898048047976
69,-1.2606560735240238,-1.1784045214755083,0.9938107571666812
70,-1.424567988860963,-1.375254564030799,0.9931764341954004
71,-1.6291516348019286,-1.565207269549564,0.9908379726715959
72,-1.8355874023799514,-1.7395955150628126,0.9889360890509542
73,-1.9721096619405216,-1.8800104144124135,0.9897591150300349
74,-1.9835128543695646,-1.972861047081972,0.9935185984722217
75,-1.9879996506894713,-2.052250921480346,0.9944685423801269
76,-2.057039534149953,-2.1366721430054003,0.9935644347376238
77,-2.1877116774187018,-2.2224680944449875,0.9907452329452312
78,-2.4172997008358834,-2.2934506596198108,0.9803709264682023
79,-2.3749452709314935,-2.262031371776416,0.978568552954122
80,-2.192543434298932,-2.140519483995145,0.9781676071201121
81,-1.9093276578762015,-1.9443369182598045,0.9858228336385018
82,-1.6634757664059179,-1.7174675664045322,0.9902983049253391
83,-1.3375040260475544,-1.4420290661926118,0.9897236780876696
84,-1.1552494245879643,-1.1706539873639277,0.9737396989070712
85,-0.9548006205375714,-0.9254161013202431,0.9111128945114448
86,-0.6589051326342087,-0.6949255259388673,0.7388414017470168
87,-0.40435718858761904,-0.5215014112080499,0.47407415263680897
88,-0.30194052793985976,-0.44633519683027423,0.3123362872634581
89,-0.16518688809528612,-0.4567160748599684,0.2496160089073799
90,-0.10605400344657027,-0.597217446018224,0.3020223706278561
