gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-0.5260645428594216,0.5906238645737998,0.15331444515436732
2,-0.9792331732885942,0.043858523439229115,0.0008879662047867054
3,-0.9735711898494628,-0.3262975799685619,0.05325907280457576
4,-0.972843598828149,-0.6034431334490775,0.17609909375363553
5,-1.3792756936925799,-0.8566760266263435,0.30093433487706234
6,-1.6349776990731697,-1.206799867909889,0.5692431339186133
7,-1.5194851316577114,-1.246337587844543,0.6661846646752079
8,-1.220849960491978,-1.202084820577719,0.7551400332555919
9,-1.0486673844246979,-1.1424405945791534,0.8225241776514582
10,-0.9536809911702221,-1.0680812103508357,0.8778952603741975
11,-0.9491492101244148,-0.9902302873057313,0.9211515775306949
12,-0.7904722999152,-0.8766177385786286,0.9578533851536595
13,-0.6747189614137824,-0.7609967417110035,0.9751510546474307
14,-0.508821490682385,-0.6359924548043697,0.9535723217165607
15,-0.26190651565757433,-0.5038447279035121,0.8146726082514406
16,-0.08752394676303084,-0.39654568843274507,0.5859090053760734
17,-0.2612493229298707,-0.35925244516399857,0.6440857548453145
18,-0.2481140390598739,-0.30991022396487133,0.5499149028998711
19,-0.09243023833914776,-0.25381497428170724,0.39160226583769797
20,-0.03125564975525776,-0.22998563987401546,0.3147023314902445
21,-0.10337948201467953,-0.24619749086089668,0.39491186115086363
22,-0.22230183531646616,-0.28730248248693563,0.5515611399710871
23,-0.3468220887834832,-0.34279191801570197,0.7057603392447804
24,-0.5123927496413672,-0.41016796277459955,0.7953821341402727
25,-0.5359459399564003,-0.45978018503569756,0.8574014849797412
26,-0.5238117378965399,-0.5059475727336459,0.8907300399312409
27,-0.43546126233632093,-0.5453476475476817,0.8736799626576227
28,-0.49114662718930047,-0.6156405870341622,0.9037887298752614
29,-0.5396896482938246,-0.6975462830264253,0.9206320740930988
30,-0.5581859888787222,-0.7826224098408963,0.9275236250431299
31,-0.6908241038263441,-0.9032421251485228,0.9608281049741366
32,-0.8656899368572339,-1.0385418114597555,0.9831836325261541
33,-1.1311989769130377,-1.1926113090918962,0.989956870972927
34,-1.4550643133634367,-1.3519250291891802,0.9687809649635929
35,-1.6399979590783915,-1.4762321167610652,0.9457616598261536
36,-1.869110440645818,-1.5833233847396804,0.9176957329052894
37,-2.0459189834238716,-1.649489975993856,0.8930867558612443
38,-2.016108518269175,-1.6447039083142796,0.8929205221208788
39,-1.9052166639459756,-1.5867860121602724,0.901249911080635
40,-1.6936769112380716,-1.476852392889974,0.9198967443859593
41,-1.4306742627522908,-1.3302185198212764,0.9419461093974573
42,-1.1737789860284464,-1.1653824913794104,0.9608737628154553
43,-0.9404488750904421,-0.9923941375520623,0.9748709902862683
44,-0.8090783074494539,-0.8286548322165258,0.9886765449981232
45,-0.6022530948830536,-0.6508286004039482,0.9956292195634896
46,-0.41813883616887326,-0.47825259127579467,0.9746275833760913
47,-0.2762557298872707,-0.316374542820163,0.8746003727481482
48,-0.1119768950587968,-0.15812641207445902,0.45209862257293376
49,0.03698367832039366,-0.011807780259418029,0.0027590946742923617
50,0.1397350307124725,0.11586861779312373,0.16057921054080437
51,0.2677164903394441,0.23367340129993475,0.3601557465116335
52,0.39642333427982523,0.33473569389122915,0.4651588672205471
53,0.5190907141632124,0.41387617936736176,0.5075288329370492
54,0.49701684132141966,0.4476422589107612,0.5338272037642189
55,0.5698558400901674,0.47034775744489193,0.5231325172989043
56,0.6365534463106087,0.4652161358748343,0.4796232688628328
57,0.516619334137431,0.40282730154951213,0.43342937522759395
58,0.3800556635589601,0.3095759875856473,0.33457396521393634
59,0.3167716608975752,0.20149384887759877,0.180352892278147
60,0.08304607727150141,0.043927344463323026,0.013086786125448224
61,-0.06740012920799927,-0.12242947525927708,0.10691275285281643
62,-0.3122695713698704,-0.321421968595594,0.5133982171891528
63,-0.47509545753000565,-0.5247117545129636,0.7705513095954803
64,-0.5981021509702259,-0.7385534062452572,0.8752451596990466
65,-0.8186102058243705,-0.9853398413952604,0.93984845241801
66,-1.0385339392452806,-1.2510927622527424,0.967286620368209
67,-1.420088444925932,-1.5583063966405957,0.9930780723169856
68,-1.9034097567626305,-1.891886915568767,0.9989412927443723
69,-2.345878596993134,-2.217866171494111,0.99226166561025
70,-2.640611285999694,-2.509714526029774,0.9883879158349151
71,-2.966705902411013,-2.7894695666725493,0.9837921108227304
72,-3.2827940378885616,-3.045186581325625,0.9800818272337436
73,-3.5153613872978893,-3.2612452388999884,0.979269291096537
74,-3.602223614541617,-3.425733303930347,0.9819560148390135
75,-3.6814731714361186,-3.5664465901072075,0.9844414296269297
76,-3.806107863138095,-3.6895998271448573,0.9858917002003689
77,-3.968160444584646,-3.791829840831287,0.9863541210183783
78,-4.241345806516802,-3.8867577089985534,0.9845110220994013
79,-4.244365474052029,-3.9111730406395346,0.9882479010648734
80,-4.121836359039844,-3.8847580975795717,0.9939390315371512
81,-3.920950173991696,-3.827715482485078,0.9985342560421434
82,-3.748612839555426,-3.7627210125652097,0.9994392855408555
83,-3.536036979697201,-3.698975328052066,0.9960102096180706
84,-3.493462512367114,-3.6721450665664834,0.9915135222696054
85,-3.4256330075375443,-3.660654066814444,0.9846572536317099
86,-3.270413921662839,-3.662777589831518,0.9750723409401183
87,-3.163951935642217,-3.706954840688505,0.9660405887610826
88,-3.2138828081922837,-3.8165475129789415,0.9640235086396391
89,-3.2323745590794717,-3.966173666389025,0.963532051948535
90,-3.3306244010167574,-4.173589339070781,0.96706258439242
