gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,0.008760497778374494,0.299665875951425,0.4187923472181735
2,-0.29119096368309066,0.051401119221692035,0.025170733958303937
3,-0.06234409101554255,-0.050401731123135875,0.02725774572995099
4,-0.043735564195100905,-0.21993289159070648,0.24896635430969372
5,-0.33403912551096127,-0.47672096691832594,0.7178873752751227
6,-1.4491094688193178,-0.9180777451694555,0.741066629371074
7,-1.3645899746503087,-0.9650952151260235,0.8242829428627255
8,-0.958253759976807,-0.839841860606902,0.9360323338182603
9,-0.7130362185735066,-0.7293274186841628,0.9812325294921896
10,-0.5361994665748041,-0.6011135470468376,0.9818410057790035
11,-0.4886805016240032,-0.5013296101821942,0.9865245001237914
12,-0.3241527341326998,-0.36948239717752634,0.9315165019662156
13,-0.27072273973785094,-0.2676437834915141,0.856801788984675
14,-0.13964592439541385,-0.15515207634432468,0.5478701610139831
15,-0.0013267296716159243,-0.054875701700619096,0.08360953399146465
16,0.02973403523732746,-0.0007950984491788938,1.903953678128456e-05
17,-0.004171783802251282,0.020561822576987535,0.013701281063113191
18,0.043710826373171585,0.05211641236181533,0.06765268145721426
19,0.16455886225945246,0.08752027856746353,0.11486574737976751
20,0.1630924326881151,0.06509476950158885,0.05930575756429657
21,0.05417191428036209,-0.009702300091239324,0.0020905077096736724
22,-0.1843980910663439,-0.12889965860830466,0.47215656823955143
23,-0.34232352940840166,-0.24616550486959904,0.825328744657196
24,-0.5197655873221915,-0.3387310901636605,0.8175693384827221
25,-0.46782376925135133,-0.34749757953977145,0.8847722551710302
26,-0.332509325439917,-0.3034015514180707,0.766495991841314
27,-0.21042672865067807,-0.25684628840382934,0.5244922670193064
28,-0.20691830185101676,-0.24510579226440654,0.4538228659092328
29,-0.2512099159779869,-0.2625308742430076,0.46097344172104193
30,-0.19913950227938976,-0.2769260559779034,0.4336701154210103
31,-0.25745081473698,-0.3678794693116216,0.5804933744458565
32,-0.3870116053172491,-0.5243831205142421,0.7854192372461704
33,-0.7034061695156717,-0.7621457706854221,0.9694027861553745
34,-1.0697778960138749,-1.0298994311191367,0.9961076691849762
35,-1.2598517205824464,-1.2467905022186978,0.9886529793252796
36,-1.5586494540706812,-1.4502550232898026,0.966630878585814
37,-1.8182953905659036,-1.5941310605443988,0.9407822948372606
38,-1.825167276058502,-1.6051172803660656,0.940064526317076
39,-1.6120170362647903,-1.492837525162646,0.9607658437599027
40,-1.383925686393143,-1.3228447858349055,0.9786323702791725
41,-1.0634959953730296,-1.0983318880279513,0.99410413056726
42,-0.8206214897771653,-0.8797678350175534,0.9955860682079674
43,-0.5961648798936169,-0.6701844889648998,0.9780817910534103
44,-0.4651557896813756,-0.4937012180652424,0.9529102527463719
45,-0.23772585126685694,-0.30859785329344314,0.8010590090611405
46,-0.12372990969665157,-0.16391199253352703,0.553424972722752
47,-0.07320665398297674,-0.047369298768488596,0.11437383746582386
48,0.047384696566171315,0.07821215875824604,0.2366923424373183
49,0.26775892263711804,0.21804535511519935,0.5850599451768013
50,0.3271614169205869,0.30383556494585184,0.7470224788715332
51,0.37256052822132396,0.37462032290041064,0.8181494288867273
52,0.42232177280675387,0.43561743668174263,0.8490020207565108
53,0.5367035079152629,0.5042063194959785,0.8506309629316199
54,0.5887741752317847,0.545201558563423,0.8519319043780429
55,0.5740048329344063,0.5563613910446188,0.8582887874839364
56,0.5909533034947734,0.5557849687076954,0.8485443325535007
57,0.5772358063328024,0.5260811745733537,0.8303912208874344
58,0.48076133565726714,0.45516403766100566,0.8178163552760992
59,0.39050911154728446,0.3672157948936176,0.7807084265638841
60,0.27407335275087724,0.2553063329314811,0.6891472382443886
61,0.1824246107979499,0.1309339343994392,0.37468384989531855
62,-0.137758614658456,-0.0580324747079353,0.21253666957454487
63,-0.31727203286105315,-0.2122104074062274,0.7583447666879632
64,-0.35017538754657707,-0.32355456640786034,0.9007810925304708
65,-0.33123328594073037,-0.42874359156873576,0.8413781241097388
66,-0.49743691146133123,-0.5991121336602572,0.909667778845919
67,-0.7874618805649983,-0.8205670172235828,0.9764405358990349
68,-1.0349269221685193,-1.0357397711356837,0.9931457061407273
69,-1.3209345257390461,-1.2660417247802729,0.9972001230881123
70,-1.5687125303503697,-1.4842351654355863,0.9972206631892727
71,-1.8276668915996197,-1.7052557754513182,0.9942133295015897
72,-1.9519104023702312,-1.8491981929284083,0.9969658422488291
73,-1.9708530870899008,-1.9655250571748824,0.9972988841670976
74,-2.1285338081895264,-2.0951550385229534,0.9976670114146753
75,-2.2496165272870194,-2.19716465383695,0.9970778995403659
76,-2.3791153617360448,-2.290686123884868,0.9944044778137644
77,-2.5261353869591403,-2.342582057300366,0.9898095661956645
78,-2.6610163902135224,-2.3806308556683073,0.9815800376223278
79,-2.4511167584897913,-2.2595915743799346,0.9904367916001503
80,-2.1340193091617556,-2.0802593393400617,0.996010893203496
81,-2.0527591853186613,-1.934517736943619,0.9938283125277587
82,-1.677687472265591,-1.6890287394204697,0.9887808855154676
83,-1.5189601554056935,-1.4801829929980692,0.9789478867581738
84,-1.2781381862432681,-1.2887091523996148,0.959664622973389
85,-1.0616317845641399,-1.1017035033390914,0.9230383173548828
86,-1.025640710726293,-1.0076247244097551,0.9058316785636926
87,-0.9796086348298039,-0.9723736008856306,0.8742226562555938
88,-1.1060953814082626,-1.0400067821958074,0.8679836435032133
89,-1.3070181118650257,-1.1976475285795587,0.8617880333621586
90,-1.5386380930257084,-1.4517168241960148,0.8515599243280433
