gis_domain,change_rate_m_yr
1,2.8405118488820333
2,2.2252021569847784
3,1.6950062957276715
4,1.1696291384672803
5,0.5064788189124556
6,-0.8211909227253272
7,-0.7965465982385467
8,-0.7969373699464996
9,-0.9715967828230532
10,-1.0838205654964441
11,-1.179912872346722
12,-1.2878807611788943
13,-1.38318199545065
14,-1.5653639444018155
15,-1.832298955369879
16,-1.7497461119458422
17,-2.1193583856439546
18,-2.1641493508466736
19,-1.9352450227766895
20,-1.619582533393259
21,-1.1081005448862924
22,0.011137576710643771
23,-0.5429432530471786
24,0.34595394974203375
25,0.4081817561152093
26,-0.5144743134925193
27,0.3181150570732825
28,-1.0110604738898474
29,-1.6358186570991164
30,-1.9272755304012208
31,-2.1825421884002933
32,-2.5372350261214707
33,-2.8651977089446516
34,-3.279476576856905
35,-3.528702591941965
36,-3.718416546012486
37,-3.8365447905909607
38,-3.7317217179587714
39,-3.640403996461555
40,-3.500340283818332
41,-3.3462942415088945
42,-3.2195533757482737
43,-3.104019851976227
44,-3.0985850840875173
45,-3.052530405053312
46,-3.0899301946528794
47,-3.2025920451686942
48,-3.2855193000041254
49,-3.2474103105969334
50,-3.110326459888438
51,-2.912810129164336
52,-2.721957907306296
53,-2.539086550607044
54,-2.435387100493608
55,-2.382169826450627
56,-2.506468696204229
57,-2.3898909614657895
58,-2.290860783970493
59,-2.236784580483982
60,-2.187258913752521
61,-2.083701396239303
62,-2.1297479144667704
63,-2.094222881981568
64,-2.0543112581995047
65,-2.007833111934906
66,-2.0890531363507763
67,-2.2582301153080153
68,-2.381623176883204
69,-2.5499596457823825
70,-2.645160332040723
71,-2.7391876355819478
72,-2.784410007353654
73,-2.725982595385085
74,-2.821284461381674
75,-2.915167301978363
76,-3.028777829288174
77,-3.01560218180357
78,-3.0236633556488415
79,-2.88746889706199
80,-2.6744687962203897
81,-2.3351518124657558
82,-2.058914356263995
83,-1.7502588940334136
84,-1.4885649179599567
85,-1.0623585232982804
86,-0.6304262767601359
87,-0.23205108602833208
88,0.10894870117972459
89,0.5247129057373968
90,0.9653280561354223
