gis_domain,change_rate_m_yr
1,2.6110927028626065
2,1.915021678827634
3,1.2682971899983386
4,0.5495482485305729
5,-0.46750295619976895
6,-1.8583802554014255
7,-2.310764844996629
8,-2.6128867300692944
9,-2.996081760776633
10,-3.36396139448143
11,-3.642120408409755
12,-3.838176859534542
13,-3.8857035898752654
14,-3.9091964461266797
15,-3.755452723745748
16,-3.5239541902122253
17,-3.3864023503680074
18,-3.181926908017158
19,-2.883163131228412
20,-2.6760047099543955
21,-2.662819963111178
22,-2.6924770091726713
23,-2.6509097197525078
24,-2.727586096725827
25,-2.642807133671886
26,-2.5355894763572904
27,-2.4545477408521945
28,-2.5524329030973605
29,-2.7997185086535863
30,-2.941711262632816
31,-3.0249527343445153
32,-3.151228017880203
33,-3.337193113797093
34,-3.619428331899326
35,-3.775297104805395
36,-3.897156336115222
37,-3.968233221576156
38,-3.819988087022921
39,-3.706626073508505
40,-3.547814456430751
41,-3.381429213652427
42,-3.245995938678334
43,-3.123669267151945
44,-3.1126878131638476
45,-3.062039290611028
46,-3.0956703823456335
47,-3.2053548548500657
48,-3.286083285839868
49,-3.246156306748799
50,-3.106686953541066
51,-2.907298466658358
52,-2.7172131893068583
53,-2.5358788055589683
54,-2.4345398047198614
55,-2.384161656210017
56,-2.511889858338236
57,-2.3997635827578963
58,-2.3068652286844555
59,-2.2614958439719883
60,-2.224484923361706
61,-2.1390160222473242
62,-2.211056599249423
63,-2.2102546169589914
64,-2.1990527919945633
65,-2.2189584103524793
66,-2.395716601290405
67,-2.692048378272466
68,-3.025007052387264
69,-3.3581395307305684
70,-3.6206222602423623
71,-3.896718433149181
72,-4.0733081298294564
73,-4.1275669659708
74,-4.22750156015054
75,-4.353495640320398
76,-4.455754456019986
77,-4.4336019434469565
78,-4.450996112345274
79,-4.321926157380949
80,-4.128405885768279
81,-3.8077696062572612
82,-3.540721319756085
83,-3.231232319868468
84,-2.8838662075542745
85,-2.4383212651121537
86,-1.980738014139206
87,-1.500455177492313
88,-1.0285380956163863
89,-0.4400312279909485
90,0.12351827691218205
