gis_domain,change_rate_m_yr
1,2.630209914826537
2,1.9962292308116047
3,1.4542091461054043
4,0.9108229255935839
5,0.23324885767988235
6,0.06262840116269217
7,0.21730140303197915
8,0.3733490124970558
9,0.38981592761028877
10,0.4251880726822492
11,0.4474080594885891
12,0.3961499363312214
13,0.3286439988697566
14,0.16343247759959922
15,-0.050826704973314915
16,0.06286777760597033
17,-0.327899289796278
18,-0.4968497343631498
19,-0.44544678404981825
20,-0.3873245639325432
21,-0.1570844303996637
22,0.6103788427373729
23,0.07124389910713944
24,0.8774075674346022
25,0.8988909225197859
26,-0.03834178885599613
27,0.6783957685772293
28,-0.4533280745840784
29,-0.9946698312621265
30,-1.1654140769951482
31,-1.2158200810456947
32,-1.3205931368519486
33,-1.4437880295110517
34,-1.6830343175489362
35,-1.8190368110349482
36,-1.9379995735540434
37,-1.9971198456612
38,-1.826012792230904
39,-1.6807312948438267
40,-1.4991124327118086
41,-1.3100579454982835
42,-1.130076664752778
43,-0.9848070399616518
44,-0.881281429197952
45,-0.711452505620582
46,-0.6182011675151443
47,-0.5780965480731538
48,-0.4925285441871893
49,-0.32462908032593984
50,-0.14432419605009272
51,0.021227345594797952
52,0.13915979327175593
53,0.2302420616632844
54,0.21390585274948534
55,0.13715363391456775
56,-0.09183187230491967
57,-0.10068050781392231
58,-0.15254851122972468
59,-0.24008833840716762
60,-0.33629555668185274
61,-0.3892791097708141
62,-0.5766939008966802
63,-0.6569295089028856
64,-0.7396227943613667
65,-0.811044468910677
66,-1.017001055075707
67,-1.3392282417252317
68,-1.666566272955515
69,-1.9894508807921738
70,-2.213432812613064
71,-2.372634929803735
72,-2.4759091873506804
73,-2.4476007701328855
74,-2.52227379224023
75,-2.6509126718437983
76,-2.735993304605472
77,-2.7153878643637652
78,-2.696648209428531
79,-2.453371452191186
80,-2.207098720981776
81,-1.7522038292998332
82,-1.3438697841423164
83,-0.8808028932885463
84,-0.41157504624188734
85,0.13499713112187237
86,0.624134016393873
87,1.0246868616293796
88,1.3289940177628523
89,1.6725467435190695
90,2.0019541177163775
