gis_domain,change_rate_m_yr
1,-1.3927642285141701
2,-1.3685757802907574
3,-1.328477301449675
4,-1.356894523417577
5,-1.5818652506151012
6,-2.525124949513702
7,-2.1801412819459074
8,-1.8976970220225666
9,-1.8294644019160842
10,-1.7354772405395125
11,-1.6673160123495108
12,-1.6761287163038106
13,-1.7322238345201186
14,-1.8448728318864596
15,-2.0288888510885044
16,-1.8781482766254158
17,-2.2215506677062877
18,-2.243097164745541
19,-2.000068446124078
20,-1.67639411631244
21,-1.1738016973857157
22,-0.054786225567386285
23,-0.5938851397145299
24,0.32012489219259804
25,0.39384718377523315
26,-0.5231653479040688
27,0.3126993915350795
28,-1.0145558039723255
29,-1.638115318821201
30,-1.9287942622710943
31,-2.183543998359164
32,-2.5378881432465277
33,-2.865612125642656
34,-3.279724076582352
35,-3.5288282315904325
36,-3.7184454945660037
37,-3.836486127541775
38,-3.731569796927033
39,-3.6401376706968223
40,-3.4999204206464127
41,-3.3456606146716696
42,-3.2186240688784893
43,-3.1027068762751697
44,-3.0968280772768595
45,-3.05039052790944
46,-3.0877481434420586
47,-3.201149892245394
48,-3.285854525363902
49,-3.2495123748203696
50,-3.1098715071565493
51,-2.9105396653029856
52,-2.717385638011092
53,-2.5340862293411193
54,-2.4309465577302034
55,-2.378716720637476
56,-2.504049244447015
57,-2.38837616982255
58,-2.2900955635008358
59,-2.236658107879157
60,-2.1877270529286763
61,-2.084787627137666
62,-2.131537196309273
63,-2.096852922946982
64,-2.0579605909981185
65,-2.0127033120145823
66,-2.0953404828228486
67,-2.266088437119015
68,-2.3911449444476602
69,-2.5613091668617924
70,-2.659332440598155
71,-2.760232513141909
72,-2.8110602454098625
73,-2.79247313441856
74,-2.8923133155804863
75,-3.0581125029822944
76,-3.2263126834662215
77,-3.289649283808194
78,-3.454367083899524
79,-3.3456042904274907
80,-3.2562813799372634
81,-3.0742894048476046
82,-3.007726604641084
83,-2.9143973397911394
84,-2.9136083670111477
85,-2.7984852500573654
86,-2.7210138995949817
87,-2.7968099308799537
88,-2.956831614017119
89,-3.1322560966070343
90,-3.3342849701190973
