run_name,time_step,year,pad,gis,volume_m3_per_m
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,10,2014,99,85,619.28955
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,10,2014,100,86,619.28955
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,10,2014,101,87,619.28955
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,10,2014,102,88,619.28955
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,20,6,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,21,7,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,22,8,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,23,9,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,24,10,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,25,11,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,26,12,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,27,13,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,28,14,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,29,15,183.4932
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,37,23,841.0105
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,38,24,841.0105
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,39,25,841.0105
HAT_2004_2024_zeroBE_road_bdm_nourish_nogroin,18,2022,40,26,841.0105
