gis_domain,change_rate_m_yr
1,-1.3170970231678438
2,-1.2779688818329304
3,-1.2348945684785577
4,-1.306461368957389
5,-1.7115995923839364
6,-2.4791059929568293
7,-2.3120307407081784
8,-1.9668060814294221
9,-1.6441972674078897
10,-1.4101602945533158
11,-1.2060077695038671
12,-1.0926273684615808
13,-0.9854421670021111
14,-0.953489764090591
15,-0.855338905590088
16,-0.7966367696814813
17,-0.9308677968026131
18,-1.0299614128678514
19,-1.0324090616944885
20,-1.1612095521802075
21,-1.4545530772866186
22,-1.7299643712907709
23,-1.8754028661987832
24,-2.099969087496538
25,-2.100063873837462
26,-2.0287388587675195
27,-1.9490188074652905
28,-2.0342145683903254
29,-2.1604800907686696
30,-2.144446693406189
31,-2.0341675681215747
32,-1.8983268439693348
33,-1.897921668469189
34,-2.0317957924581607
35,-2.0850921478853706
36,-2.139777230697655
37,-2.148904918928383
38,-1.9394124166760776
39,-1.7637622007589926
40,-1.5604608665078559
41,-1.3538262868932178
42,-1.1620911275894286
43,-1.0082392988833817
44,-0.8982865625144768
45,-0.7236123912463881
46,-0.6267859287339889
47,-0.584089015524387
48,-0.4966865894851253
49,-0.3275426493005398
50,-0.14646452427796247
51,0.019451563273651117
52,0.13735442156821592
53,0.22797007051258333
54,0.2106216295138438
55,0.132132519613333
56,-0.0995808191811193
57,-0.11252032907232205
58,-0.1703541495261561
59,-0.26643329344315136
60,-0.37471047834587806
61,-0.4446300715547295
62,-0.6557778580596277
63,-0.7697478583875637
64,-0.9018912770363385
65,-1.0444169258829787
66,-1.3491707581328227
67,-1.7993111601562304
68,-2.346154428911723
69,-2.835168688034264
70,-3.2261604906664614
71,-3.58543198171983
72,-3.8312117114085593
73,-3.9545165061173977
74,-4.096851655389855
75,-4.247721836249911
76,-4.368987735597147
77,-4.35811639376152
78,-4.38944610963772
79,-4.272723215824044
80,-4.08556272656233
81,-3.760527981987252
82,-3.50740975970366
83,-3.216175501929956
84,-2.8857492113624175
85,-2.6127213105763984
86,-2.488633429634774
87,-2.4154647414902684
88,-2.5396501155400983
89,-2.731893287544517
90,-3.009733660625443
