gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.556369695259582,3.3325185054392286,0.8629469082854844
2,3.6732643361701776,2.9563267510958844,0.9003650309768971
3,2.909755089506052,2.460719575786427,0.9263283866445995
4,2.1880388181500168,1.9108565753246078,0.9495639621262224
5,1.3539261070940483,1.3523239858406442,0.9103843590410203
6,0.8331874616244932,1.0265773278100725,0.7265121095327213
7,0.8503338766845445,0.7847279460631493,0.5840545469263736
8,0.8726106063359111,0.5871524150533284,0.43461726528907985
9,0.7929735422855628,0.40304251284506065,0.2508626478943762
10,0.7909792740064404,0.30471668674037516,0.16789182317448692
11,0.8179517708008461,0.2571494197593484,0.13012740092930153
12,0.7337539070757885,0.17025596156110248,0.06024926647077666
13,0.643182268554483,0.10551455945820601,0.022356379599782206
14,0.48347115836240845,0.017728867251431853,0.000617621234240695
15,0.30571340659944324,-0.06546591121903277,0.007798879477443621
16,0.44335493731869063,-0.25138186108141164,0.10960771482138609
17,0.12394453163879007,-0.31676167809112327,0.20546866416147602
18,0.06519609983051851,-0.27833058793467885,0.23008523915846746
19,0.21625434543466326,-0.22621018264059264,0.1891370743740024
20,0.4056105973907506,-0.2110310130101081,0.15992592564214858
21,0.119692621672948,-0.11226550324519319,0.039330910472775815
22,0.12134454176939471,-0.13014148894438093,0.05000821635882324
23,0.18262647111350816,-0.1293841860408471,0.04800827437548971
24,0.1187355909552025,-0.10435230845147157,0.03147784498118
25,0.2568254830677688,-0.015188607337447901,0.0007533294356667497
26,0.4596284876222853,0.11315336844919097,0.045275853534185284
27,0.6118309454822338,0.24227672065017045,0.17294053683885224
28,0.5514501640554954,0.30854743754479497,0.20246597259671195
29,0.8215748795441868,0.25961488628005713,0.13410026903573835
30,0.7047993602709539,0.2455456350747206,0.09161863789830604
31,0.7060840296609058,0.21441929586483022,0.05915754998954004
32,0.5038390881509258,0.04279759924246701,0.002459937907951848
33,0.2594739272118204,-0.14069521481646163,0.0298625551528805
34,-0.14205088199787497,-0.3952875922702402,0.23967829198144575
35,-0.45996360809349424,-0.6287213166622864,0.5089543350810561
36,-0.7865049832700606,-0.861342966930219,0.7076440290914547
37,-1.0685830428971712,-1.0773246497962683,0.8103310152271507
38,-1.1379483620057727,-1.2426902819528516,0.8398343498285494
39,-1.243022245298016,-1.3934823459491381,0.8553035793118302
40,-1.3394381902999157,-1.530030093076131,0.8595915656239231
41,-1.4454799757884758,-1.6577651012542831,0.8731762792714033
42,-1.6015178439119153,-1.8179391024333182,0.8919786833634077
43,-1.816827073440163,-2.02140772156838,0.9123352411402406
44,-2.1012794243153623,-2.271678157773052,0.9338048278762251
45,-2.325317549387182,-2.537182540824311,0.9454449744158893
46,-2.589366771498317,-2.8061085172247515,0.9562209791591453
47,-2.9157992664191625,-3.0871547135617554,0.9662769726185847
48,-3.1848308141903545,-3.345392974121623,0.971993975025942
49,-3.3451480815999277,-3.538900190757969,0.9736930492041903
50,-3.460621066841577,-3.669521297198322,0.974850529530553
51,-3.4136127873161968,-3.610202253775832,0.9760691150348776
52,-3.334724610527246,-3.4988084375589734,0.9733863497369394
53,-3.183803447152968,-3.404015450628409,0.9697840508862342
54,-3.0400831282926446,-3.2836871133093357,0.9673086950271561
55,-2.8761854879902784,-3.1276711061756246,0.9655596540664779
56,-2.8325603236707138,-2.9750659738191727,0.9652313833657471
57,-2.5474414457734382,-2.7310820138123018,0.957638502734022
58,-2.2906365342384563,-2.460393407942272,0.9440066205291842
59,-2.0320635377232974,-2.167823888305816,0.9244562176233189
60,-1.763428277490675,-1.8576368223383437,0.8920280596493465
61,-1.4070492384995306,-1.5119606233762108,0.8348756986683452
62,-1.167842641113748,-1.2141212055788053,0.7646283442501889
63,-0.7827988645352889,-0.894043293568262,0.6192919028718682
64,-0.42701020999584216,-0.5881993683239339,0.38294552053497266
65,-0.060960389852516526,-0.32008618032417824,0.13364968246680398
66,0.16099439843892469,-0.12292501936482497,0.02099147123872025
67,0.25149789836277703,0.0036460003427355244,1.935483526827042e-05
68,0.3494354936620766,0.1114618206923588,0.0181855136782777
69,0.32557181306092386,0.11127410474417872,0.018593469466488988
70,0.30690639800423014,0.06155486034304757,0.006010875421742279
71,0.1870027394144927,-0.05271703977700756,0.004996197487368681
72,0.04365520362989628,-0.20287908261861842,0.08361063317354356
73,-0.12416830100301013,-0.4072687583010881,0.319257464550194
74,-0.419817153538952,-0.6645853971836837,0.6772213512121119
75,-0.8251547104725432,-0.9847888346671876,0.9098806042113123
76,-1.24207364187032,-1.304631179061807,0.9636843006970471
77,-1.5614863708563462,-1.5972817665787626,0.9498606538608252
78,-1.9343617020795136,-1.8488047298047248,0.9227827158327266
79,-2.1288303539333358,-1.9941458237731096,0.8924652904726035
80,-2.2620740872618628,-2.0602941863002573,0.8648571036359851
81,-2.2244061197491645,-1.9977913329253063,0.8273235336343201
82,-2.2354529478348013,-1.8593149864864809,0.7732163797811656
83,-2.195472280970898,-1.6313595022409115,0.6641236257715781
84,-2.108298638931683,-1.2928453337008963,0.4308284557208387
85,-1.7273102047133762,-0.9182081306360136,0.25624881911916786
86,-1.2194318334435592,-0.5017315081667835,0.08879205103418497
87,-0.5547273510035666,-0.05347028555655647,0.0010755269416526936
88,0.24381152066971482,0.3677318266718065,0.044236303073662775
89,1.2551021628987655,0.7419199723293202,0.1294456570228708
90,2.408621098294225,0.8857857566217782,0.1399205060869697
