gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,9526.285092376722,3,0
10,24,False,False,21,managed throughout,5684.868949011052,4,0
11,25,False,False,21,managed throughout,2551.7249070963862,4,0
12,26,False,False,21,managed throughout,4698.19015564367,4,0
13,27,False,False,21,managed throughout,3821.915581011048,4,0
14,28,False,False,21,managed throughout,5289.079806061897,3,0
15,29,False,False,21,managed throughout,5662.830638902575,4,0
16,30,False,False,21,managed throughout,9438.855730029203,7,0
17,31,False,False,21,managed throughout,9806.37912977767,6,0
18,32,False,False,21,managed throughout,4105.041292395353,6,0
19,33,False,False,21,managed throughout,1364.2215629666646,6,0
20,34,False,False,21,managed throughout,2804.5881141964906,6,0
32,46,False,False,21,managed throughout,8808.70352060451,5,0
33,47,False,False,21,managed throughout,7666.162220082588,6,0
34,48,False,False,21,managed throughout,4770.407299465212,6,0
35,49,False,False,21,managed throughout,6488.34792987068,6,0
36,50,False,False,21,managed throughout,7271.906929419269,5,0
37,51,False,False,21,managed throughout,12014.509166335265,5,0
38,52,False,False,21,managed throughout,12832.611333959088,4,0
39,53,False,False,21,managed throughout,6227.612351457581,4,0
40,54,False,False,21,managed throughout,8121.9514297103615,5,0
41,55,False,False,21,managed throughout,12996.092155958193,5,0
42,56,False,False,21,managed throughout,12910.602549859512,4,0
43,57,False,False,21,managed throughout,10255.950079913164,4,0
44,58,False,False,21,managed throughout,11937.702721671418,4,0
45,59,False,False,21,managed throughout,11643.309655125047,4,0
46,60,False,False,21,managed throughout,19078.657111169803,4,0
47,61,False,False,21,managed throughout,19819.7520895032,4,0
48,62,False,False,21,managed throughout,19909.313607578915,4,0
49,63,False,False,21,managed throughout,3535.237437493742,2,0
50,64,False,False,21,managed throughout,16880.148584969516,4,0
51,65,False,False,21,managed throughout,19416.20496192765,4,0
52,66,False,False,21,managed throughout,15580.592425945706,3,0
53,67,False,False,21,managed throughout,17694.9560402954,4,0
54,68,False,False,21,managed throughout,11453.41419484981,4,0
55,69,False,False,21,managed throughout,12825.34340595748,4,0
56,70,False,False,21,managed throughout,10510.418543743204,4,0
57,71,False,False,21,managed throughout,12691.371360860567,4,0
58,72,False,False,21,managed throughout,8907.506810998453,4,0
59,73,False,False,21,managed throughout,9190.114347272895,4,0
60,74,False,False,21,managed throughout,7800.04576045232,4,0
61,75,False,False,21,managed throughout,3959.267489194534,4,0
62,76,False,False,21,managed throughout,9159.225235486127,4,0
63,77,False,False,21,managed throughout,9901.125652595161,4,0
64,78,False,False,21,managed throughout,8231.220969348979,4,0
65,79,False,False,21,managed throughout,4802.076739424624,5,0
66,80,False,False,21,managed throughout,5059.269990960843,5,0
67,81,False,False,21,managed throughout,4050.1012448831107,5,0
89,103,False,False,21,managed throughout,3555.5450134847215,4,0
90,104,False,False,21,managed throughout,3152.9361097523315,6,0
