gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.643876457743682,3.398924416424699,0.8549776637588709
2,3.761524808049944,2.989884556854912,0.8807244864864638
3,3.001578544542099,2.437777159280749,0.8935889344854142
4,2.2655999192048513,1.781317677900548,0.8995070352923892
5,1.4352786333543919,1.0649465056977259,0.8692948187268971
6,-0.04190304520361678,0.3983327314851688,0.2174046877599075
7,-0.13211558237853752,-0.0580819093466595,0.005621944766505349
8,-0.23697406493029122,-0.4503607512365335,0.2513085418624139
9,-0.47337173028108737,-0.8180267880040283,0.5051979931625014
10,-0.6547149403572803,-1.0914173012783033,0.6592017381935542
11,-0.7833269745224243,-1.296661522658037,0.7490208390803417
12,-1.0130938664541644,-1.52375690032144,0.8091829197059287
13,-1.2249609548299305,-1.706066517949929,0.8399256084611041
14,-1.455702091067178,-1.8820594449713335,0.8711494983959779
15,-1.7709928856080297,-2.0530630956000735,0.9020177012958798
16,-1.7242712340715116,-2.297310037639665,0.9377495058306741
17,-2.0650869960493763,-2.3805555839842385,0.9569522283186933
18,-2.084208733843025,-2.3268363230861207,0.9637887272429438
19,-1.7955648355607992,-2.1700293265444754,0.9579605602031064
20,-1.3258824211250613,-1.9300651793783077,0.9411306458368601
21,-1.3567149153965148,-1.658331430262416,0.8965065954561258
22,-1.14408141319891,-1.5473526770812027,0.8828664625854636
23,-1.0306644006529495,-1.492717319295523,0.8755840050039965
24,-1.114992082460958,-1.4754401843014209,0.8781437483218139
25,-1.058326895261962,-1.4527995265192224,0.8767887610883516
26,-0.9871555577499749,-1.4428646539639944,0.8752623516993548
27,-1.0373547098011842,-1.4841009714444011,0.8780512255982319
28,-1.3949870139387712,-1.629891837832912,0.894394015079437
29,-1.4628055666446016,-1.935645678438216,0.9442890329174843
30,-1.8599503198960519,-2.1794806546294616,0.9576406956779516
31,-2.145360651845567,-2.4422148413667673,0.9638153014069809
32,-2.5184215766309537,-2.796045410778451,0.9695703336924393
33,-2.867698030034808,-3.0861370132650294,0.9773797563192257
34,-3.2749200805691543,-3.36096115621436,0.9841793750239303
35,-3.5252377047777372,-3.546193164136692,0.9859818743971112
36,-3.7221303244714363,-3.6704486874853566,0.9873585805034057
37,-3.8435999034109045,-3.7537049360456596,0.9896179212561835
38,-3.7393733526163486,-3.7698188902690672,0.9910017467446747
39,-3.647854788783661,-3.7471295968397094,0.9890817040024596
40,-3.5054928251389357,-3.6498308785275224,0.9840487854337905
41,-3.3420023939253953,-3.516009281656812,0.978824072256384
42,-3.1967883601319045,-3.4019253667450458,0.9735254338140622
43,-3.0956956654250463,-3.3111238720649143,0.9699803166757057
44,-3.0922834168995905,-3.2693183140225393,0.9685145603289833
45,-3.024834295086839,-3.2521022391382193,0.9640280195726756
46,-3.027541610228218,-3.2557802947095174,0.9632798490929415
47,-3.084070102518035,-3.277504413979463,0.964724327214657
48,-3.1065902798520257,-3.2952306151320543,0.9638258090382373
49,-3.016362869349996,-3.2696567974295347,0.9585922891519537
50,-2.8631645103649133,-3.1546251159440155,0.9539149809318157
51,-2.683978093587302,-2.9842959534130467,0.9481991851851315
52,-2.531087031872448,-2.825854558712561,0.941128440356702
53,-2.389950799754024,-2.7295860868973945,0.9316890912517597
54,-2.3297398853726916,-2.6643839400340923,0.927750252868035
55,-2.3127919268751613,-2.6183378799627,0.9292959785726506
56,-2.459649003933555,-2.6198477713081614,0.937698485407554
57,-2.3642439118111724,-2.550709787407774,0.9348491489279508
58,-2.3097484898649783,-2.4759804426473475,0.928121301208896
59,-2.273344068356619,-2.404056904558181,0.9213989223973724
60,-2.2372110840084134,-2.329510920547511,0.9141597394628003
61,-2.1484393819328944,-2.2427236112633446,0.9082624225044631
62,-2.19860305113898,-2.2268410734879347,0.9177626564844479
63,-2.154345713919247,-2.2173750565076573,0.9238855487144797
64,-2.120970616339309,-2.223897990368206,0.9301770407107246
65,-2.0607375282241263,-2.2604749495522274,0.9334185305715369
66,-2.1281692569551525,-2.333282986823883,0.9476922337491485
67,-2.285180125086754,-2.439398610734601,0.9649330974122117
68,-2.3944478804621214,-2.490608919302995,0.9814102349253084
69,-2.5516812566536826,-2.5840836800705484,0.990761589989932
70,-2.616474416473011,-2.660138166348418,0.9949388076801355
71,-2.705138019983951,-2.722321653887192,0.9965472594267838
72,-2.7251391989587317,-2.7635388144300808,0.9959991473253608
73,-2.653434033724352,-2.7776121203748456,0.9945622696400669
74,-2.7092016870740734,-2.811180161655058,0.9915636184292538
75,-2.810345180974309,-2.8528090757952933,0.9861679475699254
76,-2.8983742358003837,-2.868313587235056,0.9771378985465764
77,-2.865380843416824,-2.8264648459347472,0.9658541407165839
78,-2.8704530992896253,-2.7317797389070857,0.9501953509135868
79,-2.6915837758413543,-2.5264695797156027,0.9313987818267948
80,-2.4434666393970472,-2.2392344186728965,0.9087465466702278
81,-2.044520060985724,-1.8439399935742125,0.8679034117123775
82,-1.6956488517551407,-1.3882512744281696,0.7713770423037675
83,-1.2882875147673984,-0.8856681075246842,0.48530986134707776
84,-0.9333278104427336,-0.3478084030935255,0.060386875716946786
85,-0.3958460119321899,0.1312482451217052,0.007072207225792382
86,0.12411956437044865,0.5627042279385133,0.09834261848068904
87,0.6523980580778698,0.920327637710776,0.2047958565273259
88,1.1617324939926221,1.157474101710746,0.2676410182400196
89,1.7605527309996432,1.2818934795766392,0.28141095259667703
90,2.4464943611350463,1.2000360534940075,0.2522666485609625
