model_year,groin_active,trapping_rate_applied_m_yr,applied_dx_updrift_m,applied_dx_downdrift_m,cumulative_updrift_m,cumulative_downdrift_m
2004,True,45.0,-45.0,45.0,-45.0,45.0
2005,True,45.0,-45.0,45.0,-90.0,90.0
2006,True,45.0,-45.0,45.0,-135.0,135.0
2007,True,45.0,-45.0,45.0,-180.0,180.0
2008,True,45.0,-45.0,45.0,-225.0,225.0
2009,True,45.0,-45.0,45.0,-270.0,270.0
2010,True,45.0,-45.0,45.0,-315.0,315.0
2011,True,45.0,-45.0,45.0,-360.0,360.0
2012,True,45.0,-45.0,45.0,-405.0,405.0
2013,True,45.0,-45.0,45.0,-450.0,450.0
2014,True,45.0,-45.0,45.0,-495.0,495.0
2015,True,45.0,-45.0,45.0,-540.0,540.0
2016,True,45.0,-45.0,45.0,-585.0,585.0
2017,True,45.0,-45.0,45.0,-630.0,630.0
2018,True,45.0,-45.0,45.0,-675.0,675.0
2019,True,45.0,-45.0,45.0,-720.0,720.0
2020,True,45.0,-45.0,45.0,-765.0,765.0
2021,True,45.0,-45.0,45.0,-810.0,810.0
2022,True,45.0,-45.0,45.0,-855.0,855.0
2023,True,45.0,-45.0,45.0,-900.0,900.0
