gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.523454185363607,3.295876379533346,0.8597737798421142
2,3.6307627170836896,2.9114473683592443,0.8972255110953
3,2.8612197897172336,2.4065949523101207,0.9231900744715933
4,2.1317779305697515,1.8469461322909073,0.9465351932642266
5,1.2916780228497373,1.2799583859082742,0.8994306539651918
6,0.7706383896991611,0.9554025467436176,0.6923588960137508
7,0.7941751844713508,0.7219194587235335,0.5264201663145728
8,0.8284194018237031,0.5443667043282685,0.3730537712955274
9,0.7703551445900303,0.4007127156428887,0.236194825975922
10,0.7191004933660224,0.298906536409923,0.15216662184723073
11,0.6885473351380824,0.2139555513276881,0.08930828295008864
12,0.5816826367831709,0.1375102176242376,0.04033664645136059
13,0.47443722378911846,0.06713686027227714,0.010628050899921027
14,0.2886326620795444,-0.02515528356180092,0.0017519352396564436
15,0.04157243564804958,-0.13340748550787013,0.059402475826572654
16,0.14366217069682535,-0.32206652843217537,0.4737511580338136
17,-0.25546300492778756,-0.46537060161331034,0.8234138187481196
18,-0.41846366530353407,-0.5685887527225876,0.8844848153495325
19,-0.3323288047617098,-0.6314718656095858,0.8560366127863376
20,-0.17172204684584358,-0.687049854185408,0.7797040529990071
21,-0.43872608684532677,-0.6531829895654934,0.6048387459146164
22,-0.4145426136989954,-0.7312666842498782,0.6242898038145988
23,-0.4300021528274556,-0.8148147437509591,0.6567412711578555
24,-0.5887401989168211,-0.8905761398087959,0.6874820137988389
25,-0.566724553963104,-0.9198063140490016,0.7053454327439524
26,-0.5056167079324041,-0.9269163655721924,0.7239855079942241
27,-0.523009783235193,-0.9445266801711787,0.746978195130777
28,-0.8240248464488105,-1.0313122280115912,0.7990461183878952
29,-0.806020248304776,-1.2399783303470762,0.9253656614955578
30,-1.0766137991275173,-1.334145383806968,0.9594705229946752
31,-1.1627894157131777,-1.39559204612778,0.9666504221528328
32,-1.2870298225981969,-1.48667375450939,0.9787950667494111
33,-1.4213547542569358,-1.5716500433996108,0.9881097675311139
34,-1.6678561015040032,-1.6875807292356257,0.9870836989653672
35,-1.8085485766573584,-1.7777335699572665,0.9767066642529265
36,-1.9308444517346288,-1.8422954452205231,0.9659863516989127
37,-1.9925280531067073,-1.8597155886620105,0.9603229003895988
38,-1.8234673329606266,-1.799221193328923,0.9687346332923619
39,-1.679824386607106,-1.7024708877281596,0.9747792970225118
40,-1.4995797934844632,-1.5717132552339963,0.9802280208919316
41,-1.3114988542658466,-1.4231848541071934,0.9819760174383322
42,-1.1325117539858183,-1.2749124255898996,0.9797467896550291
43,-0.9878229208497032,-1.1327916660997073,0.9747601444174784
44,-0.8850103789462083,-0.9997235136032926,0.9703778714700532
45,-0.7156990040033634,-0.8614621884905759,0.9564939679156931
46,-0.623107625132343,-0.747908973615833,0.9445180908679355
47,-0.5835184911631586,-0.6459958252129823,0.933605854649601
48,-0.49788295953467243,-0.53448503345997,0.8989926749658446
49,-0.33008029014972634,-0.4066238934490603,0.8208721645977199
50,-0.151660046262532,-0.2777555566954952,0.613198431227389
51,0.01355806326619131,-0.1605980791569285,0.2755233417036199
52,0.13056043290280286,-0.07076782435644983,0.05466022465227227
53,0.21963721877009448,-0.016158880815044078,0.0027334238775069686
54,0.2032174015268538,-0.011518712921895208,0.0016140004434372912
55,0.1258774328124673,-0.04815766803649716,0.03773038896935743
56,-0.10401447434851434,-0.1274850736724996,0.35217362733828217
57,-0.11355831215214493,-0.1764355157403771,0.5811100461628096
58,-0.16640477337141418,-0.23984868566141768,0.7426243581727505
59,-0.25458602437356603,-0.31840741849191123,0.8468095165462319
60,-0.3510467768237504,-0.40859438785866203,0.8912543852828984
61,-0.40225126130526406,-0.49790206061624004,0.8959478610021545
62,-0.5868435083039003,-0.6187337743690324,0.9372876124357743
63,-0.6627844164170711,-0.7305498463241826,0.9418872192435679
64,-0.7416971448624281,-0.8579912009154779,0.9407466879664452
65,-0.8075755175275845,-1.0082550610912777,0.9365970035277469
66,-1.0079973218668783,-1.2151099297761898,0.9584061717558715
67,-1.324242700674222,-1.4755976376390911,0.9809231470421882
68,-1.652283198461464,-1.7433849870539364,0.991609289338872
69,-1.9762331879547674,-2.0118490269230693,0.9942586701435565
70,-2.182511718684691,-2.2183116548875437,0.9945206589161931
71,-2.357042381926294,-2.375734384066081,0.9941718727606371
72,-2.4479387806885824,-2.4855961470113113,0.9918389363591515
73,-2.40777529121533,-2.537292481014881,0.9895622826739069
74,-2.478054964367766,-2.586104260764115,0.9844875148012932
75,-2.5853603132620266,-2.625987621392101,0.9761239948713655
76,-2.6471251556067728,-2.6112254967515325,0.963779223548224
77,-2.583643345992732,-2.5334068984131433,0.9476828025353562
78,-2.530748018413578,-2.3767543027655194,0.9242917981238122
79,-2.30372805926163,-2.1176904807230157,0.8969920799007466
80,-1.9826935249966482,-1.7509457554907242,0.8557062364618144
81,-1.4956222252209046,-1.2768554704584028,0.7758891705248223
82,-1.03434092384432,-0.728811500683451,0.5341745152181436
83,-0.4811749422206958,-0.11850469551687505,0.020933649955816702
84,0.06293176412928006,0.5378628774350086,0.14780567097592023
85,0.7283337661051519,1.1623522320225994,0.39273703044296304
86,1.3279310365710444,1.6956371754697614,0.5269485625106779
87,1.8700143961941649,2.106097304433987,0.5931166219412847
88,2.349551292877095,2.3538718830520833,0.6172934587419092
89,2.8644815732790447,2.4080936808309548,0.5869784715997013
90,3.429612041208384,2.192276828888789,0.5398976708464147
