model_year,groin_active,trapping_rate_applied_m_yr,applied_dx_updrift_m,applied_dx_downdrift_m,cumulative_updrift_m,cumulative_downdrift_m
2004,True,36.0,-36.0,36.0,-36.0,36.0
2005,True,36.0,-36.0,36.0,-72.0,72.0
2006,True,36.0,-36.0,36.0,-108.0,108.0
2007,True,36.0,-36.0,36.0,-144.0,144.0
2008,True,36.0,-36.0,36.0,-180.0,180.0
2009,True,36.0,-36.0,36.0,-216.0,216.0
2010,True,36.0,-36.0,36.0,-252.0,252.0
2011,True,36.0,-36.0,36.0,-288.0,288.0
2012,True,36.0,-36.0,36.0,-324.0,324.0
2013,True,36.0,-36.0,36.0,-360.0,360.0
2014,True,36.0,-36.0,36.0,-396.0,396.0
2015,True,36.0,-36.0,36.0,-432.0,432.0
2016,True,36.0,-36.0,36.0,-468.0,468.0
2017,True,36.0,-36.0,36.0,-504.0,504.0
2018,True,36.0,-36.0,36.0,-540.0,540.0
2019,True,36.0,-36.0,36.0,-576.0,576.0
2020,True,36.0,-36.0,36.0,-612.0,612.0
2021,True,36.0,-36.0,36.0,-648.0,648.0
2022,True,36.0,-36.0,36.0,-684.0,684.0
2023,True,36.0,-36.0,36.0,-720.0,720.0
