gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,9526.285092376722,3,0
10,24,False,False,21,managed throughout,5684.868949011052,4,0
11,25,False,False,21,managed throughout,2551.7249070963862,4,0
12,26,False,False,21,managed throughout,4698.19015564367,4,0
13,27,False,False,21,managed throughout,3821.915581011048,4,0
14,28,False,False,21,managed throughout,5323.637066908765,3,0
15,29,False,False,21,managed throughout,4867.42275301417,3,0
16,30,False,False,21,managed throughout,9953.454829080738,4,0
17,31,False,False,21,managed throughout,9507.241646981238,4,0
18,32,False,False,21,managed throughout,3524.7782897179422,4,0
19,33,False,False,21,managed throughout,1616.365149339686,4,0
20,34,False,False,21,managed throughout,2803.1112634062083,4,0
32,46,False,False,21,managed throughout,9534.566246932305,4,0
33,47,False,False,21,managed throughout,9792.047195495797,4,0
34,48,False,False,21,managed throughout,4866.073307501707,4,0
35,49,False,False,21,managed throughout,6702.288012668278,4,0
36,50,False,False,21,managed throughout,6961.269067478756,3,0
37,51,False,False,21,managed throughout,11386.560899872187,4,0
38,52,False,False,21,managed throughout,14191.732985706776,4,0
39,53,False,False,21,managed throughout,7575.819331503817,4,0
40,54,False,False,21,managed throughout,7024.386100675812,4,0
41,55,False,False,21,managed throughout,13292.03659452636,4,0
42,56,False,False,21,managed throughout,12567.523915977958,4,0
43,57,False,False,21,managed throughout,10091.794393769915,4,0
44,58,False,False,21,managed throughout,11497.740442416654,4,0
45,59,False,False,21,managed throughout,9962.87003953957,4,0
46,60,False,False,21,managed throughout,19078.657111169803,4,0
47,61,False,False,21,managed throughout,19716.47192695379,4,0
48,62,False,False,21,managed throughout,19554.48062276628,4,0
49,63,False,False,21,managed throughout,15904.667804209006,4,0
50,64,False,False,21,managed throughout,17714.895001788842,4,0
51,65,False,False,21,managed throughout,18976.87278445633,4,0
52,66,False,False,21,managed throughout,12601.05731574284,3,0
53,67,False,False,21,managed throughout,17592.185033555023,4,0
54,68,False,False,21,managed throughout,11235.224990521141,4,0
55,69,False,False,21,managed throughout,14077.258721705182,4,0
56,70,False,False,21,managed throughout,8908.252535330983,4,0
57,71,False,False,21,managed throughout,11508.350729465077,4,0
58,72,False,False,21,managed throughout,9860.180013335535,4,0
59,73,False,False,21,managed throughout,9187.99283793088,4,0
60,74,False,False,21,managed throughout,7800.04576045232,4,0
61,75,False,False,21,managed throughout,3959.267489194534,4,0
62,76,False,False,21,managed throughout,9159.225235486127,4,0
63,77,False,False,21,managed throughout,9914.706908621989,4,0
64,78,False,False,21,managed throughout,8592.940991049529,4,0
65,79,False,False,21,managed throughout,5273.461142932489,4,0
66,80,False,False,21,managed throughout,4919.916352921033,4,0
67,81,False,False,21,managed throughout,4518.07939486578,4,0
89,103,False,False,21,managed throughout,4608.519888733436,4,0
90,104,False,False,21,managed throughout,2511.0241772632717,10,0
