gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,8854.673414196131,3,0
10,24,False,False,21,managed throughout,5786.822654810111,4,0
11,25,False,False,21,managed throughout,4366.35273816898,4,0
12,26,False,False,21,managed throughout,4725.719274710887,4,0
13,27,False,False,21,managed throughout,4023.499389048959,3,0
14,28,False,False,21,managed throughout,5527.603349963824,4,0
15,29,False,False,21,managed throughout,5594.505411780031,4,0
16,30,False,False,21,managed throughout,9953.454829080738,4,0
17,31,False,False,21,managed throughout,9948.678639276286,4,0
18,32,False,False,21,managed throughout,3077.4645036386287,4,0
19,33,False,False,21,managed throughout,1396.6558624561674,4,0
20,34,False,False,21,managed throughout,2838.524011895221,4,0
32,46,False,False,21,managed throughout,9104.119841370966,4,0
33,47,False,False,21,managed throughout,9043.64243073188,4,0
34,48,False,False,21,managed throughout,4349.086235027563,4,0
35,49,False,False,21,managed throughout,5121.010288867742,4,0
36,50,False,False,21,managed throughout,7371.202483341705,3,0
37,51,False,False,21,managed throughout,10719.894139715185,4,0
38,52,False,False,21,managed throughout,6104.402862205963,2,0
39,53,False,False,21,managed throughout,4189.860713666271,3,0
40,54,False,False,21,managed throughout,7094.657416411826,4,0
41,55,False,False,21,managed throughout,13445.643919417638,4,0
42,56,False,False,21,managed throughout,15434.19506000766,4,0
43,57,False,False,21,managed throughout,9956.125355519287,4,0
44,58,False,False,21,managed throughout,11878.099218591142,4,0
45,59,False,False,21,managed throughout,11475.622800449299,4,0
46,60,False,False,21,managed throughout,20183.159701418674,4,0
47,61,False,False,21,managed throughout,19819.7520895032,4,0
48,62,False,False,21,managed throughout,19697.829410502993,4,0
49,63,False,False,21,managed throughout,15904.667804209006,4,0
50,64,False,False,21,managed throughout,17714.895001788842,4,0
51,65,False,False,21,managed throughout,19050.360755912676,4,0
52,66,False,False,21,managed throughout,15580.592425945706,3,0
53,67,False,False,21,managed throughout,17819.227561646105,4,0
54,68,False,False,21,managed throughout,11453.41419484981,4,0
55,69,False,False,21,managed throughout,12825.34340595748,4,0
56,70,False,False,21,managed throughout,10510.418543743204,4,0
57,71,False,False,21,managed throughout,12691.371360860567,4,0
58,72,False,False,21,managed throughout,8907.506810998453,4,0
59,73,False,False,21,managed throughout,9190.114347272895,4,0
60,74,False,False,21,managed throughout,7800.04576045232,4,0
61,75,False,False,21,managed throughout,3959.267489194534,4,0
62,76,False,False,21,managed throughout,9183.028365255475,4,0
63,77,False,False,21,managed throughout,9429.379394031868,4,0
64,78,False,False,21,managed throughout,8614.951038374556,4,0
65,79,False,False,21,managed throughout,5273.461142932489,4,0
66,80,False,False,21,managed throughout,4919.916352921033,4,0
67,81,False,False,21,managed throughout,4105.59598846791,4,0
89,103,False,False,21,managed throughout,4002.5603761037446,6,0
90,104,False,False,21,managed throughout,3976.3496700798505,5,0
