gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,3.9409431773056895,2.734786721268583,0.8245919026883981
2,3.1233512546898963,2.3938383226304714,0.8689747335332103
3,2.418645770764306,1.9318985175708292,0.8937589176728441
4,1.7413703765642823,1.41642739412042,0.9089024384561535
5,0.9473656034333544,0.8922796315566419,0.8101369209054228
6,0.4067259037322401,0.5988685784656648,0.47186082368577154
7,0.4676287029602463,0.4041953207090403,0.2710076001864209
8,0.5364699846728399,0.2656917209750473,0.13263922420237317
9,0.5083998683871869,0.15825725765008583,0.04940692302968075
10,0.4871143156406106,0.08975380472196291,0.017130016312180585
11,0.4837867621150508,0.03401841144452467,0.002652173385383927
12,0.39821371166462993,-0.018637962232245404,0.0008209573059310138
13,0.3101363840128215,-0.0681217038168033,0.011512759581748466
14,0.14500442115840997,-0.14123334280772407,0.05431829711291436
15,-0.07986095858113913,-0.23023457764099226,0.15887718429672115
16,0.06491419246403893,-0.3985007476335765,0.577613204791087
17,-0.31598529962875543,-0.5295470249624901,0.8541829152164402
18,-0.46676977283768795,-0.6211172214502609,0.9022247170269587
19,-0.37086750721928186,-0.6716661505627308,0.8758953985887045
20,-0.20771561123628998,-0.7168538171334988,0.7997290813187388
21,-0.49531313773195507,-0.6806195503715082,0.6245684810295355
22,-0.4721092512646464,-0.7550542737056826,0.6410070702029982
23,-0.4829216861036002,-0.8360075838696472,0.6704246591034968
24,-0.6398464067739041,-0.9114372071796386,0.6982848083368076
25,-0.6196880103219883,-0.9417929575559589,0.7154984597588937
26,-0.5630031855043853,-0.9522752128841407,0.7351420451027054
27,-0.5876601451491297,-0.9767196855765845,0.7596476747425529
28,-0.8993024400983813,-1.0751265574453581,0.80675792056034
29,-0.8297244733023035,-1.2573214416004839,0.9316759488762548
30,-1.1064555543889583,-1.3570098153630603,0.9650113826804146
31,-1.166507087814989,-1.3931042281455186,0.9708029005116665
32,-1.2791648277993772,-1.4667373618609039,0.9799429798357371
33,-1.4020436246900316,-1.5384995937308448,0.9881499313916299
34,-1.6396567037239038,-1.644775947748622,0.9873627534663695
35,-1.7737698849044137,-1.7276743352268664,0.9781418314536752
36,-1.8911086150756091,-1.7873469681621734,0.9680715637333774
37,-1.9517485343034422,-1.8019554676550082,0.9622414844463298
38,-1.7816435212706891,-1.7386359105123392,0.9706778677837158
39,-1.6390527110299444,-1.6410886128230477,0.9760928780275275
40,-1.4619064431237347,-1.5148775948176971,0.9809873225280417
41,-1.2799337384371938,-1.3751281731177705,0.9826409947737171
42,-1.1080570990941851,-1.234589061649657,0.9810531976582569
43,-0.9729139057811154,-1.102058721186743,0.9773600801778731
44,-0.8790247125836685,-0.978361620371632,0.9740872021486798
45,-0.7189947225444484,-0.8511406446188993,0.9632794760933251
46,-0.6358632988265527,-0.750803260612059,0.9578831912419007
47,-0.6057239101080085,-0.6631163532175977,0.9551471861819969
48,-0.5304743448192312,-0.5672618022506829,0.9357092966440301
49,-0.3722567626802629,-0.4490845880800486,0.8804693845616329
50,-0.20274891578583265,-0.3299700419955359,0.727519397787673
51,-0.04666224227221392,-0.22139705997388526,0.45018851624777967
52,0.0635850922903046,-0.13899994638891305,0.19733949212522406
53,0.14779959164388856,-0.09082317952836673,0.08711947360536743
54,0.12836923802042294,-0.09157320708955985,0.10110163839710584
55,0.04988763381079479,-0.13294367131635276,0.24484264899006014
56,-0.1788673753436342,-0.2147743406638146,0.6175609081358964
57,-0.18449848160207694,-0.2616751338163972,0.7571255871661198
58,-0.23097548059695328,-0.31967480085957795,0.8420531308425112
59,-0.31057309366397023,-0.3890549314777581,0.9037976910636264
60,-0.39609851018212794,-0.46627643007244535,0.9332452939837547
61,-0.4357977063824364,-0.5417006202127835,0.9328345195305072
62,-0.6074188037560816,-0.6461884972139312,0.9613266190195043
63,-0.6685392860749744,-0.7389950486880542,0.9614508803828148
64,-0.7312893305420403,-0.8442722399402481,0.9561947835515076
65,-0.7797580959455445,-0.9705577893937024,0.9472436873516319
66,-0.9630306648107763,-1.1534665007449867,0.9639294385199652
67,-1.265687414999229,-1.3932833194471952,0.9827193127287488
68,-1.5564894488874415,-1.6337280553925098,0.9925038396994321
69,-1.8704289647596852,-1.8785194628991788,0.9944654817296827
70,-2.0402600305762464,-2.0598996183545495,0.9948117394192325
71,-2.214537318292696,-2.1987820757688112,0.9956613046758054
72,-2.287959505688286,-2.2919481561764368,0.9946584153764452
73,-2.2531529200497973,-2.338950491683797,0.994787313493919
74,-2.32504076729374,-2.389092312005677,0.9919812782222452
75,-2.4414694334677733,-2.4462880868960664,0.9878738290765879
76,-2.520101051367965,-2.4620510504944786,0.9798357068598319
77,-2.492755043919806,-2.4144539322251304,0.9672180741449887
78,-2.478750763359676,-2.3135776762811813,0.9535194619869528
79,-2.28411883715944,-2.091961192223126,0.9313358559552682
80,-2.0043005290478506,-1.7832489618959433,0.90462559131646
81,-1.5520514848108178,-1.3600731200025546,0.8492515749177738
82,-1.131164881814857,-0.8694264493832042,0.676886220811356
83,-0.6093631314301092,-0.3228760165795505,0.15431834380292353
84,-0.10776708427983976,0.2761050753381868,0.045717192346080515
85,0.5292264296593203,0.8544009084896534,0.2795722318060758
86,1.1004102996183973,1.355520345665238,0.4528873321540632
87,1.621132747498723,1.7522911343039402,0.5492579244794202
88,2.087497260962664,2.009105554678725,0.5942467550430348
89,2.594059362982898,2.0986165878385705,0.5740151781869459
90,3.178111802603053,1.9440867561916346,0.5396456545806938
