gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-1.6641158967276168,-1.7000396889894005,0.9170502624792904
2,-1.6705344504059212,-1.8607783581045847,0.9316995288175127
3,-1.6783176357312186,-1.9851193491010128,0.9350350959120731
4,-1.7622729525636713,-2.1046611236589814,0.943919374078284
5,-2.065692565344489,-2.2374902660222125,0.9449687295219577
6,-2.1398603052818546,-2.159348911263295,0.9075423484662292
7,-1.7944602341917744,-2.0811037714501035,0.9004132087827876
8,-1.530874013031098,-2.0234807111444546,0.8928178527143432
9,-1.453078321832254,-2.017749818139018,0.8828384919632285
10,-1.4061181523720734,-1.9934544940906653,0.8802353196993653
11,-1.350901692324078,-1.970954741331425,0.8844460721799131
12,-1.4211179260769313,-2.0286379492882465,0.8936835514790544
13,-1.5648458084468075,-2.0922617199028677,0.9015983355310875
14,-1.7701083427262347,-2.187806120347834,0.9170041848984051
15,-2.006057544512532,-2.2847385222562657,0.9254204706187721
16,-1.8929404614815213,-2.461490167901897,0.9454324856169583
17,-2.1912994696490387,-2.4968781762891785,0.9596617186418245
18,-2.181581161230588,-2.4092758703942754,0.9643082837925756
19,-1.8744616510448395,-2.2290088533488217,0.9580436930357193
20,-1.4039124465362876,-1.975804317048497,0.9444925283371802
21,-1.4059495062353562,-1.6875628790926134,0.9009185363338754
22,-1.1982107692984756,-1.5718643069901947,0.8905187910418992
23,-1.058556271292764,-1.506390482723117,0.8809640894862167
24,-1.1303012180726,-1.4832300043792057,0.8814258945512458
25,-1.0671302201700201,-1.4572438305370379,0.8787236285624235
26,-0.9923520713652578,-1.445355712098209,0.8763453205907957
27,-1.0404439190458106,-1.4854438975306579,0.8785713416007036
28,-1.3968112948507951,-1.6305684510077938,0.8945519878235926
29,-1.463843980764159,-1.935941434879517,0.9443128803809512
30,-1.8605146246879485,-2.1795711771648087,0.9576300695058618
31,-2.1456442687098387,-2.4422031191299314,0.9638076494418901
32,-2.518544538093829,-2.795989866603289,0.9695667867175
33,-2.867733753749144,-3.0860691210276525,0.9773778924354566
34,-3.274912351556941,-3.360896446215029,0.9841782483142035
35,-3.5252115979956216,-3.546138103266215,0.9859809408760447
36,-3.722099373273886,-3.6704048964647376,0.9873579147499687
37,-3.843570765722325,-3.75367169145814,0.989617606114333
38,-3.7393487555351386,-3.769794518078693,0.9910017802136877
39,-3.647835363200829,-3.7471122227794935,0.9890819115722954
40,-3.5054781979566543,-3.649818787608412,0.9840490221195798
41,-3.3419918096430594,-3.5160010584617507,0.9788242832731658
42,-3.196781014584849,-3.401919922260471,0.9735255952959947
43,-3.095690886481498,-3.311120429825713,0.9699804281736406
44,-3.092280722589294,-3.26931635878506,0.9685146254143735
45,-3.0248334364267064,-3.2521014839776217,0.9640280393814334
46,-3.0275426021056773,-3.255780667352069,0.9632798282116275
47,-3.084073267215808,-3.277506069128346,0.9647242712661339
48,-3.1065963063870186,-3.2952339770285746,0.9638257202017027
49,-3.0163728823759812,-3.2696626389155035,0.9585921689349508
50,-2.8631800608025513,-3.1546346736352007,0.9539148334623357
51,-2.6840010913919286,-2.984311079554884,0.948199039884162
52,-2.53111910649377,-2.8258777801693338,0.941128312598217
53,-2.389991817311693,-2.7296205005540344,0.9316890596958333
54,-2.3297847299637398,-2.664432614834494,0.927750361454684
55,-2.3128245117488406,-2.6184022220633008,0.9292963993379576
56,-2.4596331248286334,-2.619924073319383,0.9376998032688928
57,-2.3641143232018296,-2.550783434649767,0.9348541734205045
58,-2.3094173503197455,-2.476018730605576,0.92813782828987
59,-2.272767830244902,-2.404007778134242,0.9214396393731606
60,-2.236618601117152,-2.3293296207992764,0.9142400740973194
61,-2.1488626886335624,-2.242474318844874,0.908369414929964
62,-2.202581648474734,-2.226918739895242,0.9178229792512058
63,-2.164707555951918,-2.218645264648068,0.9237434966282936
64,-2.12641942286682,-2.2260605281196826,0.9298777067870023
65,-2.074875280078504,-2.2653796803295734,0.9331218204766643
66,-2.1405673999604007,-2.3410433465088922,0.9475135183184928
67,-2.300462394097849,-2.4517990180150964,0.964712110638735
68,-2.415623597788726,-2.509331746624401,0.9810014199016223
69,-2.586479148701892,-2.61577224655841,0.9903470772792071
70,-2.6662915088360024,-2.7053181664718946,0.9946712151723399
71,-2.782575070457915,-2.790519359251567,0.9965747062848288
72,-2.827909892793559,-2.8621722360015354,0.9967966252845079
73,-2.8021177409269513,-2.9158850817297592,0.9961252877299304
74,-2.900732525137664,-3.0003465051038645,0.9950318809167457
75,-3.0776966270780575,-3.1128946644355677,0.9929094054678057
76,-3.220668270538681,-3.1967922604319727,0.9886667955623188
77,-3.2853832380354104,-3.2504565885786496,0.9831738392016339
78,-3.3736268328784718,-3.2596734018696263,0.9759447151047626
79,-3.3141070089951428,-3.1861777266893765,0.9687547434991767
80,-3.2142758806873646,-3.073433194707107,0.9619484881933421
81,-3.0047067319658707,-2.888085543710246,0.951369711980575
82,-2.9015675730491237,-2.7099441818974594,0.935715845062641
83,-2.785749702350131,-2.5300704428218097,0.889600626215517
84,-2.7758553286381358,-2.3657568368662383,0.7587645115367733
85,-2.6605239216876724,-2.3082024442515796,0.7049139883263784
86,-2.610791501300082,-2.326006384818426,0.683720529502315
87,-2.6748844361679405,-2.437378712314902,0.7053089265563661
88,-2.861094259026231,-2.665705511645563,0.7650111738308634
89,-3.0637865216291176,-2.9566485224323915,0.8297178735825674
90,-3.339340571478533,-3.358437569525432,0.9294388473090422
