gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-1.3154125973265764,-1.3820525714197835,0.8430587211109324
2,-1.2750922784562135,-1.5185353136305635,0.8620643155499188
3,-1.2339140148761545,-1.6286227500001766,0.8626695722853098
4,-1.298372759338872,-1.7482784572287988,0.874294253383191
5,-1.693520831211663,-1.9261792008377707,0.9120877319718079
6,-2.4597376601437646,-2.133627744240636,0.9046717489264451
7,-2.2833367518748675,-2.1120711143907687,0.9263508698676629
8,-1.9360291854344722,-1.9515439631040732,0.9453941790098791
9,-1.609288721208759,-1.7464217728896763,0.9655912922987004
10,-1.3722563319194705,-1.5518579623608242,0.9720031704717973
11,-1.1608788507795906,-1.3741187147657028,0.9660125750363914
12,-1.0389251087664888,-1.2311203209095705,0.9600034565691267
13,-0.9418712927383239,-1.1149869089908029,0.955860495886953
14,-0.9152168224532943,-1.04382141897772,0.9504708646850407
15,-0.8237472000068919,-0.9885388993395691,0.9346786301098196
16,-0.7707467906432612,-0.9726346350348999,0.9195916845094488
17,-0.9080302075069084,-1.0250329235304363,0.9391842123353799
18,-1.0115238992850208,-1.1121852499076996,0.9410396940943376
19,-1.0167340169586168,-1.221892906891098,0.9265465892968516
20,-1.1486956687999736,-1.4030414672063216,0.9277622002368603
21,-1.4421782548068223,-1.6661603674715408,0.9434339967860698
22,-1.7159419657697073,-1.8677763982876752,0.9556429070057177
23,-1.8541219164679206,-1.9831139318261595,0.9554380734019788
24,-2.0640516802073763,-2.090049919393035,0.9521816713268038
25,-2.050399886273772,-2.1302621734221616,0.9513088061571201
26,-1.9689012959782304,-2.1423230241956053,0.9529480924771935
27,-1.8761817569590675,-2.149225380611549,0.95079494653485
28,-1.9488297341880751,-2.1776863100555848,0.9529582104240262
29,-2.0275454991936384,-2.1922547651353783,0.9577718660490235
30,-1.9816299903451182,-2.1433082959651077,0.9603396046271473
31,-1.8947321308982281,-2.101031380173869,0.96365923094325
32,-1.7822676416565628,-1.9955231441070052,0.9746316028181508
33,-1.8047930861471286,-1.9652325184620756,0.9868344568610923
34,-1.9595279390823634,-1.989334242365678,0.9934958232285882
35,-2.0297531523069665,-2.006896141566682,0.9887763216726839
36,-2.0982378856015202,-2.0151082893262156,0.9799306437498473
37,-2.1185268947003353,-1.987730556601603,0.9729900655709754
38,-1.917925900676164,-1.8926098778085012,0.9777435579292528
39,-1.7492106839562438,-1.7705312783669203,0.9812685338442986
40,-1.551258016511656,-1.6205900974817289,0.9846749093103927
41,-1.3485514072666773,-1.4585361722363126,0.9851587554132991
42,-1.1599234048717335,-1.300325104392856,0.9821051625663053
43,-1.0081482317633346,-1.1508520178168478,0.9766900513086595
44,-0.8999431263137921,-1.0123863555884076,0.9721046259559023
45,-0.7264996309490925,-0.8702216797998158,0.9581149062588848
46,-0.6308082469407964,-0.7538843279514581,0.9460396005335533
47,-0.5889403058340577,-0.650011519782899,0.935083182861593
48,-0.5016711922555259,-0.5371429829598497,0.9005030707024428
49,-0.3327470345318034,-0.40836174312697,0.8224534711121214
50,-0.1536242799224965,-0.2788973365194419,0.6151394810472348
51,0.011928566218921332,-0.16139857246581005,0.27737420310262173
52,0.12890299855844206,-0.07145525677634762,0.0556171932479389
53,0.217542344208141,-0.01697964077324784,0.0030126845398373847
54,0.20017170319315483,-0.012788001856938552,0.0019831031407987476
55,0.12119067112289486,-0.05032445907645059,0.04084554873391688
56,-0.11129836950249228,-0.13121658538656727,0.3628863681433231
57,-0.12477848941916818,-0.18273071734029006,0.5917087490332356
58,-0.18345583237432947,-0.2501958208497106,0.7482936731933265
59,-0.2800470787347876,-0.33497007329691336,0.8458552668137492
60,-0.388797182639064,-0.4345756056206173,0.8853716156790747
61,-0.4579611503207161,-0.5379610090890055,0.887661482890693
62,-0.6686342349068581,-0.6796006667273464,0.92443870290687
63,-0.7806947338826831,-0.8216625565008944,0.926526584798206
64,-0.9135501027499231,-0.9942606106792319,0.9238451891876037
65,-1.056177512008071,-1.2106597985672694,0.9197071832959811
66,-1.3614938975057158,-1.5101537802253482,0.9387858400769643
67,-1.8126539648757898,-1.8995044617566195,0.9604015968793216
68,-2.358319267614206,-2.379432595507949,0.9700061602394755
69,-2.850922039148736,-2.8044954630688816,0.97594684797836
70,-3.2469443711992425,-3.178202550381223,0.9775050613874128
71,-3.601287325211979,-3.485555663229359,0.9808148279809785
72,-3.826857800575908,-3.7346357541710526,0.9818491262994813
73,-3.9299299870353934,-3.9461812330031973,0.9829027565665344
74,-4.060374363526807,-4.110205936226787,0.9883603563540301
75,-4.208718030323235,-4.262299871206055,0.9917144301120037
76,-4.323409143695153,-4.341840072054255,0.9906976594374401
77,-4.307261785965693,-4.316254918680301,0.9845368072175528
78,-4.323148175786355,-4.241140425832505,0.9761032386439491
79,-4.197766125940416,-4.150208069370712,0.9683650709008033
80,-4.02451045580874,-4.009441886352652,0.9642787151449305
81,-3.71488270433274,-3.813652610602351,0.9652246864238228
82,-3.473236399650159,-3.5806690271128763,0.9696377336124373
83,-3.176276218939165,-3.2716858184525255,0.9788889071743521
84,-2.8417466135003453,-2.9935010088480762,0.9834527231720019
85,-2.5495784763749727,-2.7813160393290617,0.9811540896197994
86,-2.3815241664111455,-2.661776503127732,0.9740720451681156
87,-2.366196678101551,-2.6524343453408683,0.9680935891961251
88,-2.5129985945402042,-2.7580289158792675,0.9658332887132652
89,-2.7174590534292293,-2.961683244749944,0.9654001537266648
90,-3.000311006093125,-3.2697680324894596,0.9686320814262137
