gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.287176064578099,3.2295171836319088,0.7621984746764401
2,3.1442651270512476,2.7385224962047556,0.7982990188313409
3,2.669629013161674,2.31090369405838,0.7909566966622082
4,2.1072345874278784,1.820520816987023,0.7910556485738651
5,1.3114621821228607,1.2623841571141388,0.8128125564216211
6,-0.2165946768230112,0.5118451177384089,0.36942534340518574
7,-0.5137004341165395,0.14202769566238804,0.05737312881373713
8,-0.4904106201122756,-0.07206200382205634,0.02818521673422958
9,-0.6110219662218047,-0.32742126734517524,0.34651160978274986
10,-0.7864084357957576,-0.5059349355672724,0.4506337543194835
11,-0.9663954164346121,-0.6192951311438811,0.49639191187425513
12,-0.8782409871068272,-0.5525251956657853,0.476529605589596
13,-0.7908639034679125,-0.48728146160702424,0.4816044646124633
14,-0.709963515853555,-0.4032538099072407,0.3765340823149548
15,-0.6446115394167334,-0.3602260105276245,0.2814249955066055
16,-0.5835564369683978,-0.39353766501457915,0.23677344526683208
17,-0.7853754894526251,-0.4708347065913134,0.3127149134920233
18,-0.7081365581065516,-0.4534365320108826,0.3289744183159866
19,-0.48718244010550343,-0.34858754237468453,0.24872500195723624
20,-0.3481256448441335,-0.2765660047095691,0.2068945477552151
21,-0.2809007636254007,-0.21688012326753842,0.24248174488287266
22,-0.3876333021537773,-0.25267493727343854,0.5142747754523588
23,-0.46125574593783575,-0.32057730212519314,0.7828644592060933
24,-0.5904614597220643,-0.38485750814392733,0.8222001675300401
25,-0.512658243964844,-0.37767672491581844,0.8773756182748332
26,-0.3661514714765092,-0.3252430781553579,0.7651576675493817
27,-0.24294889964039612,-0.2755840391652432,0.5375284749915874
28,-0.25116872646555877,-0.26662355436755597,0.4649631205578032
29,-0.3299629175949771,-0.2964574482092664,0.46535025984712053
30,-0.31619588240885477,-0.3336294963792748,0.41970063503686705
31,-0.5147043051769548,-0.4908308440546094,0.5456458485886065
32,-0.8639921005728216,-0.768967046090435,0.6782455287952276
33,-1.3072713670521157,-1.1398524039001683,0.8037744873257361
34,-1.7256717171341214,-1.4539876395818077,0.8859729706713015
35,-1.920735159947331,-1.6112864389830357,0.9403652031592494
36,-2.0187708326271343,-1.7064099705675826,0.9739060625638026
37,-2.1643430817530316,-1.8012956363353625,0.9638929858224993
38,-2.102680196993918,-1.775158012262146,0.961997854224036
39,-1.8726795268882728,-1.6520146585176945,0.9764166359284286
40,-1.59028272931859,-1.4523978209748996,0.9869913074235042
41,-1.2692145414963047,-1.2289892875031412,0.9940329731365136
42,-1.0351629621578209,-1.0064438287431754,0.9876725615528935
43,-0.8694344445463814,-0.8210353223636981,0.9515627203222694
44,-0.7650083792785674,-0.6578674395439974,0.8979127362721155
45,-0.6181209887293205,-0.5146047832696066,0.7216041597947795
46,-0.24417284305257322,-0.2929649030005187,0.26486794738547437
47,-0.5657902851519664,-0.2708308957978044,0.2861653522557992
48,-0.5000615092905198,-0.18491084578291211,0.12510238462964907
49,-0.29375274334740553,-0.0944139463646186,0.024244413339661652
50,-0.13484226798742124,0.005211610469590834,6.299620393734884e-05
51,-0.23058318568681507,0.047768724050166377,0.00670093770904312
52,-0.23760802946266527,0.0757338330093119,0.0193769342141894
53,-0.06951516520244436,0.15479054861643518,0.08483325887676685
54,0.0424545018817558,0.21607520234810498,0.17331057476594225
55,0.07834143292296046,0.25459379947830263,0.2639965899626685
56,0.1426446759382348,0.2687699858983175,0.3158790153801798
57,0.16987907618100248,0.2571905231943025,0.33893915086105
58,0.12788195126605778,0.21065207574800202,0.3360971759344088
59,0.07043913312918448,0.1572251583371118,0.29631862965222766
60,0.0013659797442804639,0.09186067522341285,0.1984760502978311
61,-0.05496810479300101,0.016526264250564277,0.009957265434965668
62,-0.20091484111604327,-0.0884363362037022,0.19718326581639123
63,-0.29029872068791257,-0.19089349692674243,0.4028211559835483
64,-0.3412013299566752,-0.2994202769727137,0.46633104201160724
65,-0.4227842590216824,-0.4303139072310011,0.5575929345527342
66,-0.3884876763869605,-0.5591685785703178,0.6213304150930147
67,-0.7396271940864868,-0.7887993067207816,0.9003991749743094
68,-1.2169615914515037,-1.0793663227797734,0.9835560684892821
69,-1.449421014676513,-1.3124613401495955,0.9924656062829368
70,-1.6535353794520884,-1.5431961154796414,0.9937267140205899
71,-1.8898223969895949,-1.758691914649267,0.9923032208716678
72,-2.0053807707455626,-1.9079317357258427,0.9956456657673869
73,-2.01823503111908,-2.0204953988662595,0.9967114219768523
74,-2.167752858699974,-2.1374691489425617,0.9966287178343973
75,-2.274596983073934,-2.2169713601361813,0.9951132200377555
76,-2.3868623815798338,-2.277338866044286,0.9909189754874344
77,-2.5163141869026213,-2.283152477124609,0.9831099637583157
78,-2.6286973170710035,-2.25704141873293,0.9665233005710041
79,-2.0162816839186104,-1.980812443585412,0.9920582992356268
80,-1.7571425421887656,-1.7690576006841585,0.9865593549355178
81,-1.905173238221453,-1.6727910018030234,0.9817968764804706
82,-1.631218591126526,-1.43901725558071,0.9648537225149326
83,-1.5451254960585825,-1.2622712875067539,0.902888204218548
84,-1.3793270007599858,-1.1277063933166998,0.7698471353765155
85,-1.1594337642379418,-0.8498407151850847,0.5801200626934797
86,-0.8832890041452889,-0.6489106114518208,0.37022531976285356
87,-0.7230630081347564,-0.4268268293646115,0.19865027197615015
88,-0.467443924642274,-0.21018396262944267,0.060447822973711984
89,-0.2600419689206319,-0.143218630125484,0.025054991372514435
90,-0.12208304134894986,-0.2607191393667107,0.0535732048142924
