gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.292512830836391,3.233081136676485,0.7629586248930359
2,3.1537204631062457,2.7445432605569358,0.7997734084074362
3,2.6868865935304194,2.3212807611854314,0.7940361818640145
4,2.139561062546818,1.8388666768889372,0.7981092113498203
5,1.3731950660176153,1.295769800100426,0.8321747879538661
6,-0.09888438418329315,0.5737573094121277,0.43731113312052483
7,-0.29507515273936796,0.2573335261080729,0.17817226285707366
8,-0.11035487493427354,0.13861281222995836,0.14182573515916097
9,-0.046228270027963196,0.035397945239683724,0.0269373360939531
10,-0.016958241156836657,-0.014715506945862189,0.011193938801729253
11,-0.08901934796969206,-0.05857865798930395,0.28879284685593454
12,-0.019440739238884168,-0.03924662374761292,0.41251265113103186
13,-0.041134294541344776,-0.02272625837998761,0.2750483329318869
14,0.02933001063671067,0.027681201785013595,0.14473381488902992
15,0.1202490339787151,0.08627436829723481,0.3320361597183398
16,0.2608467000757498,0.14397829325273273,0.3175220283692922
17,0.08081306999935935,0.11061538780138463,0.3460708098544184
18,0.0857820187780557,0.10688780682115102,0.29107914577052263
19,0.19267046505137841,0.1206618472101418,0.23574147472776286
20,0.1817897252942982,0.0836653942672212,0.10786537164541554
21,0.0646924581489137,-0.0011049958498139008,3.103992216635376e-05
22,-0.18150882874825974,-0.1270980986562614,0.5046994087088847
23,-0.3422745372702463,-0.24787479638120288,0.8409495218328977
24,-0.5217186641133854,-0.34228905582257035,0.8243024334175247
25,-0.47108162646964047,-0.3518125338904448,0.8914017598682138
26,-0.3370549883246505,-0.30782379946897315,0.7771663652403301
27,-0.2149427000531432,-0.2605553630397035,0.5354314886428186
28,-0.21135648125956713,-0.24764150156198567,0.4606373201159195
29,-0.2581982838870057,-0.2639546893603002,0.46163341747521636
30,-0.17728272016535943,-0.27041202139938336,0.4030332574206317
31,-0.24985966239169752,-0.3653436541717167,0.5663972537782735
32,-0.3942837495088887,-0.5275490851194365,0.7886222955352531
33,-0.7122675311562229,-0.7679694902600342,0.9702545489336784
34,-1.0801412170623215,-1.0379180446409726,0.9958219299084106
35,-1.2569427098733286,-1.2538018528076575,0.989112179068587
36,-1.5741591838863573,-1.464206042786731,0.9669557505783689
37,-1.835785300833647,-1.6114755979006143,0.9413435610925773
38,-1.8433015884150206,-1.625207092682436,0.9407561400232325
39,-1.6340490049703607,-1.5160711410328502,0.9604786498309035
40,-1.4093049236224553,-1.3484192642745025,0.9773222669386473
41,-1.0929409842703015,-1.125071359878149,0.99255025046761
42,-0.8550039028042582,-0.9051355718927265,0.9969215334953678
43,-0.6364529285196373,-0.6907830943585391,0.9887518082397717
44,-0.5101446309970145,-0.5036815227636646,0.9670025766818278
45,-0.28676292912340223,-0.2998387504598681,0.8151747517083257
46,0.15117452404125029,-0.06423695629016953,0.038488656704690705
47,-0.10742100882609,-0.016788336742014985,0.008931972189181736
48,0.03965484124494521,0.11337973436162553,0.32109063650859426
49,0.3264252487705172,0.2714437802523231,0.6215912466007594
50,0.5187236474752613,0.3833364686452004,0.6568343604091536
51,0.3991674025004873,0.3963971409838561,0.8041516090440328
52,0.3553374167729219,0.41001849449643685,0.8398057505531829
53,0.4686430052106516,0.45755536982848927,0.856080493799712
54,0.5195152298093879,0.4840542063184878,0.8524535886030502
55,0.5020559238452863,0.4851787571287176,0.8562635109996563
56,0.5166683126413513,0.47851496360432616,0.8442081474915474
57,0.4950244120907103,0.44536716220868183,0.8286258722587456
58,0.39342621120158583,0.37670831444885555,0.8281900678735481
59,0.29435346445968336,0.2973880093010945,0.8098585887768122
60,0.16962419964602304,0.20485778402645796,0.7371542945629621
61,0.08671114439909745,0.11854340277257736,0.49475976629784657
62,-0.04385281656751821,0.02072071922920608,0.02595973264234097
63,-0.08830337217282899,-0.0586390943957478,0.13121705261159078
64,-0.08741815249023992,-0.1367382900927768,0.2999932951093096
65,-0.15021280708593363,-0.25307853421998144,0.4840214163263157
66,-0.16710728281525786,-0.4000776111057465,0.5728777140040777
67,-0.5757299387751118,-0.6836948498269289,0.9233555227646701
68,-1.1175562855734305,-1.0166113433257011,0.9876696335841857
69,-1.3912166992795392,-1.274971379051922,0.992421299233112
70,-1.6198421875893214,-1.5204916699778597,0.9932130928047187
71,-1.8700476934812156,-1.7446161242200915,0.9918509117095942
72,-1.9932983189172384,-1.8989192218066453,0.995449405531609
73,-2.0103664398149186,-2.014470577687524,0.9966287233833535
74,-2.162008145656078,-2.133124968673347,0.9965510600593496
75,-2.269485575343164,-2.2133492695329577,0.9950165671803919
76,-2.3808735611182783,-2.273527094156771,0.9907787175665207
77,-2.50724194000538,-2.2779647607775644,0.9828714096357482
78,-2.6125869704428624,-2.2485184794330895,0.9659765731120624
79,-1.9855609205117486,-1.9653193933223172,0.9921930523013358
80,-1.6973465289619136,-1.7395975937343482,0.9884474560521977
81,-1.789870025248352,-1.6159954962710317,0.9860694219761107
82,-1.4166505367071036,-1.3304194311266744,0.9870654481707583
83,-1.174599754791156,-1.0611212036623492,0.9763877865272211
84,-0.8398567541505274,-0.7807761149825642,0.9307673106091795
85,-0.5008674732581702,-0.4742820119640789,0.7266919740836637
86,-0.2131443034239575,-0.21525538535746977,0.23538400070209853
87,-0.09917002707230235,-0.05363271699090745,0.01270684899230956
88,-0.015135710655418475,0.03122713341393099,0.002736270608867941
89,0.02838771099257948,0.012394972211573107,0.00026237186675526214
90,0.07933521257824136,-0.14338626740293284,0.019644119914258518
