gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,8.765598065872316,6.841279098753451,0.8206559275998525
2,7.503996970380285,6.290807846887128,0.855398083922143
3,5.656763132673144,5.229784725624577,0.9003485907823032
4,4.458802726843065,4.148100161782726,0.9340344723032332
5,3.235811115451465,3.032755464757733,0.9679946883909771
6,1.1575113888371302,2.033409623648951,0.8005546903597976
7,0.933387824188945,1.3491850781179457,0.652904050252834
8,0.6625759997451885,0.7589062753589964,0.39940048963465036
9,0.3342301161824902,0.20151295984177794,0.05278595849894252
10,0.3411530060583183,-0.11091399155913162,0.020444611932442402
11,0.03989799963567618,-0.390350628805647,0.22837017194512632
12,-0.24790946688088816,-0.6979720659659634,0.4580901871123674
13,-0.6026794578393881,-0.9666409460855729,0.6271051102690758
14,-1.0761015624280585,-1.2386700723881705,0.7412684857325974
15,-1.5291073467615206,-1.5028736721132037,0.7942379014612336
16,-1.5494997211616075,-1.882512132634025,0.8642546628371024
17,-1.9577603258880376,-2.0092792937968516,0.867821563181719
18,-1.933645373183026,-1.8870090811460796,0.8651569561994505
19,-1.5212625192085139,-1.6301989922524687,0.8552238092771858
20,-0.9165371823806449,-1.3460130381445419,0.8336382255725778
21,-0.9917759541522173,-0.9480800110890467,0.6464491925549745
22,-0.730403062500305,-0.8411841175067896,0.6172954770867184
23,-0.5807844107681116,-0.7923122068495214,0.5831940024721431
24,-0.5589108256151251,-0.7664594013269594,0.5481781912054331
25,-0.5274192804450389,-0.729444323465535,0.5192262399100274
26,-0.3615040814920576,-0.6622491158118661,0.4802924339791793
27,-0.4914222886050733,-0.6771417473493406,0.5084196893467416
28,-0.9172389406270928,-0.8301451218076376,0.5615410100348246
29,-0.8536412091365752,-1.16487296277613,0.7914570492075944
30,-1.2806677771854342,-1.4146350190674788,0.79604556962399
31,-1.6552183899329975,-1.6739763164237589,0.8192576933255168
32,-2.07637959053149,-2.0892967235316844,0.8423689037029168
33,-2.432414573312209,-2.3681417381522145,0.8956185782277274
34,-2.987048329089443,-2.702241325037948,0.93816057760205
35,-3.1955548621117487,-2.9190735473915064,0.9508985841492258
36,-3.4541771189530794,-3.096314617287018,0.9632624301075792
37,-3.535069190428788,-3.1651391245264167,0.9717876316194227
38,-3.4177690540557575,-3.0717255881891954,0.9735228262940222
39,-3.196571379946363,-2.8573486281990883,0.9706712421619828
40,-2.898239755776688,-2.635802751590892,0.9640233550084882
41,-2.6693839005465634,-2.5030291057183454,0.9447444423947944
42,-2.5701279427930785,-2.4730017339733905,0.9241083151262444
43,-2.523261686471155,-2.4604177441673163,0.9030057997156705
44,-2.636805383016768,-2.4943586545378698,0.8819305660415089
45,-2.6467518121952316,-2.5302511628377453,0.8496931517087565
46,-2.699212897520608,-2.5981072789060753,0.840495801924253
47,-2.8678176093024894,-2.711518347304458,0.8396373607288429
48,-2.7997850431547704,-2.738561258918622,0.8238931506543579
49,-2.8079295329762317,-2.750681987620033,0.8130173380644888
50,-2.8273877289403964,-2.748928934043681,0.8172225784125817
51,-2.7121948541373837,-2.678458138834443,0.8239899453478227
52,-2.5039198257463795,-2.5543969051053717,0.8121754513431143
53,-2.258449712333199,-2.4077701389659554,0.7827889874321565
54,-2.464291498552224,-2.3740977581497975,0.793282827975578
55,-2.354021294735893,-2.2378703349565097,0.767100187915823
56,-2.2488475261659135,-2.1160781223532235,0.7406142834546567
57,-2.077061560430593,-1.9651154484325313,0.7129353787783617
58,-1.897760719746137,-1.7920654411941475,0.6944447593870484
59,-1.7982242056823452,-1.6679277014999097,0.6865960699480868
60,-1.738575217680461,-1.571395946903466,0.6980286696639992
61,-1.6298161986469495,-1.496785312485642,0.7043129113742276
62,-1.7240280987951857,-1.5492861893501668,0.7500715808505872
63,-1.94185776906774,-1.669605680724867,0.8016169340111787
64,-1.9469228868195256,-1.775958228986673,0.8260353620089476
65,-1.9055749717589217,-1.8845378859626847,0.8317157933625703
66,-2.054681309724401,-2.0475490303728634,0.8673747015000255
67,-2.257047485119204,-2.2034801905879027,0.9017995340165154
68,-2.2708943186719677,-2.2233418698242344,0.936023839125066
69,-2.45346175339325,-2.3623336663397043,0.960582518126168
70,-2.559028366480691,-2.485702626592359,0.9780765741500546
71,-2.6671490162685325,-2.585249895569618,0.9884799808435112
72,-2.7248309227121092,-2.699332216286691,0.9943064265661037
73,-2.7066408940056914,-2.7339001472114752,0.9973744411335627
74,-2.7810373093161616,-2.815060558337894,0.9990369328610972
75,-2.9596043428725483,-2.8991363200775933,0.9986421081848154
76,-3.0970466171378837,-2.9635297920035955,0.9947819999065599
77,-2.958112712338724,-2.8729610652481896,0.9930471619192361
78,-2.9724187864511413,-2.792501172872306,0.987075805888421
79,-2.866465902418505,-2.5884800549496068,0.9757568739226664
80,-2.5411288035198334,-2.2623377960107383,0.9595527984571065
81,-2.193358101517983,-1.854852734190469,0.8950263162636278
82,-1.8277179871311091,-1.4036221049763686,0.70699683490856
83,-1.5655874382667077,-0.9829257981630963,0.32604788497940507
84,-1.1268323931030213,-0.7289360000089021,0.08696861833492964
85,-0.46392470612525877,-0.2798598070513847,0.010596512729626806
86,-0.13774714414492856,0.08427140224660419,0.000803623775616713
87,0.25817480291516404,0.41838912842123466,0.017012849118141382
88,0.6937672043168277,0.7083630982229976,0.04459162658385318
89,1.1835168642598677,0.9068392655190131,0.06933920364423263
90,1.8397575243778712,1.1179987549357957,0.1304056695539646
