gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,8.536258272601506,6.621839811631277,0.8043188369340265
2,7.178082331629412,5.981072455444358,0.8325576992535435
3,5.183770496409254,4.792118845730433,0.8672727155374853
4,3.72730195276277,3.5242298002286825,0.8816359612493352
5,2.005459256484625,2.109608695526716,0.8836562124848719
6,-0.1253054526248109,0.6328871671125157,0.3839855352559304
7,-0.8758468118686713,-0.362165986681321,0.26165904011627594
8,-1.3869905337247215,-1.0997623402598105,0.8530851789051883
9,-1.744398525692694,-1.6519451405911367,0.9487856208455876
10,-1.706628289474663,-1.9045043278867335,0.9159258828015919
11,-2.1171001461278656,-2.222868593102774,0.9051600259235293
12,-2.4965249474811833,-2.6845815873628944,0.8905296044948191
13,-2.9253246909484005,-3.025601863912302,0.8937419375731153
14,-3.1681211540696625,-3.2137574398033424,0.8913105093045294
15,-3.0918917604063347,-3.1425022096291646,0.8742472325308625
16,-2.9702199489300773,-2.9214289089038474,0.8668837200168226
17,-2.873322422277462,-2.746977426004889,0.8597050753256272
18,-2.6707487001797614,-2.4946704855999426,0.8532838092578715
19,-2.3111022201592277,-2.240285048982147,0.8354920596023345
20,-2.0676350740834875,-2.1070107770896787,0.8279914954059109
21,-2.1371638842327747,-2.188049548485475,0.8454415341904844
22,-2.323504451914622,-2.302547062601987,0.8729830598793511
23,-2.4845354752900937,-2.418613951240504,0.8925397442485505
24,-2.557993447959234,-2.4979493222016362,0.9030487498897761
25,-2.5439026840071426,-2.487601103576386,0.8983150984940168
26,-2.284221211213662,-2.34342891526757,0.8700952049150701
27,-2.1692299523239336,-2.2079636415711894,0.8453219055561835
28,-2.101157803235375,-2.0738966942945702,0.822735399170542
29,-2.1443581566150636,-2.0424446496705864,0.8175311111010128
30,-2.0159984978224332,-2.007614755491186,0.8089604874548704
31,-2.248723178578465,-2.1940991444139817,0.8220944143141948
32,-2.3896174054648975,-2.373738242094226,0.8435326808098608
33,-2.644854578208911,-2.55832398202345,0.891770514533233
34,-3.1150700623032077,-2.825165138533468,0.9350661383413217
35,-3.2832347694766213,-3.004099266938819,0.948260198182603
36,-3.522247454463598,-3.1558376682996263,0.9611732768598586
37,-3.596244387980213,-3.2088568516395126,0.9699999283730832
38,-3.4805070662022053,-3.1087109085180407,0.9710550306874126
39,-3.234701902681341,-2.878443556180068,0.968797698388432
40,-2.918833030688672,-2.647557704197294,0.9628221585834329
41,-2.680362412086132,-2.5097148035144508,0.9440292738498687
42,-2.576142426696476,-2.4769137381778714,0.9237293250903547
43,-2.5266988133324566,-2.462764195686466,0.9027971117444357
44,-2.638846761493109,-2.4957885010556864,0.8818061465671032
45,-2.6479970152063936,-2.5311293579904572,0.8496235503979984
46,-2.699983858925537,-2.5986484596506743,0.8404556050406519
47,-2.8682981783307957,-2.7118528226250085,0.83961323455405
48,-2.800085488100064,-2.738769853517992,0.8238790193319828
49,-2.8081170132989945,-2.750815042441579,0.8130092102101676
50,-2.8275014536232317,-2.74901713837472,0.8172182584845208
51,-2.712254036288219,-2.678518684198637,0.8239892402326201
52,-2.5039249057057793,-2.5544355712277964,0.8121795747654504
53,-2.258380350564429,-2.407780293937833,0.7828002841337706
54,-2.4640994124518847,-2.374055450865639,0.793307244158667
55,-2.3536172904197366,-2.237724393312359,0.7671480330672314
56,-2.248081640743294,-2.115733270720367,0.7406977436510882
57,-2.0756949428163614,-1.964405656544812,0.7130696845815393
58,-1.895430614180441,-1.7907146710324644,0.6946598651795322
59,-1.7944041774531538,-1.6654947272915872,0.6869312727897201
60,-1.7325387614706156,-1.567201564871393,0.6985569254915934
61,-1.620616323635269,-1.4898225324125773,0.7050452458372873
62,-1.7105297413616947,-1.5381244248111088,0.7511888204944563
63,-1.9229467653840402,-1.652333657195997,0.8030996962143362
64,-1.9222125697753134,-1.7502615714854726,0.8275507949936907
65,-1.8772227104794053,-1.848157433399265,0.8325104471863959
66,-2.028846864796703,-1.999161845917991,0.8673468104737911
67,-2.2271375923874075,-2.1408969838158467,0.9014065265546627
68,-2.3343335319291976,-2.228077066470064,0.926945210640091
69,-2.4081978398991333,-2.2703081716772022,0.9601229220135709
70,-2.512876836221949,-2.3602538540549913,0.9780393178295187
71,-2.7225233018346313,-2.543022793655356,0.9866172506875507
72,-2.94458749522203,-2.786645331778571,0.9882991843811811
73,-3.141027121807383,-3.027375282473961,0.9868641576490735
74,-3.561027026111333,-3.3912292548253555,0.984801016240427
75,-3.9489465376057393,-3.7667786838479627,0.9880614672149459
76,-4.42259440838617,-4.2312391292878715,0.9889164194359735
77,-4.526615443762369,-4.461654774754659,0.9906969403217549
78,-4.672807674037748,-4.588609340730557,0.9927617636814696
79,-4.684098134755653,-4.613051842012868,0.9934956372020459
80,-4.438247631462867,-4.428710977343519,0.9924828142207782
81,-4.143820976615643,-4.19849702634327,0.9909619689212011
82,-3.834045897125569,-3.874026845994395,0.9872716745030364
83,-3.5911979257533466,-3.4519904503846863,0.9808638298835262
84,-3.0231119287032664,-2.9241072716152936,0.9638842693617704
85,-2.3199259715102016,-2.438745634378601,0.9228506324613178
86,-1.9057238029992212,-2.0189584938124776,0.8513803725609038
87,-1.393700059812545,-1.5714161962281117,0.6689306361379712
88,-0.8160047131082787,-1.124186501106726,0.3547202741904937
89,-0.09419889053372442,-0.6773361031177632,0.11249193160732163
90,0.7313828286749933,-0.3879949913071023,0.02568899158406912
