gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-1.8612036638228997,-1.7471460551865003,0.9076987015788557
2,-1.3946067953582835,-1.7706583482302911,0.8259207527621889
3,-1.8081092861296253,-2.033504476973018,0.8799650596744708
4,-1.916102404596391,-2.2434887218421635,0.8927528159126834
5,-2.477591234142892,-2.5906614916901836,0.9491761364675241
6,-3.635916064017173,-3.105157301737514,0.9614931016168822
7,-3.570997995534786,-3.2468035326113003,0.9777231276888306
8,-3.3859757069258194,-3.243110326815506,0.9797625359264375
9,-3.181833241471525,-3.172237559803577,0.9698924768374184
10,-2.726345094691169,-2.910923213198937,0.9315998979606811
11,-2.7770081122082826,-2.9204872621678715,0.9174636811450009
12,-2.963995577961993,-3.146714178005801,0.901626204362595
13,-3.169069186389476,-3.317356511711076,0.9028148301855751
14,-3.3083804419702574,-3.3777363646954743,0.8976748979736401
15,-3.1880838892477965,-3.2521435081962133,0.8771137189628607
16,-3.030995702258354,-2.999234716490086,0.868425913409448
17,-2.9059980163122288,-2.797616483638382,0.861208379997987
18,-2.705379257810299,-2.533326808232583,0.8536850168883297
19,-2.339398911931442,-2.268080650244317,0.8355215803662397
20,-2.0884440979415166,-2.126351904384574,0.8278197379629317
21,-2.151780241883768,-2.2012543934023716,0.8450964439317499
22,-2.3335737406092187,-2.3114448139542727,0.8725931496774726
23,-2.491411335320533,-2.4245419990420665,0.8922365680818313
24,-2.562652987357199,-2.5018507180707044,0.9028431547903131
25,-2.5470306762689296,-2.490135225871862,0.8981694228368394
26,-2.286296229030216,-2.3450521122773065,0.869990201124359
27,-2.170586992276055,-2.2089887134875776,0.8452452209455061
28,-2.1020319849675224,-2.0745351388754356,0.8226800688960267
29,-2.1449127671124057,-2.0428369127813033,0.8174937881473605
30,-2.0163450373069542,-2.0078526248526973,0.8089379616164666
31,-2.248936632498174,-2.194241635313864,0.8220804548162597
32,-2.389747080149781,-2.373822595600524,0.8435240569915308
33,-2.644932323873036,-2.558373356370077,0.8917648597938
34,-3.115116099445004,-2.825193729961879,0.9350630586896559
35,-3.2832617077490016,-3.004115652656329,0.9482585638103217
36,-3.522263044605747,-3.1558469684768875,0.9611724930682412
37,-3.5962533172554947,-3.2088620820848197,0.9699995633096682
38,-3.480512129548905,-3.108713824130004,0.9710548030202302
39,-3.2347047475530935,-2.878445168146849,0.9687975374023642
40,-2.918834617173551,-2.647558589498947,0.9628220485603939
41,-2.6803632935747634,-2.509715288340503,0.944029203821896
42,-2.576142914236698,-2.4769140026687233,0.9237292873418862
43,-2.5266990836018004,-2.462764340451589,0.9027970915318088
44,-2.6388469152592995,-2.4957885825256954,0.8818061350302262
45,-2.64799711114886,-2.5311294086114264,0.8496235435857475
46,-2.6999839338041056,-2.5986484997160444,0.8404556001863689
47,-2.8682982595986948,-2.711852867692826,0.8396132296525005
48,-2.800085602631173,-2.7387699198195192,0.8238790128119339
49,-2.808117194243875,-2.750815151779533,0.8130092003316087
50,-2.8275017461103613,-2.7490173235242663,0.8172182423958128
51,-2.7122545030955996,-2.6785189960146627,0.8239892151490257
52,-2.503925622406444,-2.5544360855316337,0.8121795407862177
53,-2.2583813858704422,-2.407781115754409,0.7828002459645925
54,-2.464100767497647,-2.3740567074185073,0.7933071883697511
55,-2.353618757496796,-2.237726197948072,0.7671480135858578
56,-2.2480825174534402,-2.1157356214262535,0.7406978659925807
57,-2.0756935339646327,-1.9644082135062566,0.7130701626549858
58,-1.895423508854427,-1.7907163294837178,0.6946611440687166
59,-1.7943856148662494,-1.6654929436868335,0.686934335923293
60,-1.7325013826347069,-1.5671916016517926,0.6985633755819551
61,-1.6205573050288617,-1.4897975378461947,0.7050570317642357
62,-1.7104730852097418,-1.5380794181363056,0.75120604946813
63,-1.9230089195711375,-1.6522821972000574,0.8031100946180862
64,-1.922775999289245,-1.7502877091028157,0.8275224573365302
65,-1.8793708513742655,-1.8485590625270916,0.8323655605080165
66,-2.035426799130229,-2.000822014036582,0.8668668848018315
67,-2.230021467729135,-2.1408515536883748,0.9012160515920264
68,-2.3369378190771903,-2.227475927668295,0.9267372860752334
69,-2.412572272340575,-2.270038624780327,0.9597286470986289
70,-2.5208315745378838,-2.3614694352054837,0.9773204464179457
71,-2.737260170857813,-2.547715599525472,0.9854773562804645
72,-2.9676016077993546,-2.797501215431495,0.9866889998896128
73,-3.1836672010042872,-3.0584021876467826,0.9852333049789774
74,-3.627043972678101,-3.4482284679861137,0.9831151848806777
75,-4.04255822423186,-3.857395948462738,0.9864561698577067
76,-4.546468288877804,-4.36347016076204,0.9873748052350352
77,-4.676085571771572,-4.6332495998508385,0.9893859434711094
78,-4.905351327863043,-4.833088427355624,0.9919286946910614
79,-4.988886676737041,-4.931753403262127,0.9929623506433747
80,-4.81909091010909,-4.850162696493004,0.9923874590195466
81,-4.645971722183666,-4.7560808511194805,0.9908186478321079
82,-4.451714211502154,-4.585292403081387,0.9890755206002386
83,-4.3950490978871,-4.370290069396795,0.9880003690177683
84,-4.03114135432965,-4.069829145569622,0.9834170715817229
85,-3.6044144237026297,-3.838039677541745,0.9737654085194096
86,-3.546081745212697,-3.7158504220336686,0.9713219560593107
87,-3.5044788366224435,-3.590648785058176,0.9620012748588063
88,-3.4475873115960503,-3.395409437503304,0.945944806455234
89,-3.5007055056412355,-3.3760880723556674,0.9272224889609578
90,-3.5551074626042203,-3.4526467362847684,0.9166030010645785
