gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,5263.350731982566,3,0
10,24,False,False,21,managed throughout,6309.926094136987,1,1
11,25,True,False,17,drowned,3324.0977514560323,1,1
12,26,False,False,21,managed throughout,9945.261761634656,1,0
13,27,False,False,21,managed throughout,15030.261009546874,1,0
14,28,False,False,21,managed throughout,7755.338287466491,2,0
15,29,False,False,21,managed throughout,4437.429970797777,1,0
16,30,False,False,21,managed throughout,6366.796105905936,1,0
17,31,False,False,21,managed throughout,6720.9282241931205,1,0
18,32,False,False,21,managed throughout,3084.47672400313,2,0
19,33,False,False,21,managed throughout,2286.036667411008,2,0
20,34,False,False,21,managed throughout,5461.3790717954,1,0
32,46,False,False,21,managed throughout,1046.0442759026214,2,0
33,47,False,False,21,managed throughout,1525.3009899725537,2,0
34,48,False,False,21,managed throughout,1710.4981151727854,1,0
35,49,False,False,21,managed throughout,1520.2653753598886,1,0
36,50,False,False,21,managed throughout,1681.9798880577143,1,0
37,51,False,False,21,managed throughout,1678.2716416119767,2,0
38,52,False,False,21,managed throughout,2175.7396353288545,2,0
39,53,False,False,21,managed throughout,3346.1212703704896,0,0
40,54,False,False,21,managed throughout,3907.3727506691303,1,0
41,55,False,False,21,managed throughout,4936.657120237766,1,0
42,56,False,False,21,managed throughout,5146.8198066444,2,0
43,57,False,False,21,managed throughout,2451.8632095079142,2,0
44,58,False,False,21,managed throughout,4574.024325231498,2,0
45,59,False,False,21,managed throughout,7399.986947751898,1,0
46,60,False,False,21,managed throughout,7789.3047925767,2,0
47,61,False,False,21,managed throughout,6594.871556041875,2,0
48,62,False,False,21,managed throughout,6674.634622319092,1,0
49,63,False,False,21,managed throughout,2722.060177155218,1,0
50,64,False,False,21,managed throughout,8596.883668371249,2,0
51,65,False,False,21,managed throughout,7171.176756649477,2,0
52,66,False,False,21,managed throughout,2743.3738827705456,1,0
53,67,False,False,21,managed throughout,8021.133213496552,2,0
54,68,False,False,21,managed throughout,4535.380424300365,1,0
55,69,False,False,21,managed throughout,6483.602977161296,2,0
56,70,False,False,21,managed throughout,6060.451319800313,2,0
57,71,False,False,21,managed throughout,6612.488482063139,1,0
58,72,False,False,21,managed throughout,5213.291918649536,1,0
59,73,False,False,21,managed throughout,5733.8805505223645,2,0
60,74,False,False,21,managed throughout,5226.016155254916,2,0
61,75,False,False,21,managed throughout,3662.2172305461368,2,0
62,76,False,False,21,managed throughout,4465.000771883181,2,0
63,77,False,False,21,managed throughout,4683.1373948863875,2,0
64,78,False,False,21,managed throughout,3997.269000811194,1,0
65,79,False,False,21,managed throughout,1931.6819748066155,2,0
66,80,False,False,21,managed throughout,1267.8819846628776,1,0
67,81,False,False,21,managed throughout,1774.0000594644018,2,0
84,98,False,False,21,managed throughout,8878.298058271415,3,1
85,99,False,False,21,managed throughout,968.7044172286987,3,1
86,100,False,False,21,managed throughout,1704.6582987118559,3,1
87,101,False,False,21,managed throughout,11992.809084000068,3,0
88,102,False,False,21,managed throughout,3295.1507873403716,2,0
89,103,False,False,21,managed throughout,4725.236564454988,2,0
90,104,False,False,21,managed throughout,4447.991232170782,2,0
