gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,15,managed throughout,3656.6666364655744,2,0
10,24,False,False,15,managed throughout,6676.6262710010315,2,0
11,25,False,False,15,managed throughout,2414.274121559304,2,0
12,26,False,False,15,managed throughout,8377.863720081585,2,0
13,27,False,False,15,managed throughout,13519.907126712365,2,0
14,28,False,False,15,managed throughout,7476.185501530731,2,0
15,29,False,False,15,managed throughout,4896.986678446745,2,0
16,30,False,False,15,managed throughout,7393.386931252425,2,0
17,31,False,False,15,managed throughout,3527.1529412269642,0,0
18,32,False,False,15,managed throughout,3620.813331169449,2,0
19,33,False,False,15,managed throughout,2360.6222331024856,2,0
20,34,False,False,15,managed throughout,6368.14285239467,2,0
32,46,False,False,15,managed throughout,1497.7077359448606,2,0
33,47,False,False,15,managed throughout,2172.496424734301,2,0
34,48,False,False,15,managed throughout,1726.3460328661492,2,0
35,49,False,False,15,managed throughout,2371.0595470482617,2,0
36,50,False,False,15,managed throughout,1686.8394015225404,1,0
37,51,False,False,15,managed throughout,1267.481621074681,1,0
38,52,False,False,15,managed throughout,2089.9959187507684,2,0
39,53,False,False,15,managed throughout,3346.121270370488,2,0
40,54,False,False,15,managed throughout,3537.0551597159288,2,0
41,55,False,False,15,managed throughout,3270.6975825027794,2,0
42,56,False,False,15,managed throughout,5043.519551956866,2,0
43,57,False,False,15,managed throughout,2405.315426588064,2,0
44,58,False,False,15,managed throughout,4326.232383730224,2,0
45,59,False,False,15,managed throughout,7342.670228998495,2,0
46,60,False,False,15,managed throughout,7790.40851757777,2,0
47,61,False,False,15,managed throughout,6739.954362475089,2,0
48,62,False,False,15,managed throughout,6831.153113386414,2,0
49,63,False,False,15,managed throughout,2751.6621757117573,1,0
50,64,False,False,15,managed throughout,8375.149858340365,2,0
51,65,False,False,15,managed throughout,7439.210390375069,2,0
52,66,False,False,15,managed throughout,5617.797000329779,2,0
53,67,False,False,15,managed throughout,7840.589624496652,2,0
54,68,False,False,15,managed throughout,7354.455060933929,2,0
55,69,False,False,15,managed throughout,6968.199776826553,2,0
56,70,False,False,15,managed throughout,6440.00119326045,2,0
57,71,False,False,15,managed throughout,6805.9224992489535,2,0
58,72,False,False,15,managed throughout,5142.297192299308,2,0
59,73,False,False,15,managed throughout,5584.67083519645,2,0
60,74,False,False,15,managed throughout,5129.947044631914,2,0
61,75,False,False,15,managed throughout,3536.1891846392905,2,0
62,76,False,False,15,managed throughout,4317.245902173569,2,0
63,77,False,False,15,managed throughout,4458.917618878291,2,0
64,78,False,False,15,managed throughout,2721.0633518333966,2,0
65,79,False,False,15,managed throughout,1908.9386250416178,2,0
66,80,False,False,15,managed throughout,1625.845260800356,2,0
67,81,False,False,15,managed throughout,1931.5077276973186,2,0
84,98,False,False,15,managed throughout,7669.281719848151,2,0
85,99,False,False,15,managed throughout,4280.775356177284,2,0
86,100,False,False,15,managed throughout,3838.699238069942,1,0
87,101,False,False,15,managed throughout,6039.292350488783,2,0
88,102,False,False,15,managed throughout,2712.126157841333,2,0
89,103,False,False,15,managed throughout,4338.414652347571,2,0
90,104,False,False,15,managed throughout,3243.6931614875843,2,0
