gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.51514302248952,3.2937418183947362,0.8594290166484716
2,3.609717400935369,2.906013925675292,0.8963139280059773
3,2.8082202896872333,2.392872461260544,0.9208562032611424
4,1.9984625831016274,1.8123753645897196,0.9421910069652468
5,0.954077425430387,1.1923417311992035,0.9093970401032966
6,0.5020682851232777,0.7182924725864752,0.7991343200408675
7,0.261745057688222,0.41763443586012194,0.6280477352079661
8,0.19623797466165344,0.20969673609792158,0.38930552169980936
9,0.09969992796732186,0.05138370488722055,0.04363061492743725
10,0.032624516512441915,-0.05414698915357064,0.06276597541231888
11,-0.011282580515398877,-0.1362249275465273,0.32821813457448645
12,-0.09667937889826135,-0.2107090832894294,0.5669163017185557
13,-0.16128916884908903,-0.2725641763336673,0.7091823044196636
14,-0.258110848236538,-0.3375417010120119,0.7926523968920366
15,-0.25660002736212845,-0.38039051172323773,0.8105843353276013
16,-0.2649665350160831,-0.42806468275649356,0.8122744414955652
17,-0.4365865337044852,-0.5122623184710259,0.8885347695477895
18,-0.5439872914243097,-0.6010405294275238,0.9065736404420341
19,-0.521417567757544,-0.6804451458411627,0.8884373681717982
20,-0.6038314746710057,-0.7991616271228832,0.8919110179395567
21,-0.7582176866185364,-0.9191148990368597,0.9259028739546622
22,-0.9911192496277181,-1.0652556732830265,0.953388859493559
23,-1.116176374424049,-1.173589677910979,0.9591339282138565
24,-1.3029712207614466,-1.260014993976637,0.9640054764603979
25,-1.2812636121692775,-1.290533976276592,0.96275851514815
26,-1.1898313119394515,-1.288522198448183,0.9529490586718812
27,-1.1035492510032783,-1.2798380005869467,0.9397251321355938
28,-1.1367221489676922,-1.2972894748605486,0.9438018780931634
29,-1.237326952429339,-1.3519938957907232,0.9543176354909888
30,-1.2452464854835852,-1.377937588371155,0.9607925100226347
31,-1.228719439683573,-1.412710889586908,0.9666477863103721
32,-1.3128048704545108,-1.493364625477082,0.9788507282661264
33,-1.4314303626231777,-1.574264459121343,0.9882766915466112
34,-1.6717940148313573,-1.6886018444281266,0.9872070907129705
35,-1.8100871930116227,-1.7781321016421108,0.9767727805279303
36,-1.931445315556084,-1.842450809081852,0.9660166356133606
37,-1.9927625096817791,-1.8597760451258127,0.9603356811278665
38,-1.8235586950401739,-1.799244651120975,0.968739526504449
39,-1.6798599117538289,-1.7024799488591036,0.9747811653129075
40,-1.4995935601396924,-1.5717167309857243,0.9802287228034977
41,-1.3115041607744389,-1.4231861729926534,0.9819762768999075
42,-1.13251378277173,-1.2749129176828522,0.9797468881265374
43,-0.9878236872245907,-1.132791844996106,0.9747601825944852
44,-0.8850106643317304,-0.9997235763232339,0.9703778869663984
45,-0.7156991106931855,-0.8614622100856419,0.9564939743567684
46,-0.6231076711051173,-0.7479089828891587,0.9445180942842137
47,-0.5835185259982609,-0.6459958344096065,0.9336058588551994
48,-0.4978830118087899,-0.5344850505555365,0.8989926857769022
49,-0.33008039054366234,-0.40662392862791535,0.8208721974771778
50,-0.15166024571544767,-0.2777556283450017,0.6131985520242417
51,0.013557668968951475,-0.16059822299976698,0.2755236738891278
52,0.13055966053698284,-0.07076811010339687,0.05466062416401307
53,0.21963571958876854,-0.016159443569196918,0.002733611403380798
54,0.2032145198461876,-0.011519811573831694,0.0016143046124358351
55,0.1258719488224415,-0.048159794168532284,0.03773342124524193
56,-0.10402480016573463,-0.12748915028305183,0.3521855902367095
57,-0.11357753319316544,-0.17644325519435738,0.5811234648397576
58,-0.16644011982725715,-0.2398632266173311,0.7426322374882204
59,-0.2546501940660164,-0.31843444135257526,0.8468064754079925
60,-0.3511616830991443,-0.4086440284072449,0.8912408946802978
61,-0.4024540306612835,-0.4979921410202573,0.8959260503920137
62,-0.5871957528765961,-0.6188951244979924,0.9372494583957336
63,-0.6633859879744705,-0.7308348202823538,0.9418341168520982
64,-0.7427060589827306,-0.8584870947855004,0.9406807210749062
65,-0.8092358052283999,-1.0091047660000905,0.9365291943205079
66,-1.0106753016843868,-1.2165423547037446,0.9583324886382841
67,-1.3284726808192318,-1.4779715349162745,0.980871194819908
68,-1.6588218948767461,-1.747250176071531,0.9916095253113593
69,-1.9861156579834642,-2.0180264209174346,0.9943886622536121
70,-2.197109629505758,-2.2279998671643253,0.994823309240992
71,-2.3780948898434873,-2.3906387226564627,0.9947517910714728
72,-2.477551216321808,-2.508083987265373,0.9929074844681297
73,-2.446905762941424,-2.570090914654439,0.9912499896973463
74,-2.531115621264598,-2.633767246030985,0.9874618799383907
75,-2.6540916379337434,-2.69210269914255,0.9811541458555754
76,-2.739798851289561,-2.706436826978637,0.9724954856126291
77,-2.711151520118892,-2.6702184970791913,0.9627763248856522
78,-2.6862171131550894,-2.563094810361971,0.9496963312997445
79,-2.4978503092329447,-2.3674836428277075,0.9394974707745135
80,-2.2028614576938708,-2.087907771872007,0.9325135374486468
81,-1.7707566663393663,-1.7111668187311608,0.9280993408113486
82,-1.3484421128006943,-1.2770659496716954,0.92453851798821
83,-0.8490106769085287,-0.7898322015031661,0.9157705077886666
84,-0.3369776979423477,-0.2650585688877441,0.5881028799894861
85,0.296423608951045,0.2731921717090159,0.362618386250246
86,0.886225089902473,0.7636637497529584,0.6028338448930604
87,1.429128098010824,1.1765410793003177,0.6240680235007297
88,1.9179337119428055,1.4718526099016969,0.5881235161417191
89,2.463777357570416,1.6161532174347413,0.5096854081268993
90,3.0576780045792473,1.5336570974627204,0.37551822557526404
