gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.419643647123758,3.1738913762165692,0.8481354606811515
2,3.4978854042799865,2.762109671935567,0.8840604443757349
3,2.670333149039834,2.2216553410183426,0.9051168222141522
4,1.8320521217971872,1.6144076151623292,0.9124272471453326
5,0.7561410781269842,0.9708568141259352,0.7957323865175521
6,0.26245876371594934,0.4776782768754183,0.4310426052118218
7,-0.04514625547035393,0.1237963107724067,0.04527963551024683
8,-0.10973556547687621,-0.08524738904872756,0.027735606522345746
9,-0.12547321472156908,-0.20536559586121575,0.2102001436283264
10,-0.1787677389460441,-0.29860598014131645,0.45617459073454103
11,-0.20779394245446384,-0.36974751823101104,0.6323442782187481
12,-0.28256283289119893,-0.43445110916045077,0.7563025480056433
13,-0.34483991310708006,-0.4913244082858503,0.8344330966621682
14,-0.44705355727219287,-0.5593136313091015,0.880564231339697
15,-0.4581967166620416,-0.6147405615394309,0.8894225497055881
16,-0.48947014960831436,-0.6882108520557947,0.8889993246506932
17,-0.6937393493155468,-0.8104307676336718,0.9291973738593132
18,-0.8472109771483701,-0.9517141263692869,0.9359111064725122
19,-0.8930438595891246,-1.103158757058211,0.9221881668692776
20,-1.0556222424112094,-1.3160157785948918,0.9250330834748808
21,-1.3726978587860685,-1.6030952324716863,0.9418463369805736
22,-1.667564601551021,-1.8230875516103602,0.9543472129639894
23,-1.829528280408158,-1.95348421157741,0.953969550287311
24,-2.038252385421856,-2.0668236764016177,0.9508252917758631
25,-2.0327620437057705,-2.1155850277863233,0.9506103745675699
26,-1.9548673003830117,-2.134045582549523,0.9528063071779639
27,-1.8667488256260185,-2.1460841826322365,0.950867649525695
28,-1.9419742554453479,-2.178314087413869,0.953166731498592
29,-2.0252069649827718,-2.193806976381645,0.957879190905796
30,-1.9810697909198098,-2.144996585521395,0.9604131064390886
31,-1.8950448689581207,-2.1025609146551134,0.9636816036172738
32,-1.78292305072855,-1.9967792884388695,0.9746302867943709
33,-1.8055239718672056,-1.966202391388368,0.9868416693169114
34,-1.960201635030535,-1.990049355895401,0.9935223002623469
35,-2.0303127632757425,-2.007403784129308,0.9888133295196202
36,-2.0986717025998587,-2.015457146289347,0.9799674664614119
37,-2.1188466978205724,-1.9879634413733567,0.9730202244807288
38,-1.91815262328264,-1.8927612576510733,0.97776394053379
39,-1.7493662324126489,-1.7706272144756472,0.9812818645845488
40,-1.5513615788648167,-1.6206493814846628,0.984683109013659
41,-1.348618373051886,-1.458571869962617,0.9851637249148635
42,-1.159965411378289,-1.3003460011028236,0.9821081486763619
43,-1.0081737121644436,-1.1508638466835688,0.9766919134147517
44,-0.89995792175514,-1.0123927281444585,0.9721058158859189
45,-0.7265076085667715,-0.8702247793948987,0.9581156371086148
46,-0.630811817502763,-0.7538853908017477,0.9460399493594215
47,-0.5889408289531275,-0.6500111521254407,0.9350830826327914
48,-0.5016692688387593,-0.5371413532550918,0.9005021655464769
49,-0.3327426896266843,-0.4083586794172885,0.8224507172872821
50,-0.1536170489244796,-0.2788923501963566,0.6151309797823907
51,0.011939646357313904,-0.1613908208812251,0.277355890218688
52,0.128919523264085,-0.07144343995415661,0.05560034077630416
53,0.21756688632294754,-0.016961805011277614,0.0030064372003869577
54,0.20020850320088357,-0.012761223193586373,0.001974892893979119
55,0.12124707938974097,-0.05028423609227531,0.040785457147857196
56,-0.11120918532424184,-0.13115575583096936,0.36269711068447663
57,-0.1246326480022617,-0.18263747107693437,0.5915273754300018
58,-0.18321034296686775,-0.2500500704687732,0.7481898306899994
59,-0.27962636331576507,-0.33473704116403813,0.8458552824995995
60,-0.3880731535624363,-0.43419504128434305,0.8854579103010232
61,-0.45672589749638065,-0.5373296993326453,0.8878156468368996
62,-0.6665668228829418,-0.6785457547585321,0.9247261209747792
63,-0.7773279520565666,-0.8199034766582973,0.9269483484573681
64,-0.9082495547526378,-0.9913582443331773,0.9244174385559674
65,-1.0481601769084592,-1.2059554107767427,0.92042852956741
66,-1.3499514150521463,-1.502713280606047,0.9397364671057755
67,-1.7971417872851816,-1.8881129860171446,0.9615510901706183
68,-2.3393924026060633,-2.3626844299370346,0.9712071646675711
69,-2.815138489948731,-2.776815588996803,0.9776391933261559
70,-3.1893128827890904,-3.135607895268241,0.9796131996379867
71,-3.525139843116631,-3.4204579023731596,0.9833558342597241
72,-3.7435348538231663,-3.648643345536779,0.9839918184369999
73,-3.809001506715049,-3.8252229797743986,0.9847753169344046
74,-3.8918710135129913,-3.9463522509201683,0.989735267694086
75,-3.9650553695331836,-4.026485883228653,0.9917298516000055
76,-4.003388383771562,-4.025180507821,0.9865932606501728
77,-3.8949391541434126,-3.8990511605557927,0.9733738148999839
78,-3.8024786029796815,-3.6969578361545956,0.9544745840054493
79,-3.5422442569209123,-3.447267316771546,0.934038058163598
80,-3.203015322801002,-3.1089712379401298,0.9153635473046804
81,-2.6834653053002513,-2.668477288790636,0.9028783573966334
82,-2.1714947652236334,-2.1348413510192166,0.8911841936498992
83,-1.5776934672583593,-1.5236754114540587,0.8897924441347989
84,-0.8848853994461023,-0.8833072037262402,0.861189342730121
85,-0.16410511517506166,-0.25714073114116065,0.3080054897506399
86,0.5104775405642613,0.3159888417676964,0.19778443683752844
87,1.1236976791950837,0.8043518123574255,0.4206939418986033
88,1.6697727717040833,1.1685712295821609,0.4572022546698281
89,2.2638119674884365,1.3752137099046333,0.41603094741285873
90,2.8977939937247355,1.3462009111603903,0.3084531539843467
