gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,4.523458713491164,3.295881214079892,0.8597743243046854
2,3.630768325390818,2.911453853425856,0.8972261768292761
3,2.861226531050761,2.406603448712328,0.9231908206773994
4,2.131785772237163,1.8469570039752636,0.946535770888155
5,1.291686805388963,1.2799719462028416,0.8994316403742509
6,0.7706477369679305,0.9554189703806584,0.692365955304844
7,0.7941845268647739,0.7219386951419967,0.5264363520702962
8,0.8284277639441825,0.5443882906248152,0.3730791731130003
9,0.7703606392922666,0.4007354968430417,0.2362244304820782
10,0.7190991229842438,0.29892816435411274,0.15219620254988786
11,0.6885300283698598,0.2139714714586903,0.08933125506147754
12,0.5816290770369961,0.13751160510917526,0.040345287618757886
13,0.47430279352975047,0.06710631150332982,0.01062195779102948
14,0.28850081938535366,-0.025249814498839042,0.0017663141050723308
15,0.041436146148771516,-0.133438565429108,0.0594448478140126
16,0.14360784140726537,-0.3220654310789982,0.47385294053541904
17,-0.25548066457640745,-0.46535490606055474,0.8234594194491507
18,-0.4184652397658283,-0.5685673408677121,0.8844978460296595
19,-0.3323234584168858,-0.6314493050373139,0.8560385683447324
20,-0.17171379862766117,-0.6870284889499911,0.7797012991955816
21,-0.4387168921495686,-0.6531639943017454,0.6048301902425999
22,-0.4145334484012892,-0.7312505153103742,0.6242821711396305
23,-0.42999358722117903,-0.8148014437739408,0.6567348416499881
24,-0.5887325631191743,-0.8905655162923528,0.6874767596217082
25,-0.5667180016303973,-0.919798042486258,0.70534130214406
26,-0.5056112648425369,-0.9269100712689515,0.7239824207868657
27,-0.5230053890793898,-0.9445219911204632,0.7469760536844283
28,-0.8240213872352797,-1.0313088027789339,0.7990449166498288
29,-0.8060175944990078,-1.2399758761407693,0.9253654905039569
30,-1.0766118064164403,-1.334143655547359,0.9594705476238634
31,-1.1627879502580982,-1.3955908495348814,0.9666504408784715
32,-1.287028766522326,-1.4866729397271679,0.9787950623886742
33,-1.4213540077750622,-1.5716494973960582,0.9881097431898007
34,-1.6678555835844235,-1.6875803689482547,0.9870836645016884
35,-1.8085482237902397,-1.7777333357892173,0.9767066323024141
36,-1.9308442154853764,-1.8422952952263936,0.9659863271368339
37,-1.9925278975886613,-1.85971549393876,0.9603228835020517
38,-1.8234672322331789,-1.7992211343192883,0.9687346230474775
39,-1.6798243223670397,-1.7024708514412277,0.9747792908423489
40,-1.499579753121634,-1.571713233199529,0.9802280172944281
41,-1.3114988292667475,-1.4231848408891108,0.9819760153308358
42,-1.1325117387184946,-1.2749124177548619,0.9797467884053627
43,-0.9878229116486181,-1.1327916615078641,0.9747601436336893
44,-0.8850103734715049,-0.9997235109418978,0.9703778709465533
45,-0.7156990007851164,-0.8614621869637599,0.9564939675484331
46,-0.6231076232618762,-0.7479089727487571,0.9445180906011231
47,-0.5835184900880449,-0.6459958247249001,0.9336058544459364
48,-0.49788295892303724,-0.5344850331882212,0.8989926748002169
49,-0.3300802898053007,-0.40662389329867366,0.820872164458483
50,-0.15166004607053765,-0.2777555566132963,0.6131984310882712
51,0.013558063372329343,-0.1605980791121987,0.27552334159987657
52,0.13056043296091957,-0.07076782433221676,0.05466022461857245
53,0.21963721880165393,-0.016158880802076288,0.0027334238733599525
54,0.20321740154377038,-0.011518712915053589,0.0016140004417347642
55,0.12587743282156225,-0.048157668032684675,0.03773038896398839
56,-0.10401447434369401,-0.1274850736705652,0.3521736273324605
57,-0.1135583121495074,-0.17643551573915817,0.5811100461607623
58,-0.16640477337004994,-0.2398486856608264,0.7426243581723954
59,-0.25458602437283845,-0.3184074184914359,0.8468095165462992
60,-0.3510467768233866,-0.4085943878583822,0.8912543852829453
61,-0.4022512613049912,-0.4979020606160363,0.8959478610022128
62,-0.5868435083036274,-0.6187337743689845,0.9372876124357903
63,-0.6627844164168891,-0.7305498463241826,0.9418872192435848
64,-0.7416971448623372,-0.857991200915314,0.9407466879664154
65,-0.8075755175274935,-1.0082550610912777,0.9365970035277488
66,-1.0079973218668783,-1.2151099297761898,0.9584061717558715
67,-1.324242700674222,-1.4755976376390911,0.9809231470421882
68,-1.652283198461464,-1.7433849870539364,0.991609289338872
69,-1.9762331879547674,-2.0118490269230693,0.9942586701435565
70,-2.182511718684691,-2.2183116548875437,0.9945206589161931
71,-2.357042381926294,-2.375734384066081,0.9941718727606371
72,-2.4479387806885824,-2.4855961470113113,0.9918389363591515
73,-2.40777529121533,-2.537292481014881,0.9895622826739069
74,-2.478054964367766,-2.586104260764115,0.9844875148012932
75,-2.5853603132620266,-2.625987621392101,0.9761239948713655
76,-2.6471251556067728,-2.6112254967515325,0.963779223548224
77,-2.583643345992732,-2.5334068984131433,0.9476828025353562
78,-2.530748018413578,-2.3767543027655194,0.9242917981238122
79,-2.30372805926163,-2.1176904807230157,0.8969920799007466
80,-1.9826935249966482,-1.7509457554907242,0.8557062364618144
81,-1.4956222252209046,-1.2768554704584028,0.7758891705248223
82,-1.03434092384432,-0.728811500683451,0.5341745152181436
83,-0.4811749422206958,-0.11850469551687505,0.020933649955816702
84,0.06293176412928006,0.5378628774350086,0.14780567097592023
85,0.7283337661052428,1.1623522320225994,0.3927370304429789
86,1.3279310365711354,1.6956371754697614,0.5269485625106913
87,1.8700143961945286,2.106097304433967,0.5931166219413325
88,2.349551292877732,2.3538718830522587,0.6172934587420013
89,2.8644815732801363,2.4080936808312265,0.5869784715998909
90,3.4296120412106577,2.192276828889728,0.539897670846765
