gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.1629880684863565,-4.163897948492498,0.8631980847669921
2,-4.811325827466225,-4.24104658387513,0.9079129141289523
3,-4.088264985229398,-4.049229013196154,0.9500084812364337
4,-3.452153654864742,-3.7630110836101247,0.969470860152472
5,-3.307653774816117,-3.5166662418060497,0.9809678173413192
6,-3.446205974687382,-3.283332420190253,0.981565715307759
7,-2.938703047481431,-2.8953108031260593,0.9921813307123608
8,-2.3069576237848195,-2.4520443191662706,0.9973371777478931
9,-1.856171819435167,-2.042099337009201,0.9949759562128454
10,-1.5435684055135426,-1.691502927105063,0.9912011310974601
11,-1.371059338215855,-1.4027600515189618,0.9897628654838051
12,-1.083318989966574,-1.1201429390609041,0.9781386364426394
13,-0.8737311599942587,-0.8785751513508856,0.9590329393531716
14,-0.6410715714666366,-0.6591009467940182,0.9104097732838203
15,-0.3501773062534994,-0.4603669076300066,0.7645798645561095
16,-0.14603004786949897,-0.3143921651659484,0.5401982918398545
17,-0.30166203636308636,-0.2669767288637939,0.6266497630562181
18,-0.27704152302212603,-0.217595180154427,0.5692990196125979
19,-0.11505290578661516,-0.16373698411954393,0.4028982795502719
20,-0.048212057985620047,-0.14917981779420073,0.32975940884676347
21,-0.11736309139150762,-0.18762898280720477,0.5251979156073008
22,-0.22665296903287527,-0.248760201555037,0.774271052968388
23,-0.33261489551532575,-0.31014060627994494,0.9030114844955922
24,-0.47174576047282246,-0.3668934235924746,0.9221149026526789
25,-0.47059644657683747,-0.39188431645730715,0.9421142792660986
26,-0.43508571233660404,-0.40306231121887565,0.9381247260029973
27,-0.321936938833187,-0.40348343139838777,0.8660631423258225
28,-0.3521429605682897,-0.4337049946711125,0.8446793365237633
29,-0.35471403458441275,-0.46213051312176817,0.8242205491686472
30,-0.32940370413161874,-0.49924007139989446,0.8088220199515215
31,-0.39599727153063213,-0.5568275504151106,0.8635716308335029
32,-0.5102612488656633,-0.6514084291850378,0.9331651241015011
33,-0.7220875719895957,-0.7921658135768176,0.9905384054495912
34,-0.9986018150249947,-0.9599462511830986,0.9960909720750746
35,-1.1459019286465264,-1.0974679276776744,0.9840558915900564
36,-1.3508354380799574,-1.2222536485010225,0.963660033953676
37,-1.5166077210775257,-1.3042918253761615,0.9442136199119909
38,-1.489504861981186,-1.308499396876452,0.9468502056302911
39,-1.3980315673366932,-1.2550985102517882,0.9563197468190747
40,-1.2202546942908157,-1.1466092566840034,0.9727796811882811
41,-1.002155637740816,-1.0044525031975966,0.9880131967941811
42,-0.8007999229338566,-0.855515575379339,0.9945930075783496
43,-0.6302133509461783,-0.7141056842528455,0.9918072620653425
44,-0.5676498082285434,-0.5965837960106507,0.9951061990917454
45,-0.4316742317831995,-0.47119116183069376,0.9820767768597183
46,-0.3190561087077185,-0.35813141694231027,0.9538060744933138
47,-0.24721589364535249,-0.25935507887894776,0.9125783286668562
48,-0.1495323762885164,-0.1622197464694831,0.764816861025823
49,-0.061802606757555625,-0.07401082683087781,0.3623744725770417
50,-0.013302171267059747,0.004286487135914871,0.0018041846245629989
51,0.06922044822777025,0.08509491121482836,0.35783467426822047
52,0.16179530986937607,0.16108675614053597,0.5964880970675044
53,0.2609448138016887,0.22545306872580678,0.6685111677735454
54,0.22755693573108146,0.25262365548011056,0.7399139771464549
55,0.30348948935379666,0.28204364766663365,0.7470595438069827
56,0.38779115836114214,0.29689285324504533,0.6978073030315435
57,0.3006545257740072,0.2623248977972217,0.7150090841777326
58,0.21186940753386807,0.20826213696182594,0.6796608003349129
59,0.21179644551348248,0.15595195964677605,0.5308443029311429
60,0.054015002865162386,0.06683221176037674,0.26376369153456714
61,-0.005612085558186664,-0.012482623048772496,0.013921427137186804
62,-0.1487994179244197,-0.10918931665138967,0.5590058490434804
63,-0.19849748528886266,-0.19249287409814175,0.7764075748372139
64,-0.19911424403708225,-0.27450633062946056,0.7948119567565559
65,-0.2892210643248291,-0.3875836166973114,0.8606949912086231
66,-0.37219078434472974,-0.5232781226952721,0.8988941123524921
67,-0.6129228163186781,-0.7136225405057894,0.9741174744870669
68,-0.9553942381790875,-0.9474190107566214,0.9997016544180235
69,-1.259762195130861,-1.1776584035970576,0.9938269296618772
70,-1.4237835206718046,-1.3745996008145613,0.9931858330391862
71,-1.6284724329075289,-1.5646363062377078,0.9908406421623824
72,-1.8349987595566746,-1.7390926572694114,0.9889328653338757
73,-1.9715879196511197,-1.8795552823335384,0.9897525840586092
74,-1.9830278949036255,-1.9724291415195168,0.993511297856308
75,-1.9875171131428033,-2.051813909236333,0.994459336893143
76,-2.056522128520373,-2.1361969799755505,0.9935504767525103
77,-2.1871200554202006,-2.221915540233743,0.9907216786718904
78,-2.4165924940415606,-2.29277324112438,0.980326690856648
79,-2.374079463587259,-2.2611722179578497,0.978508493487648
80,-2.1914729574234117,-2.1394103292127,0.9780875114354335
81,-1.9080029100102365,-1.9428975567541948,0.9857501336074327
82,-1.6618464239653803,-1.7156055136095874,0.9902551611451332
83,-1.3355465986649506,-1.4396460199847485,0.9897724296965751
84,-1.1530802360588495,-1.1676663779816034,0.9738550876153302
85,-0.9530910657017557,-0.9218352251748883,0.9108483950625328
86,-0.6562905565050642,-0.690693387176845,0.7367006639451887
87,-0.4015292025779672,-0.5167152421534656,0.4690456935866766
88,-0.2993357720527456,-0.44217732152295186,0.30848563632100257
89,-0.16282941094950729,-0.45319917237312324,0.24702771279596702
90,-0.10394424097148658,-0.5943014929711872,0.3003161807546607
