gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,-5.173289917972215,-4.175882246494079,0.865373179508129
2,-4.825947633316173,-4.259571782867006,0.9103811271510485
3,-4.1084609509014625,-4.0766813120135525,0.9523644820959188
4,-3.4793917210016843,-3.8023928480944473,0.971322840769661
5,-3.3437708479822503,-3.571684666118774,0.9823412840794737
6,-3.49370277703938,-3.3585102051745626,0.9833434431803947
7,-2.9981196971525605,-2.9957889675396716,0.992954580705363
8,-2.3906088418122637,-2.594594509353023,0.9958132616185622
9,-2.0710774864609447,-2.259391616012273,0.9962546051166227
10,-1.891563573240728,-1.9733579046981724,0.998639245176154
11,-1.7668289573468428,-1.7194095691910898,0.9983858150616782
12,-1.467819507013155,-1.4364799117639033,0.997487030717276
13,-1.2029562844641988,-1.1673255369874262,0.9942297845722766
14,-0.891173752744362,-0.8996984720636594,0.9825726820919615
15,-0.5244748383606748,-0.640389018344543,0.9199412985647194
16,-0.24602795941355,-0.4258867228630925,0.7586800206784048
17,-0.3261971372447988,-0.30265754303841963,0.798996092548153
18,-0.2225527199143471,-0.16999445046832093,0.5990138563832349
19,0.024394005333670067,-0.02426761270392649,0.026103828950493235
20,0.18350067532210232,0.09224763951436867,0.24287536724425451
21,0.22011801873077275,0.17002639253430105,0.6452173190801855
22,0.22688833659713054,0.23355449124651947,0.8719295852741433
23,0.23462595577484535,0.298900902799597,0.923980724950928
24,0.21818624547386206,0.37215738030588663,0.8880633164845771
25,0.3748545645456943,0.499916296100694,0.927767028791847
26,0.5907686511245629,0.6535443963579433,0.9261709632237528
27,0.9195429467861687,0.8305511845430373,0.8829805694821633
28,1.0993349480655525,0.964005470189129,0.8511542078897713
29,1.2731530767096957,1.0572889119908313,0.813597653441473
30,1.4188367570745868,1.0979757397283352,0.7762231615128021
31,1.3647986594139183,1.031055849128099,0.754281505273873
32,1.1648485524892749,0.8700356595493801,0.742433714500986
33,0.7747157357512151,0.6112145426409912,0.7552788844868862
34,0.28289407899792424,0.2917834471186181,0.7726932132114677
35,-0.09745436947823691,-0.024648621264984252,0.08787859838174816
36,-0.5059948213978714,-0.3304500724913664,0.7274139355488431
37,-0.8508310935050758,-0.5862564754945782,0.7739254831145945
38,-0.9823801326133434,-0.7543843548499596,0.8428304235599366
39,-1.0330327222302913,-0.8533830102202853,0.8968695528946631
40,-0.9840956443191317,-0.8877003065420788,0.9468065349826217
41,-0.8875198647306206,-0.8815451008200285,0.9809698179762477
42,-0.8021792741436002,-0.8641438276232547,0.9929397902284551
43,-0.7463156412103672,-0.8530299906819823,0.9910251383957432
44,-0.8012150003622083,-0.868323195729675,0.9949948981975801
45,-0.8026287121383575,-0.882598870739897,0.993977322626021
46,-0.8383148807727594,-0.9152615085403425,0.9956069384316314
47,-0.92936102853173,-0.967463935522455,0.9987733518890928
48,-1.0123587220810806,-1.0210107391889622,0.9966879463548165
49,-1.1094281995643542,-1.075327060243589,0.9890960008606929
50,-1.2238354400300522,-1.116942436562639,0.9753583847006139
51,-1.2447335885560278,-1.1173019063029568,0.9672331476679223
52,-1.1837705887303855,-1.0748709681254167,0.9679392739360977
53,-1.0522384794341633,-0.9884388128680046,0.9743321432731796
54,-0.9971275899745706,-0.8949481271378088,0.9749427435842547
55,-0.7837973230966782,-0.7531364399105197,0.9924342807554752
56,-0.5318865684356752,-0.5981789012451437,0.9892641924297728
57,-0.43198531110147087,-0.4760893424097523,0.9878141259428037
58,-0.33933600749160175,-0.3661873773713259,0.9676053274836448
59,-0.17255308587191392,-0.2541417930290102,0.8400967285927998
60,-0.17424619745052042,-0.18084927908480458,0.8094032877738115
61,-0.08482048844298333,-0.1003293158618652,0.502208101036433
62,-0.08219252493881868,-0.03936728300058976,0.11845078970190615
63,0.0014922513501005596,0.031685257680622754,0.05425184891850077
64,0.1381970194396672,0.10406786150359645,0.24884821188285144
65,0.1929419697731646,0.14624358750921332,0.30174377355534676
66,0.26609887742042704,0.16616685652708257,0.26666764271936494
67,0.19572737731978124,0.12785759636218053,0.16393578973420753
68,0.03947317946785915,0.034321020716227515,0.014148724910914012
69,-0.0771806184930938,-0.07939158301356328,0.06268264609514773
70,-0.10207038607040886,-0.210524538122444,0.25622203138792443
71,-0.23605631502086907,-0.4036252044921584,0.5110583344068766
72,-0.47253198658672774,-0.6605700078782786,0.7330094743639746
73,-0.7654054196535981,-0.973940836848699,0.87206773163818
74,-1.0899505821472304,-1.3456990904816437,0.9415985410646622
75,-1.5178188398396741,-1.7674220146637614,0.9815827451660878
76,-2.0883860286781784,-2.2534343316075507,0.9968953526907229
77,-2.716208024930711,-2.755644813566232,0.9929082355644192
78,-3.4643201593235062,-3.2536568959561616,0.9768293447937472
79,-3.9290186972157244,-3.636975611852739,0.9653235978024045
80,-4.215476859989576,-3.8961382512360236,0.9591589358074268
81,-4.319424912093564,-4.024205072424821,0.9577720490206032
82,-4.3362651650209045,-4.0144951807183675,0.9570135974617123
83,-4.158533024512872,-3.86569375609982,0.9604812471231289
84,-4.002658572594919,-3.6248176962107617,0.9638302915492938
85,-3.6298108311997566,-3.239601949638779,0.9721991442752986
86,-2.990462678375752,-2.741724810660721,0.990067789081327
87,-2.2256267731790103,-2.1947237941632456,0.992534672089386
88,-1.4792960430103448,-1.6686653880296287,0.9030450049016993
89,-0.6033025092428943,-1.207179342492796,0.6044067581637913
90,0.25350801308986776,-0.9132062496285047,0.29428080413221225
