gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,0.52388553041892,0.47980135623507564,0.9620190048211456
2,0.041515791826077474,0.17149310211444949,0.49409923074032625
3,0.015914356827943267,-0.02872683754153053,0.0736341488054344
4,0.004046317975007696,-0.19843038817313802,0.5000616053402194
5,-0.4183822131897614,-0.4333707867270409,0.8390876757820481
6,-1.0502296564222888,-0.6742955691636451,0.710014293689634
7,-0.9659323560939811,-0.7259493685129009,0.8230858915096414
8,-0.7055587448197003,-0.6848763144178388,0.9226854191118964
9,-0.5675583180476679,-0.6257369509864826,0.9591445841097105
10,-0.5137717941640403,-0.5699052003425811,0.9791033293860844
11,-0.5533085978429881,-0.5239382401700368,0.9860973520354456
12,-0.43980069718618325,-0.44069022696653154,0.9965411198457292
13,-0.3715806800952123,-0.35873385830830146,0.9889802197778218
14,-0.252558450403194,-0.2647847650335688,0.9190010497154874
15,-0.0521800605273711,-0.16373438241321742,0.5244433202627867
16,0.08036322803818621,-0.09354911612641226,0.1575989614539054
17,-0.13112761385455088,-0.10409931528427532,0.3575546287784901
18,-0.149644186162368,-0.09853457694423533,0.33627219444252565
19,-0.02060487845865282,-0.07741657794632625,0.1916945389356094
20,0.02127414305596176,-0.08710645065073466,0.18258025180189108
21,-0.06663594350948188,-0.14335740039125258,0.4564124458083093
22,-0.18991429416437314,-0.21744894685335736,0.7753294820936167
23,-0.30621453747007765,-0.28817635435865874,0.9129548909505308
24,-0.4529323639553695,-0.3516190844726169,0.9241660343689959
25,-0.45729692266886557,-0.38135031077718784,0.9449067765684201
26,-0.4257584358841996,-0.3958566047445785,0.9409443939088339
27,-0.3154481501406735,-0.39859483105781424,0.867189471077233
28,-0.34766607960818874,-0.4304159295518123,0.8451974568148337
29,-0.35165085468679536,-0.45993583861823767,0.8243617613364045
30,-0.32732509943780314,-0.4977875119693786,0.8087656921661719
31,-0.3945983661666105,-0.5558738112450292,0.8636411577368733
32,-0.5093278410090534,-0.6507873535861887,0.9332449157727574
33,-0.7214700725783587,-0.7917646470342873,0.990566395370489
34,-0.9981967832568444,-0.9596892094444661,0.996069827354718
35,-1.1456385264992606,-1.0973045491104267,0.9840287845437826
36,-1.3506655975233115,-1.2221506260330097,0.9636365241945015
37,-1.5164991463410842,-1.3042273787487997,0.9441966100577592
38,-1.4894360295020306,-1.3084593917014393,0.9468396190815669
39,-1.397988288644683,-1.255073865246643,0.9563134172818808
40,-1.2202277115279685,-1.1465941914669273,0.9727761851436174
41,-1.0021389693633864,-1.0044433717376724,0.9880114684946293
42,-0.8007897488655544,-0.8555101014764992,0.9945922916466344
43,-0.6302072587051952,-0.714102461644256,0.991807055057502
44,-0.5676463074770254,-0.5965819736018226,0.9951062457441581
45,-0.43167243973211955,-0.47119024519547925,0.9820769512150815
46,-0.31905555848579753,-0.3581311501719737,0.9538061861325265
47,-0.24721642817075917,-0.2593553809534892,0.9125781097958249
48,-0.14953410746502413,-0.1622206885336867,0.7648162366666553
49,-0.06180593256331122,-0.07401264554141558,0.36237947386000813
50,-0.013307853116566548,0.004283337826027602,0.0018014527639288458
51,0.06921113956914268,0.08508966236264538,0.3577900175341685
52,0.16178035330931378,0.16107816043822568,0.5964386942886247
53,0.2609210650323803,0.22543914221271952,0.6684560434803736
54,0.22751958393901078,0.2526012893726511,0.7398370190987428
55,0.303431238475423,0.2820080101922293,0.7469517790398614
56,0.3877010656768107,0.29683651217967855,0.6976475321467546
57,0.300516353459534,0.2622365360432596,0.7147186731372837
58,0.21165922285135821,0.20812464122556965,0.6790721053109762
59,0.21147921537103684,0.1557396400826021,0.529685043984967
60,0.05353988580609439,0.0665068628149842,0.261072987747645
61,-0.006318590188857343,-0.01297748596374139,0.014933536124530189
62,-0.14984299757297775,-0.10993652681657894,0.5598995605228445
63,-0.200029341010395,-0.19361284855595187,0.7760149177146437
64,-0.20135026724838098,-0.27617306631171384,0.7946708327745936
65,-0.2924702293921655,-0.3900485005342765,0.8603867858066325
66,-0.3768892044993663,-0.5269009491792959,0.8986342850779966
67,-0.6196725287073604,-0.7189136216414711,0.9735953652671611
68,-0.9650075893691792,-0.9550950455945252,0.99961803354139
69,-1.2733928948313404,-1.1887249715336115,0.9944049712404885
70,-1.4427951297817345,-1.3905050040915738,0.9941166536550193
71,-1.6546909960628,-1.5872421303704976,0.9922207702376458
72,-1.870781068425731,-1.7708951628397136,0.9908181840373633
73,-2.0208392819106846,-1.9238279957719089,0.9920355268119991
74,-2.0500180528481,-2.0343156991794213,0.9958482638354328
75,-2.074058054575835,-2.1360198669733252,0.9968998476586236
76,-2.1669805751425883,-2.248954413190357,0.9965850533894018
77,-2.329023266799413,-2.3712255105668896,0.995118034260312
78,-2.586448939168986,-2.4791404337428014,0.9875501003279481
79,-2.581084515008206,-2.4868416568606304,0.9866320205275646
80,-2.446029520216598,-2.4159882860984054,0.98693828823425
81,-2.218375827331511,-2.283321968022275,0.9917982182081467
82,-2.0404631844574395,-2.135243888671956,0.9935079632177857
83,-1.79992081810542,-1.954278109996076,0.9919003926016664
84,-1.728539375903074,-1.7974053588739183,0.9894234801203557
85,-1.6542793991344298,-1.674478045543219,0.979855905509679
86,-1.5074165375598567,-1.5757101343077071,0.9604088907243131
87,-1.4266046603631366,-1.5383502369398354,0.9378787968830744
88,-1.5259912723237903,-1.5970475996850328,0.9324170069291711
89,-1.6214539330898332,-1.7253428943511153,0.9299281903112265
90,-1.8273981685794751,-1.9476779783700884,0.9385202784798606
