gis_domain,change_rate_m_yr,lrr_m_yr,lrr_r2
1,0.5239206134206142,0.479814794623999,0.9620143545491353
2,0.041579652351538245,0.171518731815198,0.4941284015961461
3,0.016026450880417542,-0.0286792027249852,0.07334470231825319
4,0.004234856971379486,-0.19834442967999782,0.4997362107703197
5,-0.4180801863182751,-0.4332207092001321,0.8388222197277754
6,-1.0497705141636289,-0.6740427608208585,0.7097333075096285
7,-0.9652660935644235,-0.7255381184945059,0.8227058462448904
8,-0.7046269059602309,-0.6842295761455167,0.9222094095184636
9,-0.5663640194862637,-0.6247613446283528,0.9585954289047915
10,-0.5126658033534113,-0.5690199875281529,0.9787166726082339
11,-0.55240975554143,-0.5232478672985886,0.98584122417599
12,-0.43911022994161614,-0.44012896605901275,0.9964599466591265
13,-0.37110124351456764,-0.3583859225609706,0.9890274255594119
14,-0.2522234150999793,-0.2645739367637646,0.9191252577679457
15,-0.05194396577298903,-0.16360437475494705,0.5242892609638781
16,0.08052022260626472,-0.0934721337706029,0.15743303845351908
17,-0.13102967283439285,-0.10405550772058585,0.3574715900320333
18,-0.1495863961563373,-0.09851051980966165,0.3362247056933073
19,-0.020572305029600103,-0.07740376507690447,0.19166358188610877
20,0.021291824764375633,-0.0870998040357902,0.18256546057908762
21,-0.06662663972119845,-0.14335402986382648,0.4564091393367846
22,-0.1899095248860249,-0.21744727098509878,0.7753310721727771
23,-0.3062121456873683,-0.288175535138771,0.9129557506371158
24,-0.45293118702165885,-0.35161869000587864,0.9241662097839884
25,-0.45729635285260883,-0.38135012331725315,0.9449068773496248
26,-0.42575816385742654,-0.3958565166852379,0.940944448542295
27,-0.31544802187099774,-0.39859479011722226,0.8671894869992962
28,-0.34766601978417383,-0.4304159106937722,0.8451974614702507
29,-0.3516508270560735,-0.4599358300039624,0.8243617621584689
30,-0.3273250867868228,-0.49778750806424826,0.808765692079471
31,-0.3945983604191497,-0.5558738094865028,0.8636411578976135
32,-0.5093278384164478,-0.6507873527992055,0.9332449158846714
33,-0.7214700714163882,-0.791764646684474,0.9905663953912103
34,-0.9981967827388871,-0.9596892092895263,0.9960698273374106
35,-1.1456385262690674,-1.0973045490418647,0.9840287845300054
36,-1.3506655974205386,-1.222150626002263,0.9636365241864318
37,-1.5164991462934267,-1.3042273787346013,0.9441966100535067
38,-1.4894360294762918,-1.308459391692816,0.94683961907917
39,-1.3979882886241284,-1.2550738652395694,0.9563134172798525
40,-1.2202277115009565,-1.146594191456669,0.9727761851410148
41,-1.002138969317548,-1.0044433717197296,0.9880114684908256
42,-0.8007897487815171,-0.8555101014429072,0.9945922916415965
43,-0.630207258549035,-0.7141024615813034,0.9918070550525172
44,-0.5676463071869875,-0.5965819734830787,0.9951062457460916
45,-0.43167243919642717,-0.4711902449737963,0.9820769512576346
46,-0.3190555575025428,-0.35813114975967414,0.9538061863113397
47,-0.2472164263788727,-0.2593553801922136,0.9125781104185466
48,-0.14953410422249364,-0.1622206871368322,0.7648162378722035
49,-0.061805926738998096,-0.07401264299600284,0.36237946752413774
50,-0.013307842731683195,0.004283342432983397,0.0018014567694479844
51,0.06921115794493744,0.08508967064243779,0.3577900903770268
52,0.16178038557573018,0.16107817521388154,0.5964387831803308
53,0.2609211212539776,0.22543916839436745,0.6684561523490333
54,0.22751968110642337,0.2526013354196244,0.7398371872488056
55,0.30343140504073746,0.2820080905723105,0.7469520373552345
56,0.387701348785049,0.2968366514049933,0.6976479495322274
57,0.3005168303757273,0.26223677523894734,0.71471951152831
58,0.21166001902756762,0.2081250488231832,0.6790739751096858
59,0.21148053245970005,0.15574032895740061,0.5296890330374839
60,0.05354204406012286,0.06650801721002726,0.26108298504944116
61,-0.006315087418261101,-0.012975567974584545,0.014929625610962116
62,-0.14983736924432378,-0.10993336825648958,0.5598977686601162
63,-0.20002039247956419,-0.19360769545808318,0.7760187120012507
64,-0.20133619584657936,-0.27616474054012763,0.794673283151859
65,-0.29244834114742846,-0.3900351764319223,0.8603900438685591
66,-0.3768555393323368,-0.5268798377262183,0.898637197720191
67,-0.6196213532443835,-0.7188805181164336,0.9735995851471376
68,-0.9649307258777299,-0.9550436926080043,0.9996188982856631
69,-1.2732788760406948,-1.1886461846884704,0.9944006226136343
70,-1.4426281991935865,-1.3903854893284693,0.9941090112525569
71,-1.6544501696581393,-1.5870629521165025,0.9922087639441936
72,-1.8704399431058847,-1.770629879478786,0.9908009619943783
73,-2.020369537889292,-1.9234416849650984,0.9920139661336311
74,-2.0494001413569096,-2.033764195269085,0.9958260269240767
75,-2.0733146200683223,-2.135254257010818,0.9968769726425578
76,-2.166265694199319,-2.247938853542645,0.9965603406201683
77,-2.3288503496933117,-2.3699905648280666,0.9950955916177427
78,-2.5882592408811433,-2.477925192188817,0.9875541002709889
79,-2.5798765303758957,-2.484179925065769,0.986541781555195
80,-2.443322630660714,-2.4120821666768135,0.9867998711121607
81,-2.214834993533168,-2.2781429084336473,0.9917209271329371
82,-2.0366059623193906,-2.128723169129388,0.9935519260025844
83,-1.7966577245577355,-1.9464697683751373,0.992130473227969
84,-1.725073573953523,-1.7886272436693749,0.9896048165509124
85,-1.6527430610231932,-1.6681103587944608,0.979751193313701
86,-1.5057484251552524,-1.5705497446580559,0.9601619572603298
87,-1.4242352860926986,-1.5338986701081423,0.9375234484147682
88,-1.5234916071737643,-1.593259768150251,0.9322238576285646
89,-1.6190987149684588,-1.7222369008594611,0.9298506944918961
90,-1.8253154673559948,-1.9451978731374397,0.9385176952863103
